MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST ACCURACY,EPOCH,TEST ACCURACY
normal,cifar10,none,--,--,--,--
normal,cifar10,cauchy,1,92.19,108,82.57
normal,cifar10,cauchy,2,93.75,99,82.55
normal,cifar10,cauchy,3,92.19,106,82.06
normal,cifar10,cauchy,4,92.19,134,81.53
normal,cifar10,cauchy,5,93.75,105,81.66
normal,cifar10,cauchy,6,92.19,137,82.33
normal,cifar10,cauchy,7,93.75,99,81.64
normal,cifar10,cauchy,8,92.19,190,80.15
normal,cifar10,cauchy,9,92.19,73,79.25999999999999
normal,cifar10,cauchy,10,92.19,67,82.59
normal,cifar10,cauchy,11,93.75,103,79.13
normal,cifar10,cauchy,12,95.31,98,81.81
normal,cifar10,cauchy,13,93.75,149,82.92
normal,cifar10,cauchy,14,95.31,118,79.97999999999999
normal,cifar10,gaussian,1,92.19,49,81.73
normal,cifar10,gaussian,2,93.75,78,81.15
normal,cifar10,gaussian,3,93.75,74,82.78
normal,cifar10,gaussian,4,93.75,170,81.45
normal,cifar10,gaussian,5,90.62,133,83.31
normal,cifar10,gaussian,6,92.19,58,82.61
normal,cifar10,gaussian,7,96.88,123,83.43
normal,cifar10,gaussian,8,95.31,142,79.5
normal,cifar10,gaussian,9,93.75,135,82.89
normal,cifar10,gaussian,10,98.44,68,83.32000000000001
normal,cifar10,gaussian,11,93.75,160,82.01
normal,cifar10,gaussian,12,92.19,69,83.82
normal,cifar10,gaussian,13,92.19,107,83.7
normal,cifar10,gaussian,14,96.88,194,78.88
normal,cifar10,gumbel,1,92.19,90,83.75
normal,cifar10,gumbel,2,96.88,191,84.84
normal,cifar10,gumbel,3,96.88,132,82.07
normal,cifar10,gumbel,4,92.19,78,82.11
normal,cifar10,gumbel,5,95.31,138,82.63000000000001
normal,cifar10,gumbel,6,93.75,146,83.22
normal,cifar10,gumbel,7,93.75,84,83.15
normal,cifar10,gumbel,8,95.31,187,83.67999999999999
normal,cifar10,gumbel,9,92.19,184,81.26
normal,cifar10,gumbel,10,96.88,63,84.72
normal,cifar10,gumbel,11,93.75,110,82.05
normal,cifar10,gumbel,12,92.19,58,84.00999999999999
normal,cifar10,gumbel,13,93.75,159,84.03
normal,cifar10,gumbel,14,95.31,200,84.2
normal,cifar10,laplace,1,93.75,93,83.74000000000001
normal,cifar10,laplace,2,96.88,177,83.59
normal,cifar10,laplace,3,93.75,138,81.46
normal,cifar10,laplace,4,92.19,51,82.04
normal,cifar10,laplace,5,93.75,107,82.89
normal,cifar10,laplace,6,92.19,73,82.6
normal,cifar10,laplace,7,90.62,44,83.44
normal,cifar10,laplace,8,93.75,96,81.27
normal,cifar10,laplace,9,92.19,78,82.15
normal,cifar10,laplace,10,95.31,97,83.42
normal,cifar10,laplace,11,92.19,64,80.47999999999999
normal,cifar10,laplace,12,93.75,157,79.35
normal,cifar10,laplace,13,95.31,188,83.54
normal,cifar10,laplace,14,93.75,87,84.06
normal,cifar10,poisson,1,53.12,1,10.0
normal,cifar10,poisson,2,42.17,1,10.0
normal,cifar10,poisson,3,45.02,1,10.0
normal,cifar10,poisson,4,54.69,1,10.0
normal,cifar10,poisson,5,45.52,1,10.0
normal,cifar10,poisson,6,53.12,1,10.0
normal,cifar10,poisson,7,53.12,1,10.0
normal,cifar10,poisson,8,44.32,1,10.0
normal,cifar10,poisson,9,47.09,1,10.0
normal,cifar10,poisson,10,48.96,1,10.0
normal,cifar10,poisson,11,46.56,1,10.0
normal,cifar10,poisson,12,51.56,1,10.0
normal,cifar10,poisson,13,46.51,1,10.0
normal,cifar10,poisson,14,--,--,--
normal,cifar100,none,--,--,--,--
normal,cifar100,cauchy,1,--,--,--
normal,cifar100,cauchy,2,--,--,--
normal,cifar100,cauchy,3,--,--,--
normal,cifar100,cauchy,4,--,--,--
normal,cifar100,cauchy,5,--,--,--
normal,cifar100,cauchy,6,--,--,--
normal,cifar100,cauchy,7,--,--,--
normal,cifar100,cauchy,8,--,--,--
normal,cifar100,cauchy,9,--,--,--
normal,cifar100,cauchy,10,--,--,--
normal,cifar100,cauchy,11,--,--,--
normal,cifar100,cauchy,12,--,--,--
normal,cifar100,cauchy,13,--,--,--
normal,cifar100,cauchy,14,--,--,--
normal,cifar100,gaussian,1,--,--,--
normal,cifar100,gaussian,2,--,--,--
normal,cifar100,gaussian,3,--,--,--
normal,cifar100,gaussian,4,--,--,--
normal,cifar100,gaussian,5,--,--,--
normal,cifar100,gaussian,6,--,--,--
normal,cifar100,gaussian,7,--,--,--
normal,cifar100,gaussian,8,--,--,--
