2023-12-27 17:21:28,817 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2023-12-27 17:21:30,436 | INFO | hilo.dataset-accessor : Fetching dataset: mnist
2023-12-27 17:21:30,436 | INFO | hilo.mnist-dataset : Initializing transform.
2023-12-27 17:21:30,436 | INFO | hilo.mnist-dataset : Verifying/downloading train data.
2023-12-27 17:21:33,953 | INFO | hilo.mnist-dataset : Verifying/downloading test data.
2023-12-27 17:21:33,960 | INFO | hilo.mnist-dataset : Creating train data loader.
2023-12-27 17:21:33,960 | INFO | hilo.mnist-dataset : Creating test data loader.
2023-12-27 17:21:33,968 | INFO | hilo : Output directory: output/normal/mnist/None/20231227_172130/
2023-12-27 17:21:34,022 | INFO | hilo : Using device: NVIDIA GeForce GTX 1060 6GB
2023-12-27 17:21:35,037 | INFO | hilo : Exeucting job: MODEL normal | DATASET mnist | KERNEL none
2023-12-27 17:21:35,037 | INFO | hilo : Commencing training phase...
2023-12-27 17:21:43,072 | INFO | hilo : Epoch   1/200 | Accuracy:  98.4375 | Loss:   0.0903
2023-12-27 17:21:50,353 | INFO | hilo : Epoch   2/200 | Accuracy: 100.0000 | Loss:   0.0632
2023-12-27 17:21:57,553 | INFO | hilo : Epoch   3/200 | Accuracy:  98.9583 | Loss:   0.1627
2023-12-27 17:22:04,794 | INFO | hilo : Epoch   4/200 | Accuracy:  98.9194 | Loss:   0.1075
2023-12-27 17:22:12,066 | INFO | hilo : Epoch   5/200 | Accuracy:  98.9062 | Loss:   0.0627
2023-12-27 17:22:19,396 | INFO | hilo : Epoch   6/200 | Accuracy: 100.0000 | Loss:   0.0019
2023-12-27 17:22:26,655 | INFO | hilo : Epoch   7/200 | Accuracy: 100.0000 | Loss:   0.0185
2023-12-27 17:22:33,918 | INFO | hilo : Epoch   8/200 | Accuracy: 100.0000 | Loss:   0.0990
2023-12-27 17:22:41,182 | INFO | hilo : Epoch   9/200 | Accuracy: 100.0000 | Loss:   0.1129
2023-12-27 17:22:48,416 | INFO | hilo : Epoch  10/200 | Accuracy: 100.0000 | Loss:   0.1247
2023-12-27 17:22:55,667 | INFO | hilo : Epoch  11/200 | Accuracy:  98.9583 | Loss:   0.0316
2023-12-27 17:23:02,990 | INFO | hilo : Epoch  12/200 | Accuracy: 100.0000 | Loss:   0.0784
2023-12-27 17:23:10,322 | INFO | hilo : Epoch  13/200 | Accuracy:  98.4375 | Loss:   0.0545
2023-12-27 17:23:17,659 | INFO | hilo : Epoch  14/200 | Accuracy:  99.7768 | Loss:   0.0006
2023-12-27 17:23:25,031 | INFO | hilo : Epoch  15/200 | Accuracy:  99.4792 | Loss:   0.1173
2023-12-27 17:23:32,329 | INFO | hilo : Epoch  16/200 | Accuracy: 100.0000 | Loss:   0.0081
2023-12-27 17:23:39,629 | INFO | hilo : Epoch  17/200 | Accuracy: 100.0000 | Loss:   0.0131
2023-12-27 17:23:46,946 | INFO | hilo : Epoch  18/200 | Accuracy:  99.4792 | Loss:   0.0772
2023-12-27 17:23:54,258 | INFO | hilo : Epoch  19/200 | Accuracy:  98.9583 | Loss:   0.0017
2023-12-27 17:24:01,675 | INFO | hilo : Epoch  20/200 | Accuracy: 100.0000 | Loss:   0.0557
2023-12-27 17:24:09,058 | INFO | hilo : Epoch  21/200 | Accuracy: 100.0000 | Loss:   0.0390
2023-12-27 17:24:16,554 | INFO | hilo : Epoch  22/200 | Accuracy:  99.2188 | Loss:   0.0031
2023-12-27 17:24:23,850 | INFO | hilo : Epoch  23/200 | Accuracy: 100.0000 | Loss:   0.0917
2023-12-27 17:24:31,149 | INFO | hilo : Epoch  24/200 | Accuracy:  98.5352 | Loss:   0.2854
2023-12-27 17:24:38,488 | INFO | hilo : Epoch  25/200 | Accuracy:  99.3304 | Loss:   0.1655
2023-12-27 17:24:45,774 | INFO | hilo : Epoch  26/200 | Accuracy:  98.2355 | Loss:   0.0025
2023-12-27 17:24:53,044 | INFO | hilo : Epoch  27/200 | Accuracy: 100.0000 | Loss:   0.0370
2023-12-27 17:25:00,439 | INFO | hilo : Epoch  28/200 | Accuracy: 100.0000 | Loss:   0.0090
2023-12-27 17:25:07,800 | INFO | hilo : Epoch  29/200 | Accuracy: 100.0000 | Loss:   0.0383
2023-12-27 17:25:15,393 | INFO | hilo : Epoch  30/200 | Accuracy:  99.9081 | Loss:   0.0008
2023-12-27 17:25:22,915 | INFO | hilo : Epoch  31/200 | Accuracy: 100.0000 | Loss:   0.0044
2023-12-27 17:25:30,664 | INFO | hilo : Epoch  32/200 | Accuracy: 100.0000 | Loss:   0.0009
2023-12-27 17:25:38,449 | INFO | hilo : Epoch  33/200 | Accuracy: 100.0000 | Loss:   0.0068
2023-12-27 17:25:46,241 | INFO | hilo : Epoch  34/200 | Accuracy: 100.0000 | Loss:   0.0010
2023-12-27 17:25:54,102 | INFO | hilo : Epoch  35/200 | Accuracy: 100.0000 | Loss:   0.0132
2023-12-27 17:26:02,109 | INFO | hilo : Epoch  36/200 | Accuracy: 100.0000 | Loss:   0.0055
2023-12-27 17:26:10,014 | INFO | hilo : Epoch  37/200 | Accuracy:  99.8264 | Loss:   0.0029
2023-12-27 17:26:17,885 | INFO | hilo : Epoch  38/200 | Accuracy:  99.5089 | Loss:   0.0042
2023-12-27 17:26:25,851 | INFO | hilo : Epoch  39/200 | Accuracy: 100.0000 | Loss:   0.0020
2023-12-27 17:26:33,726 | INFO | hilo : Epoch  40/200 | Accuracy: 100.0000 | Loss:   0.0011
2023-12-27 17:26:41,397 | INFO | hilo : Epoch  41/200 | Accuracy: 100.0000 | Loss:   0.0023
