2024-03-11 15:53:27,676 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2024-03-11 15:53:29,287 | INFO | hilo.dataset-accessor : Fetching dataset: imagenet
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Initializing transform.
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Verifying/downloading train data.
2024-03-11 15:53:31,951 | INFO | hilo.imagenet-dataset : Verifying/downloading test data.
2024-03-11 15:53:31,972 | INFO | hilo.imagenet-dataset : Creating train data loader.
2024-03-11 15:53:31,972 | INFO | hilo.imagenet-dataset : Creating test data loader.
2024-03-11 15:53:32,247 | INFO | hilo : Output directory: output/vgg/imagenet/None/20240311_155329/
2024-03-11 15:53:33,315 | INFO | hilo : Using device: NVIDIA GeForce GTX 1060 6GB
2024-03-11 15:53:33,315 | INFO | hilo : Exeucting job: MODEL vgg | DATASET imagenet | KERNEL none
2024-03-11 15:53:33,315 | INFO | hilo : Commencing training phase...
2024-03-11 15:54:49,624 | INFO | hilo : Epoch   1/200 | Accuracy:   0.0000 | Loss:   5.3083
2024-03-11 15:56:05,107 | INFO | hilo : Epoch   2/200 | Accuracy:   0.0000 | Loss:   5.3039
2024-03-11 15:57:20,664 | INFO | hilo : Epoch   3/200 | Accuracy:   0.0000 | Loss:   5.2903
2024-03-11 15:58:36,281 | INFO | hilo : Epoch   4/200 | Accuracy:   0.0000 | Loss:   5.3139
2024-03-11 15:59:51,994 | INFO | hilo : Epoch   5/200 | Accuracy:   0.0000 | Loss:   5.2965
2024-03-11 16:01:07,823 | INFO | hilo : Epoch   6/200 | Accuracy: 100.0000 | Loss:   5.3013
2024-03-11 16:02:23,702 | INFO | hilo : Epoch   7/200 | Accuracy:   0.0000 | Loss:   5.2939
2024-03-11 16:03:39,592 | INFO | hilo : Epoch   8/200 | Accuracy:   0.0000 | Loss:   5.2974
2024-03-11 16:04:55,472 | INFO | hilo : Epoch   9/200 | Accuracy:   0.0000 | Loss:   5.3070
2024-03-11 16:06:11,411 | INFO | hilo : Epoch  10/200 | Accuracy:   0.0000 | Loss:   5.3125
2024-03-11 16:07:27,491 | INFO | hilo : Epoch  11/200 | Accuracy:   0.0000 | Loss:   5.3167
2024-03-11 16:08:43,850 | INFO | hilo : Epoch  12/200 | Accuracy:   0.0000 | Loss:   5.2753
2024-03-11 16:10:00,066 | INFO | hilo : Epoch  13/200 | Accuracy:   0.0000 | Loss:   5.3097
2024-03-11 16:11:16,352 | INFO | hilo : Epoch  14/200 | Accuracy:   0.0000 | Loss:   5.3033
2024-03-11 16:12:32,917 | INFO | hilo : Epoch  15/200 | Accuracy:   0.0000 | Loss:   5.3102
