Epoch,Accuracy,Loss
1.0,0.65,4.780646324157715
2.0,6.25,4.659323215484619
3.0,0.78,4.663196563720703
4.0,0.11,4.451013088226318
5.0,1.56,4.51370096206665
6.0,1.56,4.609317302703857
7.0,0.68,4.733212471008301
8.0,0.78,4.512880325317383
9.0,1.12,4.069767475128174
10.0,0.56,4.230411052703857
11.0,0.42,4.02466344833374
12.0,0.35,4.25443172454834
13.0,0.52,4.065185546875
14.0,0.75,4.178311824798584
15.0,1.37,4.437192440032959
16.0,1.95,3.8467977046966553
17.0,0.52,4.063419342041016
18.0,0.31,4.4767560958862305
19.0,0.25,3.9855709075927734
20.0,1.25,4.306321620941162
21.0,0.39,4.315407752990723
22.0,0.76,4.386218070983887
23.0,0.94,4.153919696807861
24.0,0.78,4.2915544509887695
25.0,0.78,4.4303083419799805
26.0,2.15,4.128551483154297
27.0,4.69,4.339491367340088
28.0,2.6,4.0653533935546875
29.0,1.07,4.459035873413086
30.0,1.56,3.666548728942871
31.0,1.56,3.1785597801208496
32.0,0.42,3.26566219329834
33.0,1.95,3.2268404960632324
34.0,0.43,3.185023069381714
35.0,1.22,3.061880588531494
36.0,1.56,3.055933952331543
37.0,0.52,3.250058174133301
38.0,0.29,3.0367422103881836
39.0,1.56,3.0541515350341797
40.0,1.04,2.779719829559326
41.0,0.57,2.8220555782318115
42.0,1.56,2.886695146560669
43.0,0.64,2.8855063915252686
44.0,1.56,2.8425419330596924
45.0,0.71,2.455388069152832
46.0,0.64,2.5017333030700684
47.0,0.78,2.6404600143432617
48.0,1.12,2.5375120639801025
49.0,1.56,2.377347230911255
50.0,0.78,2.1495308876037598
51.0,1.56,2.617406129837036
52.0,1.56,2.467146873474121
53.0,0.78,2.6061997413635254
54.0,1.56,2.4695160388946533
55.0,0.83,2.2909960746765137
56.0,0.94,2.001927614212036
57.0,1.19,2.264317274093628
58.0,1.56,2.155709981918335
59.0,1.56,2.4611752033233643
60.0,1.56,1.093132734298706
61.0,1.56,1.0565013885498047
62.0,1.56,1.2801826000213623
63.0,0.92,1.0340211391448975
64.0,1.56,0.9404390454292297
65.0,1.56,0.8834475874900818
66.0,0.78,0.7514090538024902
67.0,0.78,0.7252178192138672
68.0,1.56,0.44045278429985046
69.0,1.56,0.5808041095733643
70.0,0.58,0.5474814772605896
71.0,1.04,0.6280266642570496
72.0,0.78,0.5457114577293396
73.0,0.53,0.37629637122154236
74.0,3.12,0.40638720989227295
75.0,1.56,0.40616974234580994
76.0,1.17,0.5725290775299072
77.0,0.84,0.264829158782959
78.0,0.81,0.3535465598106384
79.0,0.63,0.46130311489105225
80.0,1.25,0.29049476981163025
81.0,0.77,0.20298434793949127
82.0,1.25,0.1528869867324829
83.0,1.08,0.22375386953353882
84.0,0.66,0.2990622818470001
85.0,1.56,0.1726740449666977
86.0,0.71,0.15248343348503113
87.0,0.69,0.08921398222446442
88.0,1.23,0.26857075095176697
89.0,0.78,0.0775926485657692
90.0,2.08,0.07846887409687042
91.0,1.56,0.0752594992518425
92.0,1.56,0.12683001160621643
93.0,0.67,0.20528849959373474
94.0,3.12,0.13945384323596954
95.0,0.94,0.07028651982545853
96.0,0.64,0.12861838936805725
97.0,0.78,0.054490845650434494
98.0,1.56,0.08602045476436615
