Epoch,Accuracy,Loss
1.0,98.44,0.31684207916259766
2.0,88.06,0.4994470179080963
3.0,98.44,0.3005121052265167
4.0,90.62,0.3814578652381897
5.0,96.7,0.10953852534294128
6.0,95.24,0.1110551580786705
7.0,11.72,
8.0,14.06,
9.0,11.98,
10.0,14.06,
11.0,10.62,
12.0,10.74,
13.0,15.62,
14.0,10.94,
15.0,10.55,
16.0,14.06,
17.0,9.8,
18.0,11.46,
19.0,12.5,
20.0,15.62,
21.0,10.94,
22.0,12.5,
23.0,11.24,
24.0,12.5,
25.0,10.34,
26.0,11.72,
27.0,14.06,
28.0,10.66,
29.0,11.38,
30.0,14.06,
31.0,10.17,
32.0,9.8,
33.0,14.06,
34.0,10.94,
35.0,10.14,
36.0,15.62,
37.0,11.72,
38.0,10.94,
39.0,15.62,
40.0,10.42,
41.0,10.82,
42.0,10.94,
43.0,10.0,
44.0,11.46,
45.0,11.2,
46.0,10.94,
47.0,10.99,
48.0,10.16,
49.0,15.62,
50.0,9.82,
51.0,14.58,
52.0,11.72,
53.0,10.42,
54.0,11.33,
55.0,10.94,
56.0,12.5,
57.0,13.28,
58.0,10.29,
59.0,11.72,
60.0,10.21,
61.0,12.5,
62.0,20.31,
63.0,17.19,
64.0,11.98,
65.0,10.94,
66.0,14.06,
67.0,10.16,
68.0,10.06,
69.0,12.5,
70.0,11.46,
71.0,10.75,
72.0,18.75,
73.0,9.88,
74.0,10.88,
75.0,12.5,
76.0,15.62,
77.0,10.78,
78.0,17.19,
79.0,11.98,
80.0,12.5,
81.0,10.56,
82.0,11.72,
83.0,11.52,
84.0,15.62,
85.0,11.72,
86.0,10.94,
87.0,11.41,
88.0,11.72,
89.0,14.06,
90.0,10.6,
91.0,10.16,
92.0,12.5,
93.0,13.28,
94.0,11.15,
95.0,10.94,
96.0,10.94,
97.0,12.5,
98.0,10.94,
99.0,10.3,
100.0,10.42,
101.0,10.35,
102.0,10.62,
103.0,15.62,
104.0,10.34,
105.0,11.72,
106.0,11.07,
107.0,14.45,
108.0,14.06,
109.0,12.5,
110.0,17.19,
111.0,10.25,
112.0,14.58,
113.0,11.72,
114.0,9.85,
115.0,10.94,
116.0,10.42,
117.0,10.94,
118.0,10.94,
119.0,10.59,
120.0,15.62,
121.0,11.72,
122.0,10.94,
123.0,11.98,
124.0,10.34,
125.0,11.06,
126.0,17.19,
127.0,12.5,
128.0,13.54,
129.0,16.41,
130.0,13.02,
131.0,12.5,
132.0,15.62,
133.0,12.7,
134.0,12.26,
135.0,10.94,
136.0,11.82,
137.0,20.31,
138.0,14.06,
139.0,11.46,
140.0,12.5,
141.0,10.46,
142.0,10.94,
143.0,10.09,
144.0,10.72,
145.0,9.84,
146.0,10.76,
147.0,12.76,
148.0,12.5,
149.0,16.41,
150.0,10.31,
151.0,12.11,
152.0,11.17,
153.0,12.5,
154.0,12.89,
155.0,12.5,
156.0,11.98,
157.0,9.86,
158.0,10.19,
159.0,10.94,
160.0,10.94,
161.0,10.46,
162.0,10.29,
163.0,12.5,
164.0,12.5,
165.0,11.54,
166.0,17.19,
167.0,10.94,
168.0,10.94,
169.0,10.16,
170.0,18.75,
171.0,10.16,
172.0,12.5,
173.0,10.94,
174.0,10.76,
175.0,10.94,
176.0,11.63,
177.0,10.7,
178.0,10.16,
179.0,11.83,
180.0,9.84,
181.0,10.53,
182.0,11.25,
183.0,10.04,
184.0,10.27,
185.0,10.35,
186.0,10.94,
187.0,17.19,
188.0,14.06,
189.0,10.24,
190.0,12.5,
191.0,11.56,
192.0,14.06,
193.0,10.94,
194.0,15.62,
195.0,12.5,
196.0,10.94,
197.0,10.44,
198.0,10.94,
199.0,15.62,
200.0,14.06,
Test,9.8,
Best,98.44,@ epoch 1
