Epoch,Accuracy,Loss
1.0,6.25,4.744342803955078
2.0,0.31,4.521773815155029
3.0,0.52,4.349474906921387
4.0,0.26,4.080665588378906
5.0,0.52,4.33624792098999
6.0,0.71,4.439246654510498
7.0,0.29,4.337660789489746
8.0,1.56,4.314009666442871
9.0,1.56,4.412503242492676
10.0,1.56,4.541937828063965
11.0,2.08,4.418617248535156
12.0,1.56,4.588715553283691
13.0,1.04,4.08308744430542
14.0,1.56,4.501523017883301
15.0,0.49,3.9659268856048584
16.0,2.34,4.3787336349487305
17.0,0.3,4.239313125610352
18.0,0.45,4.1042962074279785
19.0,3.12,3.9850242137908936
20.0,0.15,3.890014886856079
21.0,0.85,4.130251884460449
22.0,2.5,4.263627052307129
23.0,0.64,3.998547077178955
24.0,0.87,4.037298202514648
25.0,2.08,4.325186252593994
26.0,1.56,3.7588882446289062
27.0,0.11,4.135573863983154
28.0,0.67,4.209693431854248
29.0,1.17,4.450179100036621
30.0,0.61,3.3207764625549316
31.0,1.56,2.821836471557617
32.0,1.56,2.8388609886169434
33.0,0.71,3.3117408752441406
34.0,1.12,3.015993356704712
35.0,1.17,3.0166876316070557
36.0,0.72,3.016263008117676
37.0,1.56,3.290329933166504
38.0,1.56,2.72611927986145
39.0,1.56,2.799323320388794
40.0,0.78,2.7539916038513184
41.0,1.04,3.34482479095459
42.0,0.93,2.440075635910034
43.0,1.56,2.8225910663604736
44.0,0.62,3.1101746559143066
45.0,0.64,2.2257347106933594
46.0,2.34,2.3069186210632324
47.0,3.12,2.5479345321655273
48.0,0.8,2.106003522872925
49.0,1.56,2.238469362258911
50.0,1.56,2.4792866706848145
51.0,1.56,2.4038283824920654
52.0,0.78,2.832737922668457
53.0,1.56,2.2256016731262207
54.0,1.56,1.9252703189849854
55.0,3.12,1.7525874376296997
56.0,0.87,2.196242332458496
57.0,0.72,1.8488526344299316
58.0,0.96,1.9938193559646606
59.0,0.68,1.8627235889434814
60.0,1.56,0.9429409503936768
61.0,1.56,0.6512768864631653
62.0,1.56,0.6605157852172852
63.0,1.56,1.2582963705062866
64.0,0.93,0.7882468700408936
65.0,3.12,0.5079073905944824
66.0,0.73,0.7983558177947998
67.0,1.56,0.7268216609954834
68.0,0.78,0.7361350059509277
69.0,3.12,0.5594056844711304
70.0,1.37,0.7499496936798096
71.0,1.09,0.5904132127761841
72.0,0.8,0.7648970484733582
73.0,0.78,0.45001187920570374
74.0,1.17,0.45480257272720337
75.0,2.34,0.2554852366447449
76.0,0.64,0.508991003036499
77.0,1.56,0.758240818977356
78.0,1.37,0.40437230467796326
79.0,0.85,0.2996683120727539
80.0,1.56,0.32849201560020447
81.0,1.56,0.6776290535926819
82.0,1.39,0.5472598075866699
83.0,0.89,0.213929682970047
84.0,0.81,0.39712443947792053
85.0,1.56,0.19613564014434814
86.0,1.0,0.08498978614807129
87.0,0.98,0.20653891563415527
88.0,1.56,0.591788113117218
89.0,0.52,0.5465273261070251
90.0,0.78,0.14498504996299744
91.0,1.56,0.27271798253059387
92.0,1.17,0.40481990575790405
93.0,0.62,0.13272817432880402
94.0,1.25,0.18966200947761536
95.0,1.56,0.13628941774368286
96.0,1.12,0.28333789110183716
97.0,0.88,0.13659551739692688
98.0,0.94,0.06203344091773033
99.0,0.78,0.3101404905319214
100.0,1.04,0.3278176784515381
101.0,1.56,0.13417500257492065
102.0,1.04,0.19033987820148468
103.0,1.56,0.14915309846401215
104.0,0.73,0.15226155519485474
105.0,3.12,0.11943986266851425
106.0,1.95,0.10740689933300018
107.0,1.56,0.13616496324539185
108.0,0.57,0.10954812169075012
109.0,0.63,0.36168044805526733
110.0,0.64,0.07362516224384308
111.0,0.64,0.05439653620123863
112.0,0.78,0.036213357001543045
113.0,0.55,0.06747590750455856
114.0,2.34,0.11495015025138855
115.0,0.74,0.1956007331609726
116.0,0.87,0.07327382266521454
117.0,1.37,0.06987054646015167
118.0,0.63,0.1010323166847229
119.0,2.34,0.09239308536052704
120.0,0.78,0.3909446895122528
121.0,0.87,0.15646077692508698
122.0,1.3,0.2249387800693512
123.0,0.66,0.08237334340810776
124.0,1.56,0.19576816260814667
125.0,0.85,0.0874074175953865
126.0,2.34,0.09325297921895981
127.0,0.71,0.3357832431793213
128.0,1.56,0.21661192178726196
129.0,0.64,0.42189306020736694
130.0,1.04,0.12434085458517075
131.0,1.56,0.22178833186626434
132.0,1.17,0.13513721525669098
133.0,1.25,0.2873757779598236
134.0,0.94,0.08184867352247238
135.0,1.56,0.29491114616394043
136.0,0.99,0.15015077590942383
137.0,0.76,0.12747424840927124
138.0,1.56,0.37570691108703613
139.0,1.56,0.21885418891906738
140.0,0.76,0.24667684733867645
141.0,0.72,0.11118058860301971
142.0,1.56,0.2270699441432953
143.0,0.78,0.11600886285305023
144.0,0.84,0.2891817092895508
145.0,1.56,0.09176921099424362
146.0,1.56,0.047667644917964935
147.0,0.94,0.045865658670663834
148.0,2.08,0.21640509366989136
149.0,0.89,0.09308528155088425
150.0,0.82,0.10851113498210907
151.0,1.25,0.13054729998111725
152.0,0.6,0.08268959820270538
153.0,1.56,0.12638835608959198
