,Epoch,Accuracy,Loss
0,1.0,37.63,1.5982170104980469
1,2.0,44.2,1.650331974029541
2,3.0,53.12,1.471039891242981
3,4.0,51.56,1.2364269495010376
4,5.0,61.72,1.3014599084854126
5,6.0,53.16,1.2391706705093384
6,7.0,60.94,0.9060829281806946
7,8.0,60.16,1.3468093872070312
8,9.0,60.16,1.163377285003662
9,10.0,61.88,1.092592477798462
10,11.0,65.62,0.9857461452484131
11,12.0,53.91,1.445386290550232
12,13.0,65.62,1.359013319015503
13,14.0,67.19,1.0483903884887695
14,15.0,65.0,1.0838892459869385
15,16.0,66.15,1.1591906547546387
16,17.0,71.88,1.1242566108703613
17,18.0,63.8,1.380542516708374
18,19.0,63.38,1.2260541915893555
19,20.0,62.37,0.9981196522712708
20,21.0,58.48,0.9385929703712463
21,22.0,58.93,0.9850228428840637
22,23.0,68.75,0.9364528656005859
23,24.0,64.84,1.0944244861602783
24,25.0,67.19,1.1948977708816528
25,26.0,70.31,1.11627995967865
26,27.0,64.84,1.1151268482208252
27,28.0,62.73,0.7909513115882874
28,29.0,67.19,1.1115683317184448
29,30.0,76.56,0.5595678687095642
30,31.0,78.65,0.77046799659729
31,32.0,78.12,0.6997386813163757
32,33.0,79.69,0.5674962401390076
33,34.0,85.94,0.531370222568512
34,35.0,75.93,0.5437925457954407
35,36.0,76.59,0.5705071091651917
36,37.0,77.95,0.6693482398986816
37,38.0,79.69,0.647993266582489
38,39.0,79.69,0.5324339270591736
39,40.0,78.41,0.3933970034122467
40,41.0,76.67,0.4966951012611389
41,42.0,78.52,0.6815304160118103
42,43.0,77.34,0.6140740513801575
43,44.0,82.81,0.4277932047843933
44,45.0,81.25,0.530138373374939
45,46.0,81.25,0.5812798142433167
46,47.0,87.5,0.40853187441825867
47,48.0,81.25,0.5192182064056396
48,49.0,77.86,0.5325905084609985
49,50.0,79.19,0.5903849601745605
50,51.0,79.69,0.6539265513420105
51,52.0,77.87,0.5207536816596985
52,53.0,78.01,0.5454140901565552
53,54.0,79.69,0.5324537754058838
54,55.0,78.91,0.34938979148864746
55,56.0,77.4,0.9893776178359985
56,57.0,81.25,0.44995641708374023
57,58.0,82.81,0.3926216661930084
58,59.0,79.1,0.34433218836784363
59,60.0,81.49,0.18671680986881256
60,61.0,84.38,0.2812216877937317
