Epoch,Accuracy,Loss
1.0,18.75,
2.0,11.08,
3.0,11.98,
4.0,17.19,
5.0,10.94,
6.0,10.2,
7.0,9.94,
8.0,14.58,
9.0,12.11,
10.0,11.46,
11.0,10.94,
12.0,10.23,
13.0,10.42,
14.0,18.75,
15.0,10.74,
16.0,14.06,
17.0,14.06,
18.0,10.57,
19.0,11.98,
20.0,10.68,
21.0,10.68,
22.0,14.84,
23.0,14.06,
24.0,10.74,
25.0,11.33,
26.0,14.06,
27.0,10.02,
28.0,10.94,
29.0,14.06,
30.0,9.94,
31.0,12.5,
32.0,10.94,
33.0,23.44,
34.0,9.86,
35.0,17.19,
36.0,14.06,
37.0,17.19,
38.0,9.98,
39.0,14.06,
40.0,13.8,
41.0,11.98,
42.0,10.43,
43.0,11.98,
44.0,12.5,
45.0,10.94,
46.0,12.5,
47.0,15.62,
48.0,13.28,
49.0,11.72,
50.0,13.28,
51.0,12.11,
52.0,9.82,
53.0,17.19,
54.0,15.62,
55.0,9.86,
56.0,14.06,
57.0,10.37,
58.0,11.25,
59.0,11.46,
60.0,10.28,
61.0,20.31,
62.0,11.56,
63.0,10.94,
64.0,10.72,
65.0,11.38,
66.0,12.11,
67.0,10.16,
68.0,10.42,
69.0,11.3,
70.0,12.5,
71.0,14.45,
72.0,11.72,
73.0,12.05,
74.0,11.33,
75.0,10.94,
76.0,10.0,
77.0,13.54,
78.0,14.06,
79.0,12.5,
80.0,12.5,
81.0,10.27,
82.0,10.4,
83.0,11.07,
84.0,17.19,
85.0,10.94,
86.0,9.91,
87.0,12.5,
88.0,14.06,
89.0,12.5,
90.0,10.83,
91.0,10.47,
92.0,10.74,
93.0,12.5,
94.0,17.19,
95.0,10.18,
96.0,14.84,
97.0,11.72,
98.0,12.6,
99.0,10.94,
100.0,9.91,
101.0,9.86,
102.0,14.06,
103.0,11.46,
104.0,11.33,
105.0,10.94,
106.0,17.19,
107.0,15.62,
108.0,12.5,
109.0,10.94,
110.0,12.5,
111.0,11.33,
112.0,10.42,
113.0,9.82,
114.0,14.84,
115.0,10.62,
116.0,11.46,
117.0,10.94,
118.0,10.6,
119.0,10.59,
120.0,11.0,
121.0,17.19,
122.0,10.62,
123.0,12.28,
124.0,14.06,
125.0,12.5,
126.0,10.94,
127.0,14.84,
128.0,15.62,
129.0,9.98,
130.0,17.19,
131.0,14.06,
132.0,10.55,
133.0,9.97,
134.0,11.91,
135.0,15.62,
136.0,11.72,
137.0,14.06,
138.0,13.28,
139.0,10.27,
140.0,10.68,
141.0,10.55,
142.0,10.7,
143.0,12.24,
144.0,9.91,
145.0,10.21,
146.0,10.51,
147.0,10.74,
148.0,11.3,
149.0,11.46,
150.0,10.44,
151.0,10.38,
152.0,12.5,
153.0,10.17,
154.0,11.21,
155.0,11.46,
156.0,10.38,
157.0,11.88,
158.0,9.96,
159.0,11.46,
160.0,10.1,
161.0,10.16,
162.0,9.9,
163.0,12.5,
164.0,10.49,
165.0,15.62,
166.0,13.28,
167.0,11.41,
168.0,15.62,
169.0,14.06,
170.0,10.42,
171.0,12.17,
172.0,11.28,
173.0,10.94,
174.0,12.5,
175.0,9.98,
176.0,9.85,
177.0,11.46,
178.0,9.82,
179.0,10.98,
180.0,12.24,
181.0,10.42,
182.0,12.5,
183.0,10.94,
184.0,13.12,
185.0,10.94,
186.0,11.98,
187.0,12.5,
188.0,10.74,
189.0,12.5,
190.0,10.49,
191.0,13.28,
192.0,12.5,
193.0,10.94,
194.0,12.5,
195.0,11.61,
196.0,10.03,
197.0,11.22,
198.0,10.18,
199.0,10.1,
200.0,10.04,
Test,9.8,
Best,23.44,@ epoch 33
