Epoch,Accuracy,Loss
1.0,38.09,1.656033992767334
2.0,48.44,1.748758316040039
3.0,51.56,1.6336008310317993
4.0,51.54,1.3449584245681763
5.0,53.12,1.1209019422531128
6.0,51.61,1.5485152006149292
7.0,62.89,1.5339398384094238
8.0,58.59,1.2726922035217285
9.0,54.82,1.049782156944275
10.0,60.94,1.4173394441604614
11.0,59.6,1.117027759552002
12.0,61.25,1.2347859144210815
13.0,62.5,1.1826366186141968
14.0,61.98,1.1562082767486572
15.0,64.06,0.9783473610877991
16.0,59.24,1.1934674978256226
17.0,61.66,1.1628369092941284
18.0,60.06,1.2902250289916992
19.0,62.5,1.218240737915039
20.0,62.5,1.2968114614486694
21.0,63.5,1.0241718292236328
22.0,63.58,0.9163329005241394
23.0,65.92,0.9879326224327087
24.0,64.17,0.829951286315918
25.0,64.06,0.7715882062911987
26.0,68.75,1.327989101409912
27.0,63.07,1.1893179416656494
28.0,68.75,1.0923599004745483
29.0,64.06,0.8616718649864197
30.0,78.12,0.7396254539489746
31.0,75.73,0.4336633086204529
32.0,76.72,0.6362028121948242
33.0,82.81,0.4591289460659027
34.0,76.81,0.630169689655304
35.0,78.52,0.6854291558265686
36.0,78.32,0.785975992679596
37.0,79.69,0.36218130588531494
38.0,78.44,0.6481460928916931
39.0,85.94,0.33608946204185486
40.0,81.25,0.454773873090744
41.0,77.27,0.531579852104187
42.0,81.77,0.3438355028629303
43.0,76.56,0.5287481546401978
44.0,79.3,0.4440842866897583
45.0,80.47,0.6843973398208618
46.0,77.67,0.42346441745758057
47.0,82.81,0.5675414800643921
48.0,87.5,0.5211994647979736
49.0,77.52,0.369170218706131
50.0,80.15,0.5096535682678223
51.0,81.25,0.3227815330028534
52.0,89.06,0.47326040267944336
53.0,79.06,0.39897632598876953
54.0,78.44,0.6661909222602844
55.0,80.21,0.5974878072738647
56.0,82.81,0.3892455995082855
57.0,79.73,0.49327412247657776
58.0,82.81,0.4178556501865387
59.0,78.27,0.6902103424072266
60.0,89.06,0.4937033951282501
61.0,82.81,0.243779718875885
62.0,80.11,0.4182278513908386
63.0,81.77,0.24539877474308014
64.0,89.06,0.22007423639297485
65.0,81.9,0.2756461799144745
66.0,81.25,0.2501373589038849
67.0,83.59,0.22048304975032806
68.0,82.81,0.1424800157546997
69.0,82.81,0.23369398713111877
70.0,82.81,0.3332958221435547
