,Epoch,Accuracy,Loss
0,1.0,49.349,1.3176
1,2.0,49.4032,1.6217
2,3.0,57.8125,1.3055
3,4.0,56.7708,1.3157
4,5.0,57.3125,1.5276
5,6.0,59.375,1.4054
6,7.0,56.9196,0.9374
7,8.0,60.5242,1.1155
8,9.0,61.0577,1.3835
9,10.0,59.592,1.0388
10,11.0,64.0625,1.2398
11,12.0,62.5,1.0835
12,13.0,65.625,0.8782
13,14.0,57.6172,1.3027
14,15.0,65.2344,1.2233
15,16.0,60.3516,1.1438
16,17.0,64.8438,0.9214
17,18.0,64.0625,1.7968
18,19.0,60.9375,1.2483
19,20.0,65.625,1.111
20,21.0,62.5,1.2632
21,22.0,62.5,1.2396
22,23.0,68.75,1.0906
23,24.0,63.7044,0.9456
24,25.0,67.1875,1.1516
25,26.0,66.4062,1.2206
26,27.0,63.7153,1.1686
27,28.0,59.8958,1.4196
28,29.0,61.9792,1.3012
29,30.0,78.125,0.4636
30,31.0,79.9107,0.3542
31,32.0,87.5,0.273
32,33.0,83.4375,0.4229
33,34.0,79.0625,0.1666
34,35.0,78.4647,0.3935
35,36.0,78.2366,0.1884
36,37.0,84.7656,0.2015
37,38.0,78.2919,0.0905
38,39.0,78.7435,0.0776
39,40.0,80.9375,0.0303
40,41.0,78.9062,0.0629
41,42.0,84.375,0.0352
42,43.0,81.25,0.017
43,44.0,79.5455,0.0163
44,45.0,79.497,0.0235
45,46.0,79.1667,0.0304
46,47.0,79.6875,0.0669
47,48.0,82.8125,0.1415
48,49.0,79.7585,0.1168
49,50.0,81.25,0.0746
50,51.0,83.2031,0.2344
51,52.0,86.7188,0.1499
52,53.0,84.375,0.1121
53,54.0,79.6875,0.0409
54,55.0,78.9402,0.0441
55,56.0,82.0312,0.094
56,57.0,80.3267,0.0149
57,58.0,80.4688,0.0195
58,59.0,80.8594,0.0062
59,60.0,85.9375,0.0033
60,61.0,80.3043,0.0072
61,62.0,85.9375,0.0055
62,63.0,89.0625,0.0067
63,64.0,81.1756,0.0056
64,65.0,87.5,0.0042
65,66.0,83.2031,0.006
66,67.0,80.8594,0.0045
67,68.0,81.25,0.003
68,69.0,84.8958,0.0035
69,70.0,85.1562,0.0057
70,71.0,80.3064,0.006
71,72.0,85.9375,0.0042
72,73.0,80.5804,0.0057
73,74.0,81.0855,0.0069
74,75.0,83.2031,0.0048
75,76.0,80.29,0.0068
76,77.0,85.9375,0.003
77,78.0,87.5,0.0049
78,79.0,80.7292,0.0055
79,80.0,87.5,0.0053
80,81.0,81.3616,0.0074
81,82.0,84.375,0.0072
82,83.0,81.25,0.0059
83,84.0,84.375,0.0035
84,85.0,81.6964,0.0059
85,86.0,84.375,0.0086
86,87.0,83.8542,0.0052
87,88.0,84.375,0.008
88,89.0,85.5469,0.0069
89,90.0,81.0202,0.0046
90,91.0,82.4219,0.0064
91,92.0,81.9602,0.0044
92,93.0,81.0662,0.0045
93,94.0,84.375,0.0033
94,95.0,81.6311,0.0034
95,96.0,80.9403,0.006
96,97.0,80.957,0.0068
97,98.0,83.2589,0.0042
98,99.0,81.3393,0.0067
99,100.0,81.25,0.0063
100,101.0,82.5,0.0045
101,102.0,84.375,0.0054
102,103.0,83.3333,0.0067
103,104.0,81.7708,0.0084
104,105.0,82.8125,0.009
105,106.0,82.5521,0.0052
106,107.0,82.8125,0.0085
107,108.0,81.25,0.0066
108,109.0,84.375,0.0065
109,110.0,81.5972,0.0071
110,111.0,85.9375,0.007
111,112.0,81.6406,0.0064
112,113.0,90.625,0.0046
113,114.0,85.1562,0.0048
114,115.0,84.375,0.0054
115,116.0,81.6406,0.0061
116,117.0,82.5,0.008
117,118.0,82.8125,0.008
118,119.0,83.125,0.0076
119,120.0,80.7212,0.0059
120,121.0,83.3984,0.0051
121,122.0,85.1562,0.0059
122,123.0,81.25,0.0064
123,124.0,83.9844,0.0057
124,125.0,84.375,0.007
125,126.0,84.375,0.0096
126,127.0,81.8182,0.0033
127,128.0,85.9375,0.0057
128,129.0,81.0938,0.0076
129,130.0,85.9375,0.0075
130,131.0,82.8125,0.0078
131,132.0,84.375,0.0084
132,133.0,84.375,0.0085
133,134.0,83.2031,0.007
134,135.0,84.375,0.007
135,136.0,80.8681,0.0058
136,137.0,83.3008,0.0067
137,138.0,80.7745,0.007
138,139.0,80.7904,0.0069
139,140.0,85.1562,0.0069
140,141.0,88.6719,0.0046
141,142.0,85.9375,0.0083
142,143.0,89.0625,0.0074
143,144.0,80.9375,0.0055
144,145.0,81.5104,0.0059
145,146.0,82.0312,0.0061
146,147.0,81.3988,0.0072
147,148.0,83.125,0.0081
148,149.0,81.8222,0.0065
149,150.0,81.5733,0.0069
150,151.0,81.6406,0.0074
151,152.0,82.8125,0.005
152,153.0,84.375,0.0065
153,154.0,82.3661,0.0087
154,155.0,81.5505,0.0089
155,156.0,82.8125,0.0032
156,157.0,83.5938,0.0072
157,158.0,80.8373,0.0074
158,159.0,81.6964,0.0064
159,160.0,83.5938,0.0082
160,161.0,81.25,0.0049
161,162.0,80.878,0.0047
162,163.0,80.6552,0.0068
163,164.0,81.4631,0.007
164,165.0,83.3333,0.0049
165,166.0,82.1875,0.0061
166,167.0,81.4132,0.0093
167,168.0,85.9375,0.0049
168,169.0,81.108,0.0071
169,170.0,84.6354,0.0067
170,171.0,90.625,0.0068
171,172.0,81.7708,0.0083
172,173.0,83.5938,0.0088
173,174.0,84.375,0.0091
174,175.0,82.5721,0.0053
175,176.0,80.9696,0.0082
176,177.0,81.5897,0.009
177,178.0,80.8429,0.0037
178,179.0,81.6964,0.0085
179,180.0,81.5549,0.0038
180,181.0,82.8125,0.006
181,182.0,84.375,0.0055
182,183.0,80.7712,0.0053
183,184.0,86.9792,0.0075
184,185.0,85.9375,0.0048
185,186.0,81.0938,0.0057
186,187.0,81.5104,0.0058
187,188.0,81.9336,0.0052
188,189.0,81.7472,0.0068
189,190.0,85.0,0.0058
190,191.0,82.2917,0.009
191,192.0,80.7117,0.01
192,193.0,81.6231,0.0047
193,194.0,85.9375,0.0053
194,195.0,84.375,0.0052
195,196.0,81.3419,0.0073
196,197.0,89.0625,0.0081
197,198.0,80.7176,0.0044
198,199.0,82.8125,0.0048
199,200.0,81.8359,0.0087
201,Test,Accuracy,80.7
202,Best,90.625,@ Epoch 113
