,Epoch,Accuracy,Loss
0,1.0,38.2812,1.5725
1,2.0,49.6528,1.5124
2,3.0,51.5625,1.3534
3,4.0,57.8125,1.4729
4,5.0,53.1789,1.4542
5,6.0,57.0312,1.1591
6,7.0,59.1797,1.5271
7,8.0,59.6591,1.1098
8,9.0,58.2556,1.1033
9,10.0,65.625,1.1858
10,11.0,63.7931,1.1084
11,12.0,62.8348,1.0103
12,13.0,64.2578,0.9381
13,14.0,66.4062,1.2331
14,15.0,64.3229,1.1634
15,16.0,61.263,1.1886
16,17.0,66.1458,0.8732
17,18.0,71.875,0.9618
18,19.0,68.75,0.826
19,20.0,63.0208,0.9439
20,21.0,75.0,1.1841
21,22.0,63.6905,0.9868
22,23.0,64.2578,0.8195
23,24.0,67.1875,0.9382
24,25.0,68.0804,0.5206
25,26.0,60.8603,1.0456
26,27.0,67.1875,1.1589
27,28.0,63.75,1.2378
28,29.0,64.5833,1.0909
29,30.0,77.3438,0.876
30,31.0,81.25,0.7696
31,32.0,81.25,0.5542
32,33.0,83.5938,0.5401
33,34.0,87.5,0.5497
34,35.0,85.9375,0.528
35,36.0,81.25,0.877
36,37.0,78.125,0.6544
37,38.0,79.6875,0.5843
38,39.0,77.0312,0.424
39,40.0,82.0312,0.5116
40,41.0,79.3199,0.5661
41,42.0,80.7292,0.4833
42,43.0,79.1992,0.5375
43,44.0,77.6367,0.5255
44,45.0,80.1309,0.3888
45,46.0,80.4688,0.5793
46,47.0,80.625,0.483
47,48.0,80.2083,0.5434
48,49.0,84.375,0.575
49,50.0,82.8125,0.5263
50,51.0,81.6964,0.5388
51,52.0,82.8125,0.435
52,53.0,80.4688,0.5777
53,54.0,85.9375,0.3963
54,55.0,80.4688,0.659
55,56.0,80.7904,0.2958
56,57.0,85.9375,0.4865
57,58.0,80.7292,0.5939
58,59.0,82.8125,0.2572
59,60.0,83.4375,0.2514
60,61.0,81.9767,0.2803
61,62.0,87.5,0.3046
62,63.0,85.9375,0.4155
63,64.0,90.625,0.4387
64,65.0,82.9044,0.4283
65,66.0,79.7628,0.3356
66,67.0,82.0312,0.3245
67,68.0,85.9375,0.3645
68,69.0,81.1216,0.2989
69,70.0,85.9375,0.2429
70,71.0,86.9792,0.3673
71,72.0,83.3807,0.2708
72,73.0,81.9079,0.3277
73,74.0,84.375,0.3407
74,75.0,84.1797,0.2106
75,76.0,80.2043,0.3277
76,77.0,85.9375,0.3831
77,78.0,82.959,0.2749
78,79.0,82.8125,0.2519
79,80.0,85.9375,0.553
80,81.0,83.5938,0.3319
81,82.0,82.1232,0.395
82,83.0,82.1378,0.1377
83,84.0,84.375,0.2036
84,85.0,85.1562,0.285
85,86.0,81.7446,0.2902
86,87.0,84.375,0.1858
87,88.0,83.4135,0.2483
88,89.0,83.1414,0.215
89,90.0,84.375,0.2859
90,91.0,85.1562,0.1876
91,92.0,83.1752,0.2323
92,93.0,89.0625,0.3572
93,94.0,82.2917,0.2142
94,95.0,83.8942,0.2624
95,96.0,87.5,0.3963
96,97.0,92.1875,0.2311
97,98.0,93.75,0.1568
98,99.0,82.8125,0.267
99,100.0,81.8314,0.3166
100,101.0,80.92,0.2201
101,102.0,84.375,0.3254
102,103.0,89.0625,0.3389
103,104.0,83.5069,0.4678
104,105.0,87.5,0.4445
105,106.0,83.8542,0.3911
106,107.0,85.9375,0.2488
107,108.0,87.5,0.2259
108,109.0,87.5,0.3622
109,110.0,83.4375,0.2347
110,111.0,79.5139,0.455
111,112.0,90.625,0.3745
112,113.0,82.4728,0.2562
113,114.0,84.375,0.3047
114,115.0,85.9375,0.4869
115,116.0,81.25,0.2425
116,117.0,81.9257,0.3867
117,118.0,83.9286,0.3542
118,119.0,85.9375,0.1698
119,120.0,82.4219,0.2304
120,121.0,93.75,0.2935
121,122.0,89.0625,0.2017
122,123.0,85.9375,0.1192
123,124.0,82.5223,0.2521
124,125.0,81.9602,0.2488
125,126.0,86.3281,0.2386
126,127.0,81.924,0.2504
127,128.0,82.4777,0.2466
128,129.0,81.0547,0.5365
129,130.0,85.1562,0.226
130,131.0,82.8125,0.2234
131,132.0,84.375,0.3267
132,133.0,83.0452,0.2343
133,134.0,83.6426,0.1587
134,135.0,82.8125,0.2868
135,136.0,82.7009,0.1451
136,137.0,84.375,0.2146
137,138.0,85.9375,0.2386
138,139.0,84.375,0.2435
139,140.0,85.4167,0.2254
140,141.0,83.1633,0.2092
141,142.0,89.0625,0.2799
142,143.0,84.375,0.2089
143,144.0,84.375,0.3013
144,145.0,82.0312,0.3362
145,146.0,87.5,0.3351
146,147.0,85.9375,0.4009
147,148.0,85.9375,0.288
148,149.0,81.25,0.3376
149,150.0,85.9375,0.3342
150,151.0,82.1918,0.2601
151,152.0,84.375,0.2077
152,153.0,83.3594,0.1767
153,154.0,85.9375,0.1972
154,155.0,86.7188,0.1811
155,156.0,89.0625,0.2583
156,157.0,85.9375,0.1952
157,158.0,83.9844,0.2441
158,159.0,84.375,0.1559
159,160.0,83.6806,0.2966
160,161.0,86.7188,0.2626
161,162.0,84.375,0.3327
162,163.0,83.3513,0.1805
163,164.0,89.0625,0.1718
164,165.0,85.9375,0.267
165,166.0,84.0625,0.2563
166,167.0,81.25,0.2893
167,168.0,83.7054,0.1743
168,169.0,82.4054,0.2615
169,170.0,83.2031,0.3714
170,171.0,84.375,0.1757
171,172.0,84.8958,0.2861
172,173.0,83.5938,0.233
173,174.0,87.5,0.2471
174,175.0,87.5,0.2189
175,176.0,82.9861,0.1775
176,177.0,83.125,0.1498
177,178.0,89.0625,0.3641
178,179.0,84.375,0.3638
179,180.0,87.5,0.3227
180,181.0,85.1562,0.2517
181,182.0,82.3484,0.2356
182,183.0,83.0163,0.2872
183,184.0,82.7106,0.1337
184,185.0,87.5,0.2924
185,186.0,82.8125,0.146
186,187.0,82.0772,0.3016
187,188.0,92.1875,0.2849
188,189.0,87.5,0.2507
189,190.0,86.7188,0.3253
190,191.0,82.7099,0.1922
191,192.0,84.375,0.199
192,193.0,83.4821,0.2281
193,194.0,85.9375,0.1163
194,195.0,84.375,0.2357
195,196.0,83.0729,0.2453
196,197.0,82.8125,0.217
197,198.0,89.8438,0.1708
198,199.0,84.375,0.142
199,200.0,84.375,0.2283
201,Test,Accuracy,82.35
202,Best,93.75,@ Epoch 98
