,Epoch,Accuracy,Loss
0,1.0,40.292,1.5839
1,2.0,45.7306,1.4104
2,3.0,50.3906,1.342
3,4.0,61.6071,1.3111
4,5.0,60.625,1.4869
5,6.0,64.3229,0.939
6,7.0,68.75,0.9801
7,8.0,63.0208,1.2874
8,9.0,66.4253,0.7656
9,10.0,62.207,1.218
10,11.0,66.0022,0.9876
11,12.0,64.0625,0.8266
12,13.0,69.1406,0.6739
13,14.0,66.3086,1.1033
14,15.0,67.1875,0.9979
15,16.0,67.7083,0.9317
16,17.0,65.348,0.9649
17,18.0,68.75,1.0028
18,19.0,64.4531,1.2318
19,20.0,67.1875,0.8794
20,21.0,62.5,1.0403
21,22.0,69.1406,0.8863
22,23.0,68.0147,0.9489
23,24.0,71.875,1.0677
24,25.0,70.1172,0.9338
25,26.0,72.6562,0.9551
26,27.0,71.875,0.831
27,28.0,68.5009,1.018
28,29.0,69.5312,0.9588
29,30.0,78.125,0.643
30,31.0,79.625,0.7798
31,32.0,84.375,0.564
32,33.0,81.25,0.5533
33,34.0,84.375,0.6125
34,35.0,81.1198,0.4482
35,36.0,84.1146,0.4083
36,37.0,82.2917,0.4575
37,38.0,82.8125,0.3718
38,39.0,84.8958,0.4196
39,40.0,84.375,0.4064
40,41.0,81.4732,0.3074
41,42.0,82.9688,0.3123
42,43.0,83.5938,0.3801
43,44.0,80.9097,0.2721
44,45.0,82.0312,0.5329
45,46.0,84.375,0.3341
46,47.0,81.25,0.5068
47,48.0,84.0625,0.2595
48,49.0,82.0977,0.2844
49,50.0,80.625,0.3518
50,51.0,83.5938,0.2352
51,52.0,89.0625,0.3489
52,53.0,82.8125,0.3025
53,54.0,82.0312,0.5264
54,55.0,83.3984,0.1749
55,56.0,82.2917,0.1993
56,57.0,84.375,0.3174
57,58.0,82.8125,0.2928
58,59.0,89.0625,0.327
59,60.0,83.3233,0.1562
60,61.0,85.9375,0.1626
61,62.0,83.2031,0.13
62,63.0,83.277,0.1351
63,64.0,83.5938,0.0905
64,65.0,83.3333,0.1426
65,66.0,86.3281,0.1527
66,67.0,84.375,0.0971
67,68.0,93.75,0.2166
68,69.0,83.5526,0.1213
69,70.0,84.375,0.0712
70,71.0,84.375,0.1402
71,72.0,84.1033,0.0421
72,73.0,83.1597,0.2254
73,74.0,82.8125,0.178
74,75.0,93.75,0.1339
75,76.0,84.7098,0.1312
76,77.0,83.9844,0.0551
77,78.0,84.375,0.1202
78,79.0,90.625,0.141
79,80.0,85.9375,0.085
80,81.0,85.5469,0.0948
81,82.0,89.0625,0.0803
82,83.0,84.375,0.0863
83,84.0,85.9375,0.054
84,85.0,84.375,0.1632
85,86.0,84.1146,0.1109
86,87.0,84.375,0.0922
87,88.0,84.4329,0.0872
88,89.0,90.625,0.0738
89,90.0,85.9375,0.1857
90,91.0,85.0781,0.0811
91,92.0,85.3125,0.0685
92,93.0,87.5,0.049
93,94.0,85.9375,0.0504
94,95.0,84.375,0.0714
95,96.0,83.9286,0.128
96,97.0,84.1712,0.0599
97,98.0,84.6354,0.0837
98,99.0,88.2812,0.0364
99,100.0,83.2764,0.1256
100,101.0,85.9375,0.1562
101,102.0,83.2397,0.0337
102,103.0,83.0357,0.0545
103,104.0,87.5,0.0283
104,105.0,85.9375,0.0335
105,106.0,90.625,0.0835
106,107.0,92.1875,0.0815
107,108.0,87.5,0.1399
108,109.0,88.2812,0.0625
109,110.0,85.1562,0.0537
110,111.0,81.8359,0.1404
111,112.0,86.7188,0.0582
112,113.0,84.375,0.1245
113,114.0,88.0208,0.1351
114,115.0,84.375,0.1822
115,116.0,85.9375,0.0761
116,117.0,83.2386,0.0952
117,118.0,88.2812,0.2045
118,119.0,90.625,0.0389
119,120.0,85.9375,0.056
120,121.0,87.5,0.068
121,122.0,81.8934,0.0961
122,123.0,90.625,0.1104
123,124.0,85.9375,0.0299
124,125.0,83.5938,0.041
125,126.0,89.0625,0.0727
126,127.0,85.9375,0.1124
127,128.0,86.7188,0.1006
128,129.0,84.375,0.0518
129,130.0,83.8542,0.1283
130,131.0,81.7239,0.0803
131,132.0,85.9375,0.1327
132,133.0,85.9375,0.0646
133,134.0,87.5,0.0516
134,135.0,85.9375,0.0606
135,136.0,85.9375,0.044
136,137.0,83.7054,0.0896
137,138.0,85.9375,0.1085
138,139.0,90.625,0.0808
139,140.0,89.0625,0.0718
140,141.0,82.81,0.0882
141,142.0,84.5312,0.1069
142,143.0,85.9375,0.0838
143,144.0,83.3262,0.0932
144,145.0,85.9375,0.0688
145,146.0,85.9375,0.2051
146,147.0,85.1562,0.1071
147,148.0,90.625,0.0306
148,149.0,85.9375,0.0835
149,150.0,87.5,0.0471
150,151.0,82.8356,0.104
151,152.0,85.9375,0.092
152,153.0,85.9375,0.0669
153,154.0,82.9297,0.0533
154,155.0,84.668,0.0813
155,156.0,89.0625,0.0331
156,157.0,84.375,0.0421
157,158.0,83.4888,0.0328
158,159.0,84.8958,0.0551
159,160.0,90.625,0.0169
160,161.0,84.6444,0.0449
161,162.0,84.4271,0.1838
162,163.0,83.109,0.1063
163,164.0,82.2338,0.1379
164,165.0,84.375,0.0865
165,166.0,84.123,0.0522
166,167.0,83.6048,0.0274
167,168.0,84.375,0.1156
168,169.0,84.375,0.0418
169,170.0,84.375,0.0363
170,171.0,85.9375,0.0658
171,172.0,89.8438,0.1496
172,173.0,85.9375,0.0632
173,174.0,84.329,0.052
174,175.0,85.9375,0.0508
175,176.0,83.7316,0.0673
176,177.0,86.9792,0.0745
177,178.0,84.1797,0.072
178,179.0,84.5486,0.0347
179,180.0,83.4936,0.0996
180,181.0,84.8958,0.0795
181,182.0,85.1562,0.0724
182,183.0,82.3589,0.0645
183,184.0,87.5,0.0596
184,185.0,85.1562,0.067
185,186.0,85.0,0.0229
186,187.0,82.8125,0.0957
187,188.0,87.5,0.0535
188,189.0,81.6319,0.1876
189,190.0,84.375,0.0791
190,191.0,87.5,0.0937
191,192.0,81.9661,0.1477
192,193.0,84.375,0.0548
193,194.0,83.9844,0.0776
194,195.0,82.5521,0.0642
195,196.0,85.9375,0.0676
196,197.0,83.75,0.0556
197,198.0,84.375,0.051
198,199.0,83.3333,0.0481
199,200.0,87.5,0.0732
201,Test,Accuracy,83.34
202,Best,93.75,@ Epoch 68
