,Epoch,Accuracy,Loss
0,1.0,51.5625,1.4401
1,2.0,53.125,1.3093
2,3.0,50.7102,1.4628
3,4.0,52.0312,1.3459
4,5.0,49.8047,1.3891
5,6.0,57.0312,1.3491
6,7.0,62.5,1.4773
7,8.0,57.8125,1.2574
8,9.0,53.2964,1.2398
9,10.0,64.0625,1.6126
10,11.0,54.5312,1.6375
11,12.0,67.1875,1.1982
12,13.0,58.2812,1.4075
13,14.0,63.4375,1.2029
14,15.0,60.9375,1.2283
15,16.0,59.8958,1.907
16,17.0,67.1875,1.3944
17,18.0,62.5,1.2283
18,19.0,65.625,1.3547
19,20.0,59.375,1.1986
20,21.0,57.977,1.2237
21,22.0,64.5833,1.1383
22,23.0,63.125,1.2168
23,24.0,64.8438,1.2613
24,25.0,68.75,1.3397
25,26.0,68.75,0.9812
26,27.0,67.1875,1.3472
27,28.0,58.65,0.9629
28,29.0,60.9375,1.3164
29,30.0,82.8125,0.7322
30,31.0,75.8502,0.7842
31,32.0,78.125,0.596
32,33.0,78.125,0.7111
33,34.0,78.125,0.5173
34,35.0,78.9367,0.4145
35,36.0,85.9375,0.4309
36,37.0,83.5938,0.4987
37,38.0,84.375,0.4453
38,39.0,82.8125,0.423
39,40.0,81.25,0.2693
40,41.0,80.6784,0.4162
41,42.0,81.25,0.2258
42,43.0,84.0625,0.7152
43,44.0,81.25,0.4121
44,45.0,85.9375,0.3357
45,46.0,85.9375,0.3793
46,47.0,81.0926,0.197
47,48.0,83.3333,0.4217
48,49.0,87.5,0.3382
49,50.0,85.1562,0.2282
50,51.0,84.375,0.3997
51,52.0,80.7812,0.1981
52,53.0,80.7991,0.2458
53,54.0,81.0547,0.5211
54,55.0,85.9375,0.2484
55,56.0,82.8125,0.1397
56,57.0,84.8958,0.4061
57,58.0,81.7708,0.2104
58,59.0,81.7909,0.1911
59,60.0,80.4688,0.3487
60,61.0,85.9375,0.3566
61,62.0,86.4583,0.2652
62,63.0,84.7656,0.161
63,64.0,83.5938,0.0829
64,65.0,85.4492,0.117
65,66.0,83.7963,0.0382
66,67.0,85.9375,0.0657
67,68.0,85.9375,0.0699
68,69.0,85.3693,0.064
69,70.0,83.817,0.0559
70,71.0,83.1801,0.2185
71,72.0,83.5747,0.1201
72,73.0,84.7656,0.1124
73,74.0,89.0625,0.1295
74,75.0,84.875,0.0123
75,76.0,87.5,0.031
76,77.0,83.1552,0.0685
77,78.0,86.1979,0.0241
78,79.0,83.5938,0.1024
79,80.0,89.0625,0.0266
80,81.0,84.6875,0.0123
81,82.0,87.5,0.2513
82,83.0,82.1181,0.1759
83,84.0,85.3125,0.0615
84,85.0,86.4583,0.0506
85,86.0,83.125,0.0901
86,87.0,85.9375,0.0598
87,88.0,82.4653,0.1037
88,89.0,85.9375,0.0915
89,90.0,87.5,0.0524
90,91.0,83.629,0.0831
91,92.0,84.1518,0.1057
92,93.0,83.5938,0.0178
93,94.0,84.0625,0.0823
94,95.0,89.0625,0.012
95,96.0,83.2994,0.0388
96,97.0,86.3636,0.0442
97,98.0,85.1562,0.0109
98,99.0,89.0625,0.0374
99,100.0,82.8125,0.0378
100,101.0,85.9375,0.0641
101,102.0,83.4704,0.0586
102,103.0,85.9375,0.3918
103,104.0,85.1562,0.0713
104,105.0,89.0625,0.0307
105,106.0,88.2812,0.194
106,107.0,82.9799,0.0364
107,108.0,84.375,0.0429
108,109.0,87.5,0.0743
109,110.0,83.8542,0.0297
110,111.0,89.0625,0.0465
111,112.0,85.9375,0.0387
112,113.0,84.9826,0.0513
113,114.0,83.8682,0.0178
114,115.0,84.375,0.0346
115,116.0,82.5965,0.0137
116,117.0,83.5227,0.1221
117,118.0,82.5945,0.0328
118,119.0,82.8409,0.0869
119,120.0,82.4341,0.0443
120,121.0,89.0625,0.0823
121,122.0,84.375,0.0408
122,123.0,84.6354,0.0342
123,124.0,87.5,0.0489
124,125.0,84.375,0.033
125,126.0,84.8072,0.0279
126,127.0,83.776,0.0176
127,128.0,86.3281,0.0364
128,129.0,85.7143,0.0305
129,130.0,84.1797,0.0361
130,131.0,84.375,0.1298
131,132.0,87.5,0.082
132,133.0,84.4383,0.1106
133,134.0,85.9375,0.0326
134,135.0,84.375,0.1333
135,136.0,85.5469,0.0457
136,137.0,85.9375,0.0383
137,138.0,88.2812,0.0379
138,139.0,87.5,0.0136
139,140.0,89.5833,0.0452
140,141.0,92.1875,0.0376
141,142.0,89.0625,0.0091
142,143.0,85.4167,0.0331
143,144.0,84.375,0.0254
144,145.0,85.5469,0.1559
145,146.0,84.8558,0.071
146,147.0,85.3125,0.0865
147,148.0,81.25,0.3429
148,149.0,84.375,0.0991
149,150.0,85.9375,0.0308
150,151.0,89.0625,0.0578
151,152.0,85.3125,0.0188
152,153.0,85.1562,0.0728
153,154.0,82.5994,0.0564
154,155.0,84.2857,0.0464
155,156.0,87.5,0.0552
156,157.0,83.8,0.0639
157,158.0,85.6771,0.0543
158,159.0,89.0625,0.0631
159,160.0,81.7708,0.194
160,161.0,88.75,0.0384
161,162.0,85.9375,0.0244
162,163.0,85.4167,0.1084
163,164.0,83.0357,0.0497
164,165.0,75.6696,0.7887
165,166.0,83.1693,0.0292
166,167.0,86.4583,0.045
167,168.0,87.5,0.1004
168,169.0,84.375,0.0333
169,170.0,87.5,0.0939
170,171.0,89.0625,0.0254
171,172.0,86.4583,0.0553
172,173.0,85.9375,0.0454
173,174.0,87.5,0.1784
174,175.0,84.375,0.0434
175,176.0,86.3281,0.039
176,177.0,83.8542,0.071
177,178.0,82.6451,0.0472
178,179.0,85.9375,0.0794
179,180.0,87.5,0.0417
180,181.0,83.3333,0.0292
181,182.0,88.0208,0.0104
182,183.0,90.625,0.0113
183,184.0,83.5938,0.0367
184,185.0,84.6875,0.1218
185,186.0,85.9375,0.2494
186,187.0,83.8542,0.0106
187,188.0,89.0625,0.079
188,189.0,83.7139,0.0402
189,190.0,85.9375,0.026
190,191.0,84.375,0.0426
191,192.0,87.5,0.0313
192,193.0,84.375,0.0375
193,194.0,85.9375,0.0205
194,195.0,83.0343,0.0258
195,196.0,84.1346,0.0409
196,197.0,85.9375,0.0199
197,198.0,85.1562,0.0236
198,199.0,84.1033,0.0203
199,200.0,87.2768,0.0112
201,Test,Accuracy,83.52
202,Best,92.1875,@ Epoch 141
