,Epoch,Accuracy,Loss
0,1.0,40.5599,1.8491
1,2.0,56.25,1.5036
2,3.0,52.8883,1.3536
3,4.0,55.4688,1.1386
4,5.0,56.7935,1.1812
5,6.0,61.4583,1.1317
6,7.0,59.375,0.9926
7,8.0,60.1562,1.4279
8,9.0,68.75,1.1477
9,10.0,64.8438,1.1129
10,11.0,68.3594,1.1502
11,12.0,63.732,1.2293
12,13.0,65.625,1.1354
13,14.0,71.875,1.2621
14,15.0,78.125,0.9578
15,16.0,68.75,0.9071
16,17.0,65.625,0.9469
17,18.0,65.7452,0.9572
18,19.0,68.75,1.1725
19,20.0,68.4375,1.1343
20,21.0,62.1094,0.8367
21,22.0,66.25,0.9616
22,23.0,66.7969,0.9768
23,24.0,66.0714,0.9917
24,25.0,69.2708,1.0248
25,26.0,67.1875,1.023
26,27.0,67.1875,0.8808
27,28.0,68.75,0.7377
28,29.0,64.4531,0.8044
29,30.0,82.8125,0.7783
30,31.0,77.0833,0.5945
31,32.0,82.8125,0.7031
32,33.0,85.9375,0.5167
33,34.0,78.5156,0.3486
34,35.0,89.0625,0.581
35,36.0,81.25,0.5172
36,37.0,79.122,0.5674
37,38.0,82.8125,0.4795
38,39.0,85.9375,0.4902
39,40.0,79.0865,0.3277
40,41.0,79.8032,0.6351
41,42.0,82.2917,0.4202
42,43.0,79.6165,0.3788
43,44.0,80.0655,0.3284
44,45.0,80.0058,0.4404
45,46.0,82.0312,0.3601
46,47.0,82.8125,0.298
47,48.0,79.6575,0.7125
48,49.0,81.25,0.5811
49,50.0,80.4878,0.4492
50,51.0,84.375,0.4618
51,52.0,87.5,0.2975
52,53.0,83.5938,0.5114
53,54.0,79.8875,0.4372
54,55.0,82.8125,0.5033
55,56.0,85.9375,0.4634
56,57.0,81.0096,0.592
57,58.0,83.5938,0.4878
58,59.0,84.375,0.3769
59,60.0,85.9375,0.2104
60,61.0,82.4574,0.2711
61,62.0,85.5903,0.3688
62,63.0,85.9375,0.3131
63,64.0,90.625,0.3942
64,65.0,85.9375,0.3509
65,66.0,80.5948,0.3415
66,67.0,83.5069,0.2719
67,68.0,86.4583,0.2323
68,69.0,85.9375,0.3672
69,70.0,84.375,0.2624
70,71.0,84.4952,0.1839
71,72.0,87.5,0.2948
72,73.0,83.3,0.2436
73,74.0,87.5,0.1999
74,75.0,84.6354,0.1476
75,76.0,84.0332,0.278
76,77.0,89.8438,0.3156
77,78.0,83.5938,0.3669
78,79.0,84.375,0.2583
79,80.0,93.75,0.1813
80,81.0,84.1518,0.2247
81,82.0,89.0625,0.2578
82,83.0,85.1562,0.3415
83,84.0,84.375,0.1958
84,85.0,89.0625,0.3356
85,86.0,87.5,0.2303
86,87.0,87.5,0.2856
87,88.0,84.508,0.2127
88,89.0,92.1875,0.227
89,90.0,90.625,0.1164
90,91.0,87.5,0.3772
91,92.0,87.8906,0.1715
92,93.0,92.1875,0.2007
93,94.0,84.375,0.0988
94,95.0,89.0625,0.1527
95,96.0,89.0625,0.1878
96,97.0,87.5,0.2037
97,98.0,84.2969,0.1968
98,99.0,85.9375,0.1867
99,100.0,84.375,0.2531
100,101.0,83.05,0.3061
101,102.0,84.375,0.2189
102,103.0,92.1875,0.3803
103,104.0,83.8542,0.2302
104,105.0,90.625,0.1582
105,106.0,93.75,0.3625
106,107.0,86.4583,0.1707
107,108.0,85.9375,0.201
108,109.0,84.7656,0.0876
109,110.0,83.5938,0.1973
110,111.0,85.2679,0.2436
111,112.0,83.0966,0.302
112,113.0,87.5,0.3339
113,114.0,82.0312,0.3302
114,115.0,89.0625,0.2881
115,116.0,84.1264,0.1241
116,117.0,89.0625,0.3109
117,118.0,86.9792,0.1601
118,119.0,87.5,0.1655
119,120.0,87.5,0.2012
120,121.0,84.375,0.2045
121,122.0,85.9375,0.0988
122,123.0,85.9375,0.2118
123,124.0,88.0208,0.1554
124,125.0,87.5,0.2659
125,126.0,83.3782,0.2097
126,127.0,85.9375,0.1811
127,128.0,83.5938,0.2735
128,129.0,86.4583,0.3231
129,130.0,81.7297,0.1923
130,131.0,85.3516,0.3184
131,132.0,88.2812,0.1726
132,133.0,81.25,0.3171
133,134.0,85.9375,0.2936
134,135.0,83.7329,0.2318
135,136.0,87.5,0.2279
136,137.0,87.5,0.1682
137,138.0,90.625,0.2564
138,139.0,92.1875,0.222
139,140.0,83.05,0.2857
140,141.0,85.9375,0.2405
141,142.0,83.2095,0.1798
142,143.0,84.1912,0.1153
143,144.0,84.375,0.4479
144,145.0,83.6719,0.1183
145,146.0,82.2917,0.4343
146,147.0,83.3807,0.186
147,148.0,85.1562,0.1978
148,149.0,84.7826,0.1607
149,150.0,84.5358,0.196
150,151.0,92.1875,0.0808
151,152.0,95.3125,0.1512
152,153.0,83.3333,0.2531
153,154.0,85.4911,0.2118
154,155.0,87.5,0.2293
155,156.0,85.9375,0.2598
156,157.0,84.4792,0.2613
157,158.0,85.9375,0.2187
158,159.0,83.676,0.1083
159,160.0,82.2508,0.2449
160,161.0,93.75,0.1093
161,162.0,87.5,0.272
162,163.0,85.1562,0.1263
163,164.0,84.0753,0.1849
164,165.0,83.7426,0.1355
165,166.0,85.1562,0.1052
166,167.0,82.4892,0.1621
167,168.0,83.4466,0.2022
168,169.0,83.9489,0.1559
169,170.0,84.5,0.239
170,171.0,85.9375,0.2223
171,172.0,89.0625,0.0937
172,173.0,86.25,0.1372
173,174.0,84.0701,0.1176
174,175.0,86.7188,0.3272
175,176.0,89.0625,0.1695
176,177.0,83.9543,0.1807
177,178.0,84.6875,0.2217
178,179.0,87.5,0.2942
179,180.0,89.0625,0.2348
180,181.0,86.4583,0.1745
181,182.0,85.9375,0.1564
182,183.0,84.375,0.248
183,184.0,87.5,0.2937
184,185.0,86.25,0.1781
185,186.0,83.54,0.13
186,187.0,85.9375,0.2437
187,188.0,85.1562,0.1967
188,189.0,93.75,0.2096
189,190.0,85.1562,0.1934
190,191.0,85.4167,0.1692
191,192.0,85.4539,0.1437
192,193.0,87.5,0.2694
193,194.0,84.375,0.2677
194,195.0,82.8125,0.1921
195,196.0,89.0625,0.2023
196,197.0,84.8958,0.3014
197,198.0,92.1875,0.3712
198,199.0,84.8214,0.1446
199,200.0,83.7891,0.2882
201,Test,Accuracy,82.05
202,Best,95.3125,@ Epoch 152
