Epoch,Accuracy,Loss
1.0,93.95,0.4428436756134033
2.0,98.44,0.02209312468767166
3.0,98.44,0.06839193403720856
4.0,96.88,0.1786337047815323
5.0,98.44,0.1658782809972763
6.0,99.22,0.010343554429709911
7.0,100.0,0.027815090492367744
8.0,100.0,0.05593962222337723
9.0,15.62,2.3249716758728027
10.0,11.41,2.298612117767334
11.0,10.81,2.312602996826172
12.0,11.51,2.3090474605560303
13.0,14.06,2.337738275527954
14.0,20.31,2.2994046211242676
15.0,12.5,2.3150386810302734
16.0,14.06,2.294607400894165
17.0,14.58,2.310311794281006
18.0,11.55,2.288182497024536
19.0,12.24,2.272078275680542
20.0,14.06,2.314068555831909
21.0,15.62,2.307936668395996
22.0,14.73,2.312180280685425
23.0,13.67,2.303467273712158
24.0,14.06,2.2758920192718506
25.0,17.19,2.318239688873291
26.0,12.12,2.2972965240478516
27.0,14.84,2.3050384521484375
28.0,12.28,2.299567222595215
29.0,14.06,2.264308452606201
30.0,12.5,2.289522886276245
31.0,11.56,2.2920784950256348
32.0,18.75,2.317746877670288
33.0,12.67,2.310187578201294
34.0,11.4,2.3113698959350586
35.0,14.06,2.298201084136963
36.0,11.79,2.3006248474121094
37.0,12.22,2.283479928970337
38.0,11.94,2.3042850494384766
39.0,12.5,2.281802177429199
40.0,11.61,2.2931454181671143
41.0,20.31,2.3023860454559326
42.0,17.19,2.303546905517578
43.0,14.06,2.3093302249908447
44.0,12.5,2.2926416397094727
45.0,17.19,2.2972354888916016
46.0,18.75,2.3080780506134033
47.0,15.62,2.3072710037231445
48.0,12.66,2.298468828201294
49.0,15.23,2.3092668056488037
50.0,10.47,2.3031973838806152
51.0,11.91,2.3046584129333496
52.0,14.06,2.293195962905884
53.0,12.19,2.305107593536377
54.0,15.0,2.2937276363372803
55.0,12.36,2.2973380088806152
56.0,11.71,2.304856538772583
57.0,17.19,2.3117425441741943
58.0,11.98,2.307370662689209
59.0,11.72,2.2948126792907715
60.0,11.99,2.2880306243896484
61.0,14.06,2.302762269973755
62.0,18.75,2.3080525398254395
63.0,11.73,2.295940637588501
64.0,17.19,2.304823398590088
65.0,12.87,2.3010971546173096
66.0,11.43,2.286848545074463
67.0,14.06,2.2963080406188965
68.0,11.53,2.3011224269866943
69.0,17.19,2.3085618019104004
70.0,12.5,2.2985680103302
71.0,15.62,2.2959680557250977
72.0,14.58,2.3109564781188965
73.0,13.54,2.3019535541534424
74.0,11.9,2.299579620361328
