Epoch,Accuracy,Loss
1.0,31.25,1.9033503532409668
2.0,41.5,1.5384095907211304
3.0,45.31,1.5085771083831787
4.0,45.31,1.4046331644058228
5.0,50.74,1.5436997413635254
6.0,50.69,1.4084655046463013
7.0,47.49,1.3068829774856567
8.0,55.4,1.2568962574005127
9.0,51.01,1.3016070127487183
10.0,59.38,1.4959319829940796
11.0,57.88,1.172309398651123
12.0,62.5,1.3634450435638428
13.0,62.99,1.1649295091629028
14.0,58.59,1.0979620218276978
15.0,58.17,1.2291532754898071
16.0,66.41,1.1001179218292236
17.0,62.5,1.0764214992523193
18.0,60.96,1.0672061443328857
19.0,62.5,1.149081826210022
20.0,68.23,1.3556301593780518
21.0,62.5,0.9811860918998718
22.0,61.27,1.2945427894592285
23.0,67.19,1.3061285018920898
24.0,64.06,0.9846827387809753
25.0,65.36,1.176410436630249
26.0,67.19,1.0158960819244385
27.0,72.92,0.7997079491615295
28.0,63.66,0.9675707221031189
29.0,56.77,1.1164997816085815
30.0,74.28,0.8098663091659546
31.0,75.78,0.8058567047119141
32.0,75.97,0.6582614183425903
33.0,78.79,0.5685620307922363
34.0,77.81,0.5733212828636169
35.0,76.67,0.7529993057250977
36.0,77.08,0.5892537236213684
37.0,81.51,0.5910881161689758
38.0,76.95,0.5672317147254944
39.0,76.3,0.6533846855163574
40.0,85.16,0.4547094702720642
41.0,82.81,0.5868729948997498
42.0,78.12,0.4663735330104828
43.0,84.38,0.691402792930603
44.0,79.69,0.6076939105987549
45.0,78.47,0.3771756589412689
46.0,78.12,0.574081540107727
47.0,78.75,0.5758073329925537
48.0,81.25,0.6216496825218201
49.0,78.35,0.430092990398407
50.0,77.91,0.4087863564491272
51.0,81.25,0.544288158416748
52.0,84.38,0.5417414903640747
53.0,79.06,0.6410101056098938
54.0,79.69,0.456358402967453
55.0,79.69,0.47397181391716003
56.0,79.07,0.2983910143375397
57.0,78.5,0.5388477444648743
58.0,93.75,0.525307834148407
59.0,78.3,0.40530288219451904
60.0,84.9,0.4911190867424011
61.0,83.59,0.4056732952594757
62.0,80.45,0.4117909073829651
63.0,84.38,0.2965354919433594
64.0,83.59,0.24541735649108887
65.0,85.94,0.3620978891849518
66.0,81.55,0.3710807263851166
67.0,84.38,0.2270645648241043
68.0,81.64,0.2136538177728653
69.0,88.28,0.3290666341781616
70.0,82.03,0.26072993874549866
71.0,81.25,0.3219015598297119
72.0,85.16,0.33208680152893066
73.0,81.88,0.3610532581806183
74.0,79.79,0.3219730854034424
75.0,82.5,0.2901945114135742
76.0,81.25,0.4252226948738098
77.0,81.4,0.36686286330223083
78.0,81.84,0.2189614623785019
79.0,81.44,0.21446493268013
80.0,82.81,0.3098944127559662
81.0,85.94,0.22590981423854828
82.0,83.42,0.2573182284832001
83.0,82.5,0.323368638753891
84.0,83.75,0.4502280354499817
85.0,80.77,0.4751330614089966
86.0,85.94,0.3299233019351959
87.0,84.38,0.3062886595726013
88.0,83.59,0.33044490218162537
89.0,87.5,0.4044937789440155
90.0,82.42,0.2566242814064026
91.0,79.4,0.2728787064552307
92.0,84.38,0.2166292518377304
93.0,81.82,0.20599812269210815
94.0,80.74,0.3929367661476135
95.0,82.47,0.27358362078666687
96.0,92.19,0.3237811028957367
97.0,80.96,0.5177736878395081
98.0,85.94,0.42018404603004456
99.0,85.55,0.19682970643043518
100.0,80.97,0.3695980906486511
101.0,82.1,0.36663416028022766
102.0,80.54,0.4005856215953827
103.0,79.42,0.22488291561603546
104.0,82.03,0.2645708918571472
105.0,84.06,0.2619553506374359
106.0,90.62,0.227267324924469
107.0,82.81,0.22906507551670074
108.0,82.81,0.1675676852464676
109.0,81.69,0.13464996218681335
110.0,81.51,0.28535887598991394
111.0,81.77,0.2520330548286438
112.0,83.12,0.26877063512802124
113.0,81.82,0.13771338760852814
114.0,85.16,0.19984352588653564
115.0,82.03,0.15405882894992828
116.0,82.81,0.2575820982456207
117.0,85.16,0.27798423171043396
118.0,82.44,0.25772619247436523
119.0,87.5,0.4059809148311615
120.0,82.81,0.24854685366153717
121.0,81.08,0.24178746342658997
122.0,81.67,0.26811742782592773
123.0,84.38,0.27298715710639954
124.0,82.81,0.4448990821838379
125.0,80.12,0.2992323338985443
126.0,84.38,0.26700538396835327
127.0,82.63,0.389082133769989
128.0,82.29,0.3142740726470947
129.0,89.06,0.3514349162578583
130.0,81.25,0.43996715545654297
131.0,81.77,0.16831400990486145
132.0,82.64,0.1760932207107544
133.0,85.94,0.22815664112567902
134.0,81.62,0.4338827133178711
135.0,86.72,0.32859283685684204
136.0,85.94,0.23765939474105835
137.0,82.59,0.16530340909957886
138.0,84.38,0.21554619073867798
139.0,88.28,0.2464105188846588
140.0,82.5,0.19044722616672516
141.0,84.38,0.30367669463157654
142.0,81.52,0.17504918575286865
143.0,83.59,0.35173097252845764
144.0,85.94,0.2746814489364624
145.0,83.33,0.4598972499370575
146.0,89.06,0.2935832142829895
147.0,90.62,0.24932339787483215
148.0,85.94,0.24745723605155945
149.0,80.98,0.32409408688545227
150.0,84.38,0.5007669925689697
151.0,83.44,0.26545897126197815
152.0,80.39,0.36878255009651184
