Epoch,Accuracy,Loss
1.0,0.6,5.001745700836182
2.0,1.95,4.802952289581299
3.0,1.56,4.291592597961426
4.0,0.16,4.205543518066406
5.0,1.28,4.476318359375
6.0,1.56,4.302051544189453
7.0,0.52,4.352478504180908
8.0,0.22,4.4998860359191895
9.0,3.12,4.2990875244140625
10.0,1.56,4.3883233070373535
11.0,3.65,4.125932693481445
12.0,3.12,4.235555648803711
13.0,1.56,4.2912421226501465
14.0,0.39,4.418147087097168
15.0,0.52,4.386050224304199
16.0,0.46,4.386720180511475
17.0,0.08,4.612282752990723
18.0,1.04,4.349345684051514
19.0,1.56,4.324851036071777
20.0,0.75,4.292109489440918
21.0,2.34,3.9458084106445312
22.0,0.43,4.457555770874023
23.0,1.07,4.375819683074951
24.0,2.34,4.320621967315674
25.0,0.43,4.469208240509033
26.0,3.12,4.38277006149292
27.0,4.69,4.520108699798584
28.0,1.56,4.254340171813965
29.0,0.14,4.586370944976807
30.0,0.78,3.491575002670288
31.0,0.69,3.4828577041625977
32.0,1.39,3.1186611652374268
33.0,1.56,3.2736563682556152
34.0,2.34,2.9438204765319824
35.0,0.98,2.9733283519744873
36.0,1.56,3.2486460208892822
37.0,0.42,2.920513391494751
38.0,0.93,2.6209959983825684
39.0,1.94,2.50793194770813
40.0,3.12,2.6630678176879883
41.0,3.12,2.519521474838257
42.0,1.04,2.3484604358673096
43.0,2.34,2.30720853805542
44.0,0.73,2.673813819885254
45.0,1.05,2.6888480186462402
46.0,0.8,2.4506702423095703
47.0,1.65,1.7323540449142456
48.0,1.56,2.579963207244873
49.0,1.56,2.073760747909546
50.0,1.56,2.9573910236358643
51.0,1.56,1.876501441001892
52.0,0.74,2.2049574851989746
53.0,0.65,1.7143124341964722
54.0,0.35,1.8876230716705322
55.0,1.04,1.9557576179504395
56.0,1.56,1.8965550661087036
57.0,0.46,1.90156090259552
58.0,0.67,1.6958932876586914
59.0,0.89,1.9543776512145996
60.0,0.7,1.0122522115707397
61.0,0.75,0.6383215188980103
62.0,1.0,1.1354122161865234
63.0,0.78,0.9258635640144348
64.0,3.12,1.1762640476226807
65.0,1.04,0.6856187582015991
66.0,1.56,1.0114834308624268
67.0,0.99,0.6990591287612915
68.0,0.94,0.7357364892959595
69.0,1.56,0.3070870041847229
70.0,1.08,0.38843244314193726
71.0,0.92,0.7108438014984131
72.0,0.78,0.6301526427268982
73.0,1.17,0.6679835915565491
74.0,1.56,0.6126329302787781
75.0,0.78,0.7517489790916443
76.0,0.94,0.6227468848228455
77.0,0.94,0.4553486704826355
78.0,1.56,0.4098775088787079
79.0,1.56,0.5458452105522156
80.0,0.74,0.48472219705581665
81.0,2.34,0.704422652721405
82.0,0.72,0.33602699637413025
83.0,1.56,0.5798588395118713
84.0,2.34,0.4219062328338623
85.0,0.87,0.2965987026691437
86.0,0.89,0.7605937123298645
87.0,1.56,0.25544655323028564
88.0,1.56,0.30669736862182617
89.0,0.6,0.25707656145095825
90.0,0.94,0.1850869059562683
91.0,1.56,0.3834242522716522
92.0,1.56,0.2888263165950775
93.0,1.56,0.2785567343235016
94.0,1.14,0.14049288630485535
95.0,1.56,0.24279896914958954
96.0,1.56,0.1749657690525055
97.0,1.56,0.22601203620433807
98.0,0.66,0.1288701891899109
99.0,1.56,0.31243643164634705
100.0,0.75,0.13465946912765503
101.0,0.88,0.409944087266922
102.0,3.12,0.2695241868495941
103.0,3.12,0.19280847907066345
104.0,1.56,0.32251670956611633
105.0,1.04,0.15889224410057068
106.0,1.56,0.08534152060747147
107.0,0.64,0.1477098912000656
108.0,1.56,0.14771829545497894
109.0,1.56,0.2604488134384155
110.0,3.12,0.21841394901275635
111.0,0.7,0.10143610090017319
112.0,0.8,0.18432994186878204
113.0,0.78,0.24073879420757294
114.0,0.78,0.20460818707942963
115.0,0.9,0.09494967013597488
116.0,1.56,0.09553516656160355
117.0,0.77,0.13417556881904602
118.0,1.56,0.2772912383079529
119.0,1.56,0.11268743127584457
120.0,0.67,0.15988954901695251
121.0,0.74,0.09169226139783859
122.0,0.66,0.18130110204219818
123.0,0.67,0.15908676385879517
124.0,0.84,0.11006014794111252
125.0,0.84,0.1482016146183014
126.0,1.56,0.09806175529956818
127.0,0.82,0.09458670765161514
128.0,2.34,0.1920805126428604
129.0,0.69,0.16935992240905762
130.0,1.56,0.17493607103824615
131.0,1.12,0.11076678335666656
132.0,1.04,0.10975079983472824
133.0,1.56,0.13293328881263733
134.0,1.56,0.10315343737602234
135.0,3.12,0.10276435315608978
136.0,1.04,0.12153463065624237
137.0,0.87,0.0823594182729721
138.0,1.12,0.28622984886169434
139.0,1.34,0.15881231427192688
140.0,1.3,0.17864753305912018
141.0,2.08,0.09621994197368622
142.0,1.56,0.2122347056865692
143.0,0.9,0.10446042567491531
144.0,1.56,0.10801000893115997
145.0,1.04,0.2512159049510956
146.0,1.56,0.11567184329032898
147.0,0.86,0.05763383209705353
148.0,1.56,0.14235055446624756
149.0,0.68,0.13600797951221466
150.0,0.82,0.06160196289420128
151.0,1.25,0.16906720399856567
152.0,0.98,0.11319202929735184
153.0,0.91,0.07321133464574814
154.0,2.08,0.17374135553836823
155.0,3.12,0.14420758187770844
156.0,1.56,0.4452037215232849
157.0,0.78,0.2186104655265808
158.0,0.59,0.2503049969673157
159.0,0.87,0.1020733118057251
160.0,0.78,0.09480015188455582
161.0,1.56,0.08242716640233994
162.0,1.56,0.07254611700773239
163.0,3.12,0.0784887745976448
164.0,1.56,0.2493005394935608
