Epoch,Accuracy,Loss
1.0,54.69,1.5372155904769897
2.0,57.81,1.1920709609985352
3.0,53.39,1.4734230041503906
4.0,53.69,1.2278563976287842
5.0,53.48,1.3842723369598389
6.0,57.81,1.2853469848632812
7.0,58.01,1.1752777099609375
8.0,60.28,1.264857292175293
9.0,58.35,1.3503079414367676
10.0,65.0,1.1676020622253418
11.0,62.5,1.2353484630584717
12.0,62.81,1.1949260234832764
13.0,61.86,1.0925266742706299
14.0,59.38,1.3550517559051514
15.0,64.06,1.0800261497497559
16.0,67.58,0.8644621968269348
17.0,60.94,1.1162139177322388
18.0,60.0,1.0236045122146606
19.0,63.28,0.9935216307640076
20.0,64.06,1.2142311334609985
21.0,69.53,1.0429179668426514
22.0,62.21,1.3416478633880615
23.0,62.5,1.2595661878585815
24.0,62.11,1.1826202869415283
25.0,60.94,1.082445740699768
26.0,62.88,0.8754933476448059
27.0,68.27,1.1512080430984497
28.0,60.31,1.4254201650619507
29.0,66.41,0.7229331135749817
30.0,76.29,0.6504096388816833
31.0,89.06,0.5206282138824463
32.0,77.73,0.5920942425727844
33.0,80.13,0.3301489055156708
34.0,79.35,0.5195983648300171
35.0,82.03,0.29714435338974
36.0,84.38,0.47012558579444885
37.0,81.25,0.5395785570144653
38.0,80.5,0.31478914618492126
39.0,79.95,0.3329232633113861
40.0,81.77,0.36766278743743896
41.0,81.25,0.25446730852127075
42.0,82.81,0.14932040870189667
43.0,85.94,0.5429046154022217
44.0,81.25,0.2864770293235779
45.0,87.5,0.207928866147995
46.0,83.59,0.1968238353729248
47.0,87.5,0.38267093896865845
48.0,81.25,0.13008862733840942
49.0,83.2,0.26374152302742004
50.0,81.53,0.12842494249343872
51.0,84.38,0.3538590371608734
52.0,81.14,0.41605743765830994
53.0,80.09,0.21543429791927338
54.0,89.06,0.2869042158126831
55.0,83.85,0.17035585641860962
56.0,82.03,0.22837115824222565
57.0,84.9,0.2876158654689789
58.0,85.94,0.15035724639892578
59.0,89.06,0.1620384305715561
60.0,84.38,0.01840774156153202
61.0,84.38,0.10681601613759995
62.0,83.65,0.08250441402196884
63.0,85.94,0.03874960541725159
64.0,83.15,0.010547859594225883
65.0,84.38,0.061543822288513184
66.0,83.42,0.018190104514360428
67.0,83.85,0.09141483157873154
68.0,85.94,0.03630005195736885
69.0,81.58,0.222831591963768
70.0,84.49,0.00913380179554224
71.0,87.5,0.10336495190858841
72.0,84.71,0.009445776231586933
73.0,84.9,0.045235808938741684
74.0,84.38,0.02226513996720314
75.0,83.98,0.00539553863927722
76.0,84.38,0.08659889549016953
77.0,90.62,0.10799885541200638
78.0,83.44,0.02112431637942791
79.0,85.31,0.02141711860895157
80.0,82.81,0.03264864161610603
81.0,83.29,0.004156777635216713
82.0,82.66,0.06989873945713043
83.0,82.81,0.0076122526079416275
84.0,85.94,0.02579023875296116
85.0,84.15,0.04545331001281738
86.0,83.72,0.021724771708250046
87.0,83.59,0.018698589876294136
88.0,89.06,0.012000433169305325
89.0,86.33,0.008565801195800304
90.0,84.38,0.010130420327186584
91.0,82.45,0.07881536334753036
92.0,84.38,0.04552161693572998
93.0,85.42,0.011065900325775146
94.0,84.38,0.010393361561000347
95.0,81.65,0.05727194994688034
96.0,84.38,0.008671056479215622
97.0,85.71,0.01473374292254448
98.0,89.06,0.024608580395579338
99.0,84.38,0.034912433475255966
100.0,85.76,0.007158071268349886
101.0,83.77,0.04554080590605736
102.0,85.29,0.00783302541822195
103.0,82.81,0.012205302715301514
104.0,83.29,0.017754122614860535
105.0,83.07,0.009109266102313995
106.0,84.9,0.03154029697179794
107.0,85.31,0.005437657702714205
108.0,87.5,0.024213159456849098
109.0,84.64,0.006459264550358057
110.0,84.11,0.017292995005846024
111.0,85.94,0.003807768225669861
112.0,84.38,0.014860548079013824
113.0,84.38,0.004747175611555576
114.0,85.94,0.013456767424941063
115.0,89.06,0.013050439767539501
116.0,85.42,0.02471340447664261
117.0,85.94,0.048754941672086716
118.0,85.94,0.01183859258890152
119.0,82.81,0.01546263787895441
120.0,87.81,0.013569334521889687
121.0,85.94,0.004851076751947403
122.0,81.98,0.03225439786911011
123.0,89.06,0.009289078414440155
124.0,85.42,0.010447087697684765
125.0,82.96,0.010046117939054966
126.0,82.95,0.003461263608187437
127.0,84.15,0.005766316317021847
128.0,85.16,0.012218436226248741
129.0,86.46,0.03059707023203373
130.0,82.81,0.010465234518051147
131.0,84.82,0.01337265782058239
132.0,85.45,0.003579053794965148
133.0,83.79,0.003446654649451375
134.0,81.12,0.03562496602535248
135.0,90.62,0.0023833962623029947
136.0,87.5,0.008111259900033474
137.0,85.94,0.009166361764073372
138.0,85.42,0.01132437027990818
139.0,87.5,0.016765836626291275
140.0,84.38,0.003499422688037157
141.0,84.38,0.006772131659090519
142.0,82.39,0.04531778395175934
143.0,82.6,0.022687699645757675
144.0,85.94,0.014819643460214138
145.0,84.38,0.0009729978628456593
146.0,93.75,0.006958705373108387
147.0,84.6,0.020358290523290634
148.0,90.62,0.013507768511772156
149.0,82.48,0.017189418897032738
150.0,89.06,0.017733313143253326
151.0,81.25,0.06455019861459732
152.0,81.51,0.025982776656746864
153.0,83.41,0.010514754801988602
154.0,84.64,0.027893856167793274
155.0,84.38,0.03761635720729828
156.0,83.98,0.018708620220422745
157.0,83.85,0.009953757748007774
158.0,84.01,0.013541926629841328
159.0,85.94,0.0132853789255023
160.0,84.06,0.02129412814974785
161.0,85.94,0.007158663589507341
162.0,84.38,0.007610725238919258
163.0,84.38,0.015485822223126888
164.0,90.62,0.014165842905640602
165.0,84.11,0.014985625632107258
166.0,82.94,0.011950741522014141
167.0,85.23,0.008401643484830856
168.0,89.06,0.011819812469184399
169.0,84.08,0.010536033660173416
170.0,82.25,0.004978452809154987
171.0,86.88,0.026324111968278885
172.0,85.94,0.020060652866959572
173.0,85.12,0.004310865420848131
174.0,83.33,0.014234906993806362
175.0,84.38,0.011199397034943104
176.0,84.38,0.0048890444450080395
177.0,87.5,0.020348461344838142
178.0,82.81,0.010397541336715221
179.0,82.81,0.013497959822416306
180.0,87.5,0.03438509255647659
181.0,82.6,0.024049028754234314
182.0,83.03,0.009295574389398098
183.0,84.57,0.011783587746322155
184.0,84.38,0.010557296685874462
185.0,83.01,0.014568740501999855
186.0,87.5,0.00996420532464981
187.0,84.11,0.0164499469101429
188.0,83.07,0.006227421574294567
189.0,84.62,0.017016086727380753
190.0,84.95,0.006229810416698456
191.0,84.38,0.0362233892083168
192.0,86.46,0.015965664759278297
193.0,85.24,0.029420219361782074
194.0,81.45,0.06540261954069138
195.0,86.46,0.00865849293768406
196.0,84.38,0.0052001867443323135
197.0,85.94,0.017151879146695137
198.0,83.33,0.009517066180706024
199.0,89.06,0.028763609007000923
200.0,85.94,0.005131531972438097
Test,83.22,
Best,93.75,@ epoch 146
