Epoch,Accuracy,Loss
1.0,4.69,4.83854341506958
2.0,1.56,4.587469100952148
3.0,1.56,4.420459747314453
4.0,0.62,4.5783891677856445
5.0,0.78,4.317516326904297
6.0,0.59,4.7472968101501465
7.0,0.39,4.570703983306885
8.0,0.2,4.622989177703857
9.0,0.71,4.217825889587402
10.0,0.93,3.782601833343506
11.0,0.78,4.146278381347656
12.0,5.31,4.184554100036621
13.0,0.78,4.146799564361572
14.0,4.69,4.242804527282715
15.0,0.22,3.851890802383423
16.0,1.56,3.969301223754883
17.0,0.26,4.2567057609558105
18.0,0.78,4.4172587394714355
19.0,0.62,4.235079288482666
20.0,0.62,4.122790336608887
21.0,0.52,4.292472839355469
22.0,1.56,4.253818035125732
23.0,0.41,4.059825897216797
24.0,1.99,3.922619581222534
25.0,1.56,4.234917640686035
26.0,1.46,3.965669870376587
27.0,0.22,4.206140041351318
28.0,0.52,4.397144794464111
29.0,0.39,4.88191032409668
30.0,1.04,3.8407585620880127
31.0,0.8,3.128596782684326
32.0,3.12,2.9491045475006104
33.0,0.5,3.5461623668670654
34.0,6.25,3.389207124710083
35.0,0.98,3.105502128601074
36.0,2.34,2.730954647064209
37.0,3.12,3.1640944480895996
38.0,1.17,3.332698106765747
39.0,0.96,2.9768991470336914
40.0,0.64,2.76446533203125
41.0,1.56,2.6501543521881104
42.0,1.56,2.956963062286377
43.0,0.4,2.887449026107788
44.0,1.17,2.4044740200042725
45.0,0.7,2.7594034671783447
46.0,1.07,2.6370999813079834
47.0,0.87,2.415494203567505
48.0,0.5,2.5031790733337402
49.0,1.56,2.211693286895752
50.0,0.98,2.3735909461975098
51.0,1.56,2.718553066253662
52.0,1.03,1.9645569324493408
53.0,3.12,2.88759446144104
54.0,1.56,2.6698191165924072
55.0,0.47,2.5183115005493164
56.0,1.04,2.1677675247192383
57.0,0.74,2.379436731338501
58.0,0.99,2.6192948818206787
59.0,1.3,2.543421745300293
60.0,1.56,2.0254786014556885
61.0,1.17,1.391668438911438
62.0,1.04,1.5646134614944458
63.0,1.56,1.3350850343704224
64.0,0.62,1.2597984075546265
65.0,0.78,1.6881521940231323
66.0,1.56,1.1928125619888306
67.0,0.76,1.6564421653747559
68.0,1.82,1.3864972591400146
69.0,3.12,1.695935606956482
70.0,1.56,1.3093777894973755
71.0,0.64,1.0915030241012573
72.0,1.04,1.232800006866455
73.0,1.56,1.6320044994354248
74.0,2.34,1.4474337100982666
75.0,1.04,1.715951919555664
76.0,0.99,1.0397990942001343
77.0,2.34,0.9529127478599548
78.0,0.67,1.2209075689315796
79.0,1.95,1.7043426036834717
80.0,0.89,1.1418513059616089
81.0,0.78,0.9072768688201904
82.0,1.56,1.7121658325195312
83.0,1.56,1.00729238986969
84.0,0.78,1.0014774799346924
85.0,1.56,1.3486939668655396
86.0,1.17,1.1566848754882812
87.0,0.86,1.1520233154296875
88.0,0.78,1.2203606367111206
89.0,0.6,1.3336114883422852
90.0,0.78,1.0178577899932861
91.0,0.57,0.7788863182067871
92.0,0.86,2.055522918701172
93.0,1.56,0.763757586479187
94.0,0.96,1.583308219909668
95.0,1.56,0.6987076997756958
96.0,1.56,0.8005525469779968
97.0,0.73,0.607876181602478
98.0,0.55,0.9443637132644653
99.0,0.78,0.6003327965736389
100.0,1.56,1.408694863319397
101.0,0.73,0.722352147102356
102.0,0.78,0.8493801951408386
103.0,0.73,1.1829955577850342
104.0,1.56,0.7396981120109558
105.0,0.81,0.8670175671577454
106.0,0.94,0.7324773073196411
107.0,0.72,0.8229219317436218
108.0,1.56,0.8684731721878052
109.0,1.56,0.49763113260269165
110.0,3.12,0.97325199842453
111.0,1.56,0.5128672122955322
112.0,1.56,0.7819541096687317
113.0,0.63,0.8657492399215698
114.0,1.41,1.2512121200561523
115.0,1.56,1.2012171745300293
116.0,2.34,0.6060832142829895
117.0,0.59,0.8317301869392395
118.0,1.25,0.6636502146720886
119.0,0.51,1.0340585708618164
120.0,3.12,0.6550398468971252
121.0,1.56,1.59938645362854
122.0,1.34,0.5852075815200806
123.0,0.57,1.0222172737121582
124.0,1.56,0.7265973091125488
125.0,0.57,0.6642495393753052
126.0,1.56,0.7770261764526367
127.0,0.78,0.9937676191329956
128.0,0.68,1.4584871530532837
129.0,1.37,0.655789852142334
130.0,1.56,0.6119950413703918
131.0,0.53,0.9664449095726013
132.0,2.34,0.861807644367218
133.0,1.04,0.6423072218894958
134.0,0.7,0.8612105250358582
135.0,0.51,0.9782998561859131
136.0,0.74,0.7418532371520996
137.0,0.94,0.8207975029945374
138.0,0.78,1.4214926958084106
139.0,1.56,0.40113508701324463
140.0,1.56,0.7002882957458496
141.0,0.78,1.1254208087921143
142.0,1.56,0.5901586413383484
143.0,1.04,1.7724367380142212
144.0,0.5,1.0887752771377563
145.0,0.78,0.760955810546875
146.0,0.67,0.9972397089004517
147.0,0.78,0.4884195327758789
148.0,1.56,0.7351463437080383
149.0,0.61,1.133689045906067
150.0,1.56,0.682192325592041
151.0,0.66,0.45403942465782166
152.0,0.78,0.4820789098739624
153.0,2.08,0.8443940877914429
154.0,0.78,0.4829268157482147
155.0,0.64,0.6610254049301147
156.0,0.94,0.7279291749000549
157.0,0.88,0.5345242023468018
158.0,0.62,0.7907738089561462
159.0,1.56,0.7912760376930237
160.0,0.94,0.8821797966957092
161.0,1.56,0.9447338581085205
162.0,0.89,0.5758117437362671
163.0,1.56,0.6948949098587036
164.0,1.56,0.8481047749519348
165.0,0.52,0.7336841225624084
166.0,0.62,0.917332112789154
167.0,0.59,0.2662992775440216
168.0,0.94,1.567806601524353
169.0,1.56,0.3968553841114044
170.0,0.75,0.5627515912055969
171.0,0.94,0.6437696218490601
172.0,1.56,0.7884071469306946
173.0,1.56,0.341595858335495
174.0,1.56,0.6877807378768921
175.0,0.99,0.6456369161605835
176.0,0.52,0.510833203792572
177.0,0.88,0.6779793500900269
178.0,0.57,0.45958763360977173
179.0,0.8,1.1902180910110474
180.0,1.56,0.6642858982086182
181.0,1.04,0.7183815240859985
182.0,1.17,0.4629532992839813
183.0,0.87,0.48979833722114563
184.0,0.94,0.5055066347122192
185.0,0.94,0.5598368048667908
186.0,0.55,0.9485433101654053
187.0,1.56,0.7665631175041199
188.0,0.6,0.8679859042167664
189.0,0.67,0.39704757928848267
190.0,0.98,0.5190088748931885
191.0,1.56,0.9573511481285095
192.0,0.51,0.45607203245162964
193.0,0.62,0.38484323024749756
194.0,0.61,0.6535609364509583
195.0,0.52,0.5240861773490906
196.0,1.12,0.4913245141506195
197.0,1.56,1.234595775604248
198.0,0.67,0.6419731974601746
199.0,0.49,0.6441632509231567
200.0,1.56,1.1513152122497559
Test,0.59,
Best,6.25,@ epoch 34
