Epoch,Accuracy,Loss
1.0,97.74,0.05767682194709778
2.0,98.44,0.032915230840444565
3.0,97.1,0.05493227764964104
4.0,99.26,0.03110891580581665
5.0,100.0,0.03357001021504402
6.0,97.44,0.010585924610495567
7.0,97.74,0.14391754567623138
8.0,98.44,0.024863887578248978
9.0,98.44,0.1484164148569107
10.0,100.0,0.15668198466300964
11.0,100.0,0.22459757328033447
12.0,98.44,0.03690512105822563
13.0,18.75,2.3165066242218018
14.0,10.62,2.3154444694519043
15.0,12.5,2.299497604370117
16.0,14.06,2.3027400970458984
17.0,16.41,2.2955305576324463
18.0,10.39,2.306731939315796
19.0,13.87,2.2942469120025635
20.0,11.81,2.3146321773529053
21.0,10.94,2.2951107025146484
22.0,12.5,2.293536901473999
23.0,10.42,2.2864580154418945
24.0,13.28,2.2978692054748535
25.0,10.94,2.301570177078247
26.0,12.5,2.2983829975128174
27.0,15.62,2.297858476638794
28.0,11.55,2.3515336513519287
29.0,14.06,2.309527635574341
30.0,13.28,2.301577568054199
31.0,14.06,2.3126163482666016
32.0,12.34,2.298405170440674
33.0,12.5,2.294328212738037
34.0,13.33,2.3096680641174316
35.0,14.06,2.2900261878967285
36.0,12.93,2.30789852142334
37.0,11.43,2.3072867393493652
38.0,14.06,2.2980220317840576
39.0,12.08,2.301347255706787
40.0,14.84,2.3157596588134766
41.0,13.02,2.3084514141082764
42.0,11.62,2.2870137691497803
43.0,14.06,2.307713031768799
44.0,13.07,2.2962186336517334
45.0,14.84,2.309121608734131
46.0,11.46,2.2915589809417725
47.0,15.62,2.300776243209839
48.0,14.06,2.3066678047180176
49.0,14.06,2.305600881576538
50.0,13.54,2.2924046516418457
51.0,14.84,2.310859441757202
52.0,11.46,2.3008155822753906
53.0,23.44,2.2931740283966064
54.0,12.5,2.294126272201538
55.0,14.06,2.304392099380493
56.0,12.5,2.296840190887451
57.0,15.62,2.289685010910034
58.0,13.54,2.304839849472046
59.0,13.28,2.2981698513031006
60.0,16.25,2.3138561248779297
61.0,13.28,2.311544895172119
62.0,13.54,2.305082082748413
63.0,11.35,2.291405439376831
64.0,11.42,2.302666425704956
65.0,12.89,2.2987217903137207
66.0,11.45,2.2859609127044678
