,Epoch,Accuracy,Loss
0,1.0,0.0,4.6527
1,2.0,0.3906,4.232
2,3.0,0.3906,4.6527
3,4.0,4.6875,4.0595
4,5.0,0.7292,4.5921
5,6.0,0.7812,4.3298
6,7.0,0.1654,4.2674
7,8.0,1.7014,4.2498
8,9.0,0.1689,4.1173
9,10.0,1.5625,4.1089
10,11.0,2.3438,4.0007
11,12.0,1.9531,4.1728
12,13.0,3.125,4.4226
13,14.0,0.9615,4.6393
14,15.0,1.5625,4.0342
15,16.0,0.0446,4.3634
16,17.0,1.3021,4.1309
17,18.0,1.0761,4.4017
18,19.0,3.6458,3.9822
19,20.0,2.1484,4.2782
20,21.0,1.5625,4.2493
21,22.0,1.5625,4.2423
22,23.0,1.5625,4.053
23,24.0,0.5208,3.97
24,25.0,1.5625,4.1763
25,26.0,1.5625,3.9541
26,27.0,1.5625,4.0164
27,28.0,0.5208,4.1003
28,29.0,0.7812,3.8475
29,30.0,0.6293,3.4364
30,31.0,1.5625,2.6377
31,32.0,1.5625,2.9243
32,33.0,0.7812,2.3035
33,34.0,1.3672,2.3267
34,35.0,1.1719,2.2693
35,36.0,1.5625,2.1422
36,37.0,1.0417,1.5428
37,38.0,0.4395,1.4703
38,39.0,0.9375,1.3832
39,40.0,0.4808,1.5491
40,41.0,1.5625,1.3759
41,42.0,1.5625,1.3309
42,43.0,1.5625,1.3945
43,44.0,0.7812,0.8442
44,45.0,3.125,0.9213
45,46.0,3.125,0.9397
46,47.0,1.5625,1.054
47,48.0,1.2153,1.1995
48,49.0,1.0417,1.2034
49,50.0,0.7812,0.6212
50,51.0,1.0417,0.8739
51,52.0,1.0417,0.8305
52,53.0,1.5625,0.7897
53,54.0,3.125,0.8876
54,55.0,1.5625,0.8268
55,56.0,0.7812,0.5618
56,57.0,0.7812,0.5651
57,58.0,1.5625,0.6639
58,59.0,0.9375,0.5108
59,60.0,1.5625,0.0996
60,61.0,0.6373,0.0314
61,62.0,0.9115,0.0145
62,63.0,2.3438,0.013
63,64.0,1.1719,0.0094
64,65.0,1.0417,0.013
65,66.0,1.5625,0.0133
66,67.0,1.5625,0.0105
67,68.0,1.5625,0.0121
68,69.0,1.5625,0.0112
69,70.0,1.5625,0.0119
70,71.0,0.6944,0.0123
71,72.0,0.9766,0.0157
72,73.0,1.5625,0.0141
73,74.0,1.0417,0.0183
74,75.0,1.5625,0.0136
75,76.0,1.5625,0.018
76,77.0,1.5625,0.0164
77,78.0,0.7018,0.014
78,79.0,0.7812,0.0201
79,80.0,1.5625,0.0102
80,81.0,1.5625,0.0642
81,82.0,1.0417,0.0171
82,83.0,1.5625,0.0204
83,84.0,1.5625,0.021
84,85.0,1.5625,0.0149
85,86.0,0.9766,0.017
86,87.0,1.5625,0.0158
87,88.0,1.5625,0.0174
88,89.0,0.8929,0.0259
89,90.0,1.2019,0.018
90,91.0,0.7179,0.0182
91,92.0,1.1161,0.0363
92,93.0,3.125,0.0143
93,94.0,0.7223,0.0199
94,95.0,1.5625,0.0206
95,96.0,1.0417,0.0133
96,97.0,1.5625,0.0204
97,98.0,3.125,0.0219
98,99.0,0.8594,0.018
99,100.0,0.8049,0.021
100,101.0,3.125,0.0151
101,102.0,1.5625,0.0223
102,103.0,0.6615,0.02
103,104.0,0.8523,0.0194
104,105.0,1.5625,0.0188
105,106.0,0.7812,0.0171
106,107.0,0.7812,0.0238
107,108.0,0.8594,0.0172
108,109.0,1.5625,0.0143
109,110.0,0.6886,0.0233
110,111.0,0.9511,0.0216
111,112.0,0.6384,0.0249
112,113.0,1.5625,0.0129
113,114.0,0.7812,0.0174
114,115.0,1.0417,0.0391
115,116.0,0.6448,0.0214
116,117.0,1.5625,0.0211
117,118.0,1.5625,0.0154
118,119.0,0.8272,0.0204
119,120.0,0.7812,0.0171
120,121.0,1.5625,0.0178
121,122.0,0.8523,0.0193
122,123.0,1.5625,0.0181
123,124.0,0.7812,0.0274
124,125.0,3.125,0.0182
125,126.0,0.7812,0.0202
126,127.0,0.6611,0.0192
127,128.0,1.5625,0.0223
128,129.0,1.5625,0.0217
129,130.0,2.0833,0.0217
130,131.0,1.5625,0.0169
131,132.0,0.9375,0.0169
132,133.0,1.5625,0.0212
133,134.0,1.0417,0.0236
134,135.0,0.7812,0.0208
135,136.0,1.1719,0.041
136,137.0,0.8464,0.0182
137,138.0,0.9115,0.0274
138,139.0,3.125,0.0199
139,140.0,1.0417,0.0215
140,141.0,1.1719,0.0139
141,142.0,1.5625,0.0235
142,143.0,1.1719,0.0226
143,144.0,0.9615,0.0209
144,145.0,1.25,0.0191
145,146.0,1.0417,0.0203
146,147.0,1.5625,0.0228
147,148.0,1.5625,0.0196
148,149.0,3.125,0.0252
149,150.0,0.656,0.021
150,151.0,1.0938,0.0195
151,152.0,0.7031,0.0194
152,153.0,3.125,0.0191
153,154.0,0.6825,0.0188
154,155.0,0.9549,0.0201
155,156.0,1.5625,0.0195
156,157.0,1.019,0.0237
157,158.0,0.693,0.0227
158,159.0,1.5625,0.0237
159,160.0,1.1364,0.0252
160,161.0,0.6479,0.0242
161,162.0,0.8681,0.0232
162,163.0,1.5625,0.0185
163,164.0,1.1364,0.0202
164,165.0,0.6818,0.0172
165,166.0,0.75,0.028
166,167.0,0.5909,0.0152
167,168.0,0.7812,0.0251
168,169.0,0.6525,0.0246
169,170.0,1.5625,0.0193
170,171.0,0.6457,0.0204
171,172.0,0.6319,0.0204
172,173.0,0.6479,0.0268
173,174.0,0.5974,0.0207
174,175.0,0.7812,0.0208
175,176.0,1.5625,0.0256
176,177.0,3.125,0.0189
177,178.0,0.5977,0.0257
178,179.0,0.7812,0.0197
179,180.0,0.7812,0.0237
180,181.0,1.5625,0.0254
181,182.0,1.5625,0.0277
182,183.0,0.8681,0.0174
183,184.0,0.7812,0.0166
184,185.0,1.5625,0.0248
