Epoch,Accuracy,Loss
1.0,0.51,4.939662456512451
2.0,1.56,4.522050857543945
3.0,1.56,4.667385578155518
4.0,0.13,4.5428595542907715
5.0,2.34,4.296605587005615
6.0,1.56,4.212910175323486
7.0,1.79,4.264582633972168
8.0,1.56,4.490259170532227
9.0,0.39,4.3184919357299805
10.0,0.39,4.210567951202393
11.0,4.38,3.9627749919891357
12.0,1.04,4.024974822998047
13.0,1.56,4.162107944488525
14.0,0.82,4.124533176422119
15.0,1.3,4.160367012023926
16.0,0.89,4.45247745513916
17.0,1.56,3.719228744506836
18.0,1.75,3.777005195617676
19.0,1.56,4.3511457443237305
20.0,3.65,4.350167751312256
21.0,1.78,3.7594215869903564
22.0,1.56,4.3352580070495605
23.0,0.07,4.203365325927734
24.0,0.0,4.070350170135498
25.0,0.39,3.8015432357788086
26.0,0.12,3.782626152038574
27.0,0.78,4.181972980499268
28.0,2.29,4.011237621307373
29.0,0.03,3.9519832134246826
30.0,0.91,3.54410457611084
31.0,1.04,2.9850728511810303
32.0,3.12,2.8765995502471924
33.0,1.04,2.9696693420410156
34.0,1.56,2.492110013961792
35.0,1.04,2.56789231300354
36.0,1.25,2.6353423595428467
37.0,0.98,2.6255781650543213
38.0,0.78,2.5452263355255127
39.0,0.78,2.3067023754119873
40.0,3.12,2.4312314987182617
41.0,3.12,2.407776355743408
42.0,0.78,3.116150379180908
43.0,0.87,2.7725868225097656
44.0,1.3,2.45454478263855
45.0,2.08,2.535222053527832
46.0,1.56,2.5425941944122314
47.0,0.54,2.386885643005371
48.0,2.34,2.4960014820098877
49.0,3.12,1.9825007915496826
50.0,1.56,1.9263882637023926
51.0,1.56,2.162466526031494
52.0,1.32,2.0071587562561035
53.0,3.12,1.6891562938690186
54.0,1.56,2.2372546195983887
55.0,0.36,2.245258331298828
56.0,1.56,1.7469098567962646
57.0,2.6,2.0517427921295166
58.0,1.48,1.8602473735809326
59.0,1.56,1.786551833152771
60.0,1.56,1.0126491785049438
61.0,0.84,0.9058441519737244
62.0,1.56,0.6509789228439331
63.0,0.51,0.6329898238182068
64.0,1.04,0.5541813373565674
65.0,0.72,0.6167811155319214
66.0,0.6,0.6450393199920654
67.0,1.56,0.5129384398460388
68.0,1.56,0.26816698908805847
69.0,0.9,0.238790825009346
70.0,1.88,0.33742988109588623
71.0,1.04,0.29763808846473694
72.0,1.3,0.24065794050693512
73.0,0.69,0.2852426767349243
74.0,0.58,0.31898102164268494
75.0,1.34,0.5764567852020264
76.0,0.69,0.2047419548034668
77.0,1.56,0.3185313940048218
78.0,1.07,0.09923891723155975
79.0,1.04,0.26509612798690796
80.0,0.62,0.10052573680877686
81.0,0.88,0.31965717673301697
82.0,1.56,0.2136387676000595
83.0,0.73,0.13270606100559235
