Epoch,Accuracy,Loss
1.0,11.54,2.3223001956939697
2.0,20.31,2.034330129623413
3.0,37.4,1.6479160785675049
4.0,36.18,1.4247246980667114
5.0,46.88,1.5786885023117065
6.0,53.91,1.6276965141296387
7.0,50.0,1.5975192785263062
8.0,49.94,1.1528702974319458
9.0,52.88,1.4370309114456177
10.0,48.59,1.4753230810165405
11.0,55.21,1.3448470830917358
12.0,67.19,1.152736783027649
13.0,62.5,1.1044124364852905
14.0,57.81,1.2466216087341309
15.0,59.38,1.28859543800354
16.0,59.22,1.3026466369628906
17.0,64.06,1.1609019041061401
18.0,50.62,1.5202527046203613
19.0,64.45,1.04304838180542
20.0,62.5,1.0663906335830688
21.0,60.0,1.2466362714767456
22.0,57.81,1.2722777128219604
23.0,64.06,1.23710036277771
24.0,52.5,1.4577363729476929
25.0,53.44,1.2389695644378662
26.0,55.73,1.1701865196228027
27.0,58.54,1.0841915607452393
28.0,59.38,1.1394025087356567
29.0,56.25,1.3239701986312866
30.0,81.25,0.7096573114395142
31.0,71.34,0.7672879695892334
32.0,73.83,0.5843383073806763
33.0,79.69,0.8064008951187134
34.0,77.34,0.8666341304779053
35.0,77.34,0.6542671322822571
36.0,70.98,0.6033980250358582
37.0,82.81,0.7397292256355286
38.0,74.2,0.6949878334999084
39.0,78.65,0.54388028383255
40.0,73.44,1.0072731971740723
41.0,75.0,0.6611112356185913
42.0,76.1,0.8325754404067993
43.0,78.91,0.630215048789978
44.0,78.12,0.5061057209968567
45.0,75.87,0.8131610155105591
46.0,78.12,0.7297406196594238
47.0,79.69,0.6216509342193604
48.0,77.86,0.5678563117980957
49.0,79.69,0.49289530515670776
50.0,75.0,0.73056560754776
51.0,81.25,0.5846337676048279
52.0,80.08,0.6165850162506104
53.0,75.21,0.7223292589187622
54.0,79.69,0.5993821620941162
55.0,76.56,0.5180972814559937
56.0,75.68,0.6956292986869812
57.0,78.82,0.6480868458747864
58.0,79.69,0.5396503806114197
59.0,80.21,0.5105771422386169
60.0,85.94,0.4793625771999359
61.0,82.03,0.5939140319824219
62.0,77.9,0.6203895807266235
63.0,78.5,0.6810824871063232
64.0,87.5,0.21105033159255981
65.0,80.11,0.5765198469161987
66.0,81.25,0.3293556272983551
67.0,80.02,0.49070364236831665
68.0,82.81,0.5772160291671753
69.0,77.58,0.6872038841247559
70.0,78.65,0.5371671915054321
71.0,80.21,0.36495155096054077
72.0,85.94,0.5877277255058289
73.0,92.19,0.6112131476402283
74.0,80.53,0.3417830169200897
75.0,84.38,0.3415625989437103
76.0,81.77,0.5833125114440918
77.0,78.12,0.552483856678009
78.0,81.25,0.45802903175354004
79.0,79.91,0.36136555671691895
80.0,77.08,0.6216093897819519
81.0,81.25,0.4598740041255951
82.0,79.79,0.3932507038116455
83.0,79.98,0.3152111768722534
84.0,80.39,0.3146451711654663
85.0,80.3,0.3326020836830139
86.0,79.69,0.34533625841140747
87.0,83.59,0.2581073045730591
88.0,81.25,0.4078962802886963
89.0,78.39,0.6232972145080566
90.0,80.62,0.32754456996917725
91.0,77.34,0.4819222390651703
92.0,83.2,0.4130723774433136
93.0,83.85,0.46658119559288025
94.0,82.81,0.4769456088542938
95.0,79.69,0.5988620519638062
96.0,84.38,0.35871511697769165
97.0,82.19,0.40774005651474
98.0,79.87,0.2966158092021942
99.0,80.21,0.6520366668701172
100.0,85.94,0.33357930183410645
101.0,87.5,0.42666491866111755
102.0,83.59,0.4541676938533783
103.0,87.5,0.33408525586128235
104.0,79.64,0.33792644739151
105.0,79.69,0.5949077010154724
106.0,81.51,0.2973182797431946
107.0,79.69,0.4450967013835907
108.0,79.91,0.4191751182079315
109.0,85.94,0.40675005316734314
110.0,81.25,0.3991604149341583
111.0,80.8,0.40097418427467346
112.0,80.47,0.2885768711566925
113.0,85.16,0.2929760217666626
114.0,79.73,0.47247806191444397
115.0,81.25,0.3886154294013977
116.0,87.5,0.3251495063304901
117.0,85.94,0.494972288608551
118.0,81.7,0.5347175598144531
119.0,79.69,0.6669565439224243
120.0,87.5,0.40835505723953247
121.0,79.38,0.41983646154403687
122.0,74.22,0.5135478377342224
123.0,78.65,0.40382400155067444
124.0,82.29,0.5570813417434692
125.0,82.23,0.37049630284309387
126.0,82.81,0.3023964762687683
127.0,79.69,0.3890877068042755
128.0,82.81,0.5013718008995056
129.0,80.86,0.40055400133132935
130.0,78.91,0.4232650697231293
131.0,82.81,0.3520846664905548
132.0,75.78,0.665941596031189
133.0,85.94,0.26718467473983765
134.0,80.94,0.48082178831100464
135.0,84.38,0.44374939799308777
136.0,79.17,0.32758012413978577
137.0,81.25,0.4032360315322876
138.0,78.12,0.47564804553985596
139.0,79.0,0.6324694156646729
140.0,85.94,0.46086451411247253
141.0,85.94,0.3565142750740051
142.0,80.54,0.43422001600265503
143.0,81.25,0.43700870871543884
144.0,82.81,0.5290499925613403
145.0,79.02,0.32218700647354126
146.0,77.6,0.6815512180328369
147.0,82.81,0.33995717763900757
148.0,80.08,0.43485063314437866
149.0,78.04,0.7371431589126587
150.0,82.81,0.641270637512207
151.0,81.25,0.33642297983169556
152.0,85.94,0.5537139177322388
153.0,83.59,0.3450283408164978
154.0,76.95,0.4671027362346649
155.0,90.62,0.49323487281799316
156.0,80.15,0.5796669721603394
157.0,81.95,0.5165647864341736
158.0,76.76,0.5067974925041199
159.0,78.65,0.49761390686035156
160.0,79.69,0.4276922047138214
161.0,81.54,0.33945778012275696
162.0,79.69,0.3548131585121155
163.0,78.56,0.46576544642448425
164.0,80.77,0.45761755108833313
165.0,80.15,0.48467180132865906
166.0,79.5,0.459563672542572
167.0,78.12,0.5623983144760132
168.0,81.08,0.5123119354248047
169.0,82.03,0.5719531774520874
170.0,82.03,0.24690508842468262
171.0,80.55,0.37247586250305176
172.0,79.24,0.6350711584091187
173.0,79.69,0.5721278190612793
174.0,78.32,0.3350626528263092
175.0,82.81,0.3735337555408478
176.0,84.38,0.32887083292007446
177.0,89.06,0.4053932726383209
178.0,81.08,0.2845962941646576
179.0,82.19,0.3012522757053375
180.0,78.91,0.5281965136528015
181.0,86.56,0.3075677752494812
182.0,90.62,0.42503270506858826
183.0,78.73,0.35158470273017883
184.0,84.38,0.5406630039215088
185.0,80.86,0.39974358677864075
186.0,81.25,0.3006989359855652
187.0,82.19,0.4663585126399994
188.0,80.0,0.299774169921875
189.0,82.81,0.4828629791736603
190.0,81.25,0.46700072288513184
191.0,79.95,0.34068453311920166
192.0,83.12,0.41173216700553894
193.0,81.25,0.6248805522918701
194.0,81.25,0.36012399196624756
195.0,85.94,0.7025074362754822
196.0,82.81,0.33094701170921326
197.0,85.16,0.5127474069595337
198.0,80.47,0.466897577047348
199.0,82.5,0.47327950596809387
200.0,85.94,0.34622707962989807
Test,79.80000000000001,
Best,92.19,@ epoch 73
