,Epoch,Accuracy,Loss
0,1.0,98.4375,0.176
1,2.0,98.8281,0.0306
2,3.0,97.3395,0.0864
3,4.0,100.0,0.0069
4,5.0,99.4792,0.0125
5,6.0,100.0,0.0025
6,7.0,99.2188,0.0518
7,8.0,98.981,0.0203
8,9.0,100.0,0.041
9,10.0,99.1477,0.0037
10,11.0,99.0234,0.1043
11,12.0,100.0,0.0424
12,13.0,100.0,0.1479
13,14.0,98.8487,0.0332
14,15.0,99.3164,0.0068
15,16.0,98.5777,0.0932
16,17.0,98.4375,0.0035
17,18.0,98.9583,0.0816
18,19.0,98.7776,0.0568
19,20.0,98.9583,0.0034
20,21.0,100.0,0.1624
21,22.0,98.6506,0.021
22,23.0,100.0,0.0258
23,24.0,100.0,0.0307
24,25.0,100.0,0.0239
25,26.0,99.2188,0.0117
26,27.0,98.8839,0.0659
27,28.0,100.0,0.0101
28,29.0,100.0,0.0461
29,30.0,99.44,0.0011
30,31.0,100.0,0.0018
31,32.0,99.7768,0.0029
32,33.0,100.0,0.0019
33,34.0,99.7396,0.0002
34,35.0,100.0,0.001
35,36.0,100.0,0.0015
36,37.0,99.5493,0.0004
37,38.0,99.5257,0.0017
38,39.0,100.0,0.0004
39,40.0,100.0,0.0065
40,41.0,100.0,0.0177
41,42.0,100.0,0.0011
42,43.0,100.0,0.0048
43,44.0,100.0,0.0004
44,45.0,100.0,0.0008
45,46.0,99.5536,0.0065
46,47.0,99.47,0.0035
47,48.0,100.0,0.0008
48,49.0,100.0,0.0124
49,50.0,100.0,0.0179
50,51.0,100.0,0.0011
51,52.0,99.6094,0.004
52,53.0,99.5536,0.0008
53,54.0,100.0,0.0016
54,55.0,99.6875,0.0056
55,56.0,100.0,0.0112
56,57.0,100.0,0.001
57,58.0,100.0,0.0097
58,59.0,100.0,0.0206
59,60.0,100.0,0.0033
60,61.0,100.0,0.0014
61,62.0,100.0,0.0023
62,63.0,99.5033,0.0008
63,64.0,100.0,0.0035
64,65.0,100.0,0.0035
65,66.0,99.5536,0.0082
66,67.0,100.0,0.0012
67,68.0,100.0,0.0035
68,69.0,99.5443,0.0009
69,70.0,100.0,0.0009
70,71.0,99.5768,0.0021
71,72.0,100.0,0.0035
72,73.0,100.0,0.0018
73,74.0,100.0,0.0007
74,75.0,100.0,0.0034
75,76.0,100.0,0.0025
76,77.0,100.0,0.0043
77,78.0,100.0,0.0003
78,79.0,100.0,0.0029
79,80.0,99.7159,0.0043
80,81.0,100.0,0.001
81,82.0,100.0,0.0008
82,83.0,99.6147,0.0015
83,84.0,100.0,0.0013
84,85.0,99.566,0.0004
85,86.0,99.6242,0.0044
86,87.0,99.5312,0.0027
87,88.0,100.0,0.0019
88,89.0,100.0,0.0026
89,90.0,100.0,0.0041
90,91.0,100.0,0.0009
91,92.0,100.0,0.0004
92,93.0,100.0,0.0003
93,94.0,100.0,0.0035
94,95.0,99.6057,0.0009
95,96.0,100.0,0.0099
96,97.0,99.7396,0.0059
97,98.0,100.0,0.0011
98,99.0,100.0,0.0019
99,100.0,100.0,0.0024
100,101.0,100.0,0.0046
101,102.0,100.0,0.0014
102,103.0,100.0,0.0006
103,104.0,100.0,0.001
104,105.0,100.0,0.0025
105,106.0,100.0,0.0023
106,107.0,100.0,0.0019
107,108.0,99.858,0.0051
108,109.0,100.0,0.0057
109,110.0,99.7283,0.0011
110,111.0,99.7396,0.0013
111,112.0,99.5924,0.0109
112,113.0,100.0,0.0048
113,114.0,100.0,0.0004
114,115.0,100.0,0.0008
115,116.0,99.6313,0.0003
116,117.0,99.7159,0.0009
117,118.0,100.0,0.0014
118,119.0,100.0,0.001
119,120.0,100.0,0.0004
120,121.0,100.0,0.0037
121,122.0,100.0,0.0049
122,123.0,100.0,0.0005
123,124.0,100.0,0.0082
124,125.0,100.0,0.0009
125,126.0,100.0,0.0013
126,127.0,100.0,0.0032
127,128.0,100.0,0.0044
128,129.0,100.0,0.002
129,130.0,100.0,0.0007
130,131.0,100.0,0.0011
131,132.0,99.6094,0.0027
132,133.0,99.6035,0.0012
133,134.0,100.0,0.0022
134,135.0,100.0,0.0036
135,136.0,99.6354,0.0018
136,137.0,100.0,0.0002
137,138.0,100.0,0.0036
138,139.0,100.0,0.0008
139,140.0,99.7656,0.0018
140,141.0,99.7024,0.0008
141,142.0,100.0,0.0005
142,143.0,99.6875,0.0027
143,144.0,100.0,0.0011
144,145.0,100.0,0.0027
145,146.0,100.0,0.0018
146,147.0,99.5739,0.001
147,148.0,100.0,0.0082
148,149.0,100.0,0.0044
149,150.0,100.0,0.0032
150,151.0,100.0,0.0004
151,152.0,100.0,0.0014
152,153.0,100.0,0.0005
153,154.0,100.0,0.0039
154,155.0,99.6094,0.0012
155,156.0,99.7159,0.0022
156,157.0,100.0,0.0054
157,158.0,100.0,0.0011
158,159.0,100.0,0.0011
159,160.0,100.0,0.0018
160,161.0,100.0,0.0011
161,162.0,99.8047,0.0008
162,163.0,99.8884,0.0034
163,164.0,100.0,0.0024
164,165.0,99.7396,0.0012
165,166.0,99.5536,0.0008
166,167.0,100.0,0.0003
167,168.0,100.0,0.0079
168,169.0,100.0,0.0012
169,170.0,99.6094,0.0047
170,171.0,99.5219,0.0161
171,172.0,100.0,0.0014
172,173.0,100.0,0.0042
173,174.0,100.0,0.0021
174,175.0,100.0,0.0052
175,176.0,99.7396,0.0007
176,177.0,100.0,0.0013
177,178.0,100.0,0.0008
178,179.0,100.0,0.0008
179,180.0,100.0,0.0001
180,181.0,99.7024,0.0013
181,182.0,100.0,0.0012
182,183.0,100.0,0.0003
183,184.0,100.0,0.0009
184,185.0,100.0,0.0022
185,186.0,100.0,0.0059
186,187.0,100.0,0.0031
187,188.0,99.6094,0.0019
188,189.0,99.6875,0.0036
189,190.0,99.6429,0.0028
190,191.0,100.0,0.0058
191,192.0,99.6394,0.0013
192,193.0,100.0,0.0015
193,194.0,100.0,0.0009
194,195.0,100.0,0.0039
195,196.0,100.0,0.0008
196,197.0,100.0,0.0068
197,198.0,99.7243,0.0016
198,199.0,100.0,0.0012
199,200.0,100.0,0.0014
201,Test,Accuracy,99.51
202,Best,100.0,@ Epoch 4
