Epoch,Accuracy,Loss
1.0,92.41,0.41959261894226074
2.0,15.62,
3.0,11.2,
4.0,14.06,
5.0,17.19,
6.0,9.98,
7.0,11.28,
8.0,11.0,
9.0,14.06,
10.0,10.0,
11.0,15.62,
12.0,12.5,
13.0,10.3,
14.0,10.51,
15.0,13.28,
16.0,17.19,
17.0,12.5,
18.0,10.94,
19.0,15.62,
20.0,10.94,
21.0,10.18,
22.0,11.72,
23.0,14.06,
24.0,12.11,
25.0,17.19,
26.0,10.16,
27.0,11.65,
28.0,11.72,
29.0,13.17,
30.0,10.13,
31.0,10.76,
32.0,11.17,
33.0,12.5,
34.0,10.94,
35.0,10.35,
36.0,10.27,
37.0,11.72,
38.0,15.62,
39.0,10.03,
40.0,14.06,
41.0,9.86,
42.0,11.98,
43.0,10.24,
44.0,10.16,
45.0,10.7,
46.0,10.94,
47.0,14.06,
48.0,18.75,
49.0,9.87,
50.0,10.94,
51.0,17.19,
52.0,15.62,
53.0,10.31,
54.0,14.06,
55.0,11.66,
56.0,10.31,
57.0,10.94,
58.0,11.98,
59.0,10.94,
60.0,9.99,
61.0,10.19,
62.0,11.72,
63.0,10.69,
64.0,11.05,
65.0,10.42,
66.0,10.31,
67.0,11.68,
68.0,11.98,
69.0,12.5,
70.0,12.5,
71.0,17.19,
72.0,10.83,
73.0,10.55,
74.0,10.94,
75.0,12.5,
76.0,12.5,
77.0,10.22,
78.0,10.46,
79.0,10.94,
80.0,13.28,
81.0,11.91,
82.0,10.84,
83.0,12.5,
84.0,11.52,
85.0,9.82,
86.0,17.19,
87.0,12.5,
88.0,10.94,
89.0,17.19,
90.0,21.88,
91.0,11.98,
92.0,10.94,
93.0,10.67,
94.0,12.5,
95.0,10.4,
96.0,11.46,
97.0,12.5,
98.0,12.5,
99.0,14.06,
100.0,10.86,
101.0,10.55,
102.0,10.12,
103.0,15.62,
104.0,10.94,
105.0,15.62,
106.0,9.8,
107.0,12.5,
108.0,10.94,
109.0,10.94,
110.0,11.38,
111.0,10.94,
112.0,12.5,
113.0,10.94,
114.0,12.5,
115.0,10.47,
116.0,10.53,
117.0,12.5,
118.0,12.5,
119.0,14.06,
120.0,10.08,
121.0,11.98,
122.0,12.19,
123.0,13.28,
124.0,10.48,
125.0,20.31,
126.0,10.08,
127.0,12.5,
128.0,10.39,
129.0,11.2,
130.0,9.9,
131.0,15.62,
132.0,9.94,
133.0,15.62,
134.0,9.99,
135.0,10.94,
136.0,9.85,
137.0,9.8,
138.0,12.5,
139.0,10.94,
140.0,10.94,
141.0,11.02,
142.0,10.62,
143.0,13.28,
144.0,9.98,
145.0,14.06,
146.0,14.06,
147.0,11.46,
148.0,12.5,
149.0,10.69,
150.0,11.09,
151.0,11.72,
152.0,11.98,
153.0,10.47,
154.0,14.84,
155.0,14.06,
156.0,10.35,
157.0,12.5,
158.0,10.94,
159.0,11.46,
160.0,14.84,
161.0,10.42,
162.0,14.06,
163.0,11.98,
164.0,13.44,
165.0,14.06,
166.0,11.22,
167.0,15.62,
168.0,12.5,
169.0,10.27,
170.0,11.46,
171.0,17.97,
172.0,10.46,
173.0,18.75,
174.0,11.98,
175.0,10.74,
176.0,12.5,
177.0,10.11,
178.0,12.5,
179.0,12.5,
180.0,12.5,
181.0,15.62,
182.0,13.28,
183.0,10.94,
184.0,13.75,
185.0,10.35,
186.0,14.06,
187.0,10.46,
188.0,15.62,
189.0,14.84,
190.0,10.47,
191.0,10.82,
192.0,10.15,
193.0,9.95,
194.0,14.06,
195.0,12.5,
196.0,10.16,
197.0,11.46,
198.0,14.06,
199.0,15.62,
200.0,10.44,
Test,9.8,
Best,92.41,@ epoch 1
