Epoch,Accuracy,Loss
1.0,0.0,4.814979553222656
2.0,0.0,5.160228729248047
3.0,0.0,5.309794902801514
4.0,0.0,5.071342945098877
5.0,0.0,4.871905326843262
6.0,0.0,5.31528377532959
7.0,0.0,5.296748638153076
8.0,0.31,5.30795431137085
9.0,0.22,4.729610919952393
10.0,0.0,4.909859657287598
11.0,0.0,5.209834575653076
12.0,3.12,4.779946804046631
13.0,0.0,5.2133893966674805
14.0,0.0,5.122945308685303
15.0,0.03,4.961902141571045
16.0,0.0,5.031167507171631
17.0,0.07,4.795592784881592
18.0,0.0,5.255035400390625
19.0,0.78,4.935163974761963
20.0,0.0,4.974865436553955
21.0,13.0,5.162115573883057
22.0,0.0,4.964118003845215
23.0,0.0,5.199182987213135
24.0,0.22,4.889921188354492
25.0,17.58,5.179337501525879
26.0,0.35,4.895608901977539
27.0,0.0,5.285716533660889
28.0,0.11,4.9661149978637695
29.0,0.0,4.822011470794678
30.0,15.78,5.057366371154785
31.0,3.12,4.568243503570557
32.0,0.86,4.586944580078125
33.0,1.56,4.618858814239502
34.0,0.46,4.3712687492370605
35.0,2.17,4.4200119972229
36.0,0.2,4.286142349243164
37.0,1.0,4.056056499481201
38.0,1.04,4.366023063659668
39.0,1.56,4.134960651397705
40.0,3.12,3.976071357727051
41.0,0.39,4.179838180541992
42.0,3.12,4.701739311218262
43.0,0.78,4.3438191413879395
44.0,0.78,4.141190528869629
45.0,0.52,3.7463502883911133
46.0,1.56,4.189357280731201
47.0,0.47,3.9358763694763184
48.0,0.47,4.050055503845215
49.0,0.78,4.161844730377197
50.0,3.12,3.7613916397094727
51.0,0.61,4.155587196350098
52.0,0.66,4.016473293304443
53.0,1.56,3.6952128410339355
54.0,0.52,4.128663063049316
55.0,1.28,3.6886215209960938
56.0,0.16,4.4598894119262695
57.0,1.18,3.716078996658325
58.0,0.78,4.166733741760254
59.0,2.19,3.9632623195648193
60.0,1.17,4.018260955810547
61.0,0.58,3.621633291244507
62.0,1.12,3.299203395843506
63.0,1.56,3.8235013484954834
64.0,1.56,3.549471855163574
65.0,1.56,3.2073140144348145
66.0,1.56,3.2476933002471924
67.0,1.17,3.5079917907714844
68.0,1.17,3.0994296073913574
69.0,1.56,3.8154430389404297
70.0,0.78,3.4009690284729004
71.0,0.66,3.750255584716797
72.0,0.91,3.182539224624634
73.0,2.34,3.0710415840148926
74.0,1.56,3.506532669067383
75.0,0.78,3.565319776535034
76.0,1.56,3.478454828262329
77.0,0.94,3.097693681716919
78.0,0.69,3.756068706512451
79.0,1.04,3.249586582183838
80.0,1.04,3.090266704559326
81.0,0.99,3.5509631633758545
82.0,1.56,3.45326828956604
83.0,0.85,3.478290319442749
84.0,1.25,3.077333450317383
85.0,1.56,3.24897837638855
86.0,0.62,3.301593780517578
87.0,1.95,3.188283920288086
88.0,0.72,3.0954902172088623
89.0,0.68,3.2160110473632812
90.0,1.56,3.2245562076568604
91.0,1.56,3.208860397338867
92.0,3.12,3.768744468688965
93.0,1.56,2.9486160278320312
94.0,1.56,3.46970796585083
95.0,0.83,3.2543649673461914
96.0,1.56,3.23246693611145
97.0,1.88,3.3398866653442383
98.0,0.61,3.3730807304382324
99.0,0.99,3.3703877925872803
100.0,1.56,3.253434896469116
101.0,1.56,3.45593523979187
102.0,1.56,3.48274827003479
103.0,0.78,3.123640537261963
104.0,1.17,2.475168228149414
105.0,1.15,3.192795753479004
106.0,1.56,3.1275651454925537
107.0,1.56,3.1599974632263184
108.0,2.34,3.2948949337005615
109.0,1.56,3.413142681121826
110.0,1.56,3.3477909564971924
111.0,0.58,2.902357339859009
112.0,2.34,3.254258155822754
113.0,1.56,3.3391199111938477
114.0,2.34,3.030179500579834
115.0,0.7,3.218467950820923
116.0,1.04,2.9554691314697266
117.0,1.04,2.804521083831787
118.0,1.56,2.9838788509368896
119.0,0.94,3.3355674743652344
120.0,0.81,3.1230950355529785
121.0,0.87,3.625260591506958
122.0,0.74,3.7172770500183105
123.0,0.9,3.2247743606567383
124.0,0.67,3.2395107746124268
125.0,1.04,2.8515267372131348
126.0,1.12,3.1688199043273926
127.0,1.25,3.440110921859741
128.0,2.6,2.985790729522705
129.0,0.78,3.079026937484741
130.0,1.56,2.907639980316162
131.0,0.72,3.325125217437744
132.0,1.04,2.8849353790283203
133.0,1.04,3.0050415992736816
134.0,1.56,2.605156421661377
135.0,1.56,3.389688014984131
136.0,3.12,3.4659667015075684
137.0,3.12,3.1300618648529053
138.0,1.56,3.215214490890503
139.0,1.56,3.377810478210449
140.0,1.04,3.236783027648926
141.0,1.12,3.316427707672119
142.0,0.9,3.0776286125183105
143.0,0.84,3.3151392936706543
144.0,3.12,3.196307420730591
145.0,1.56,3.610898733139038
146.0,0.72,3.0529801845550537
147.0,1.14,2.8646302223205566
148.0,0.72,2.9928486347198486
149.0,1.56,2.86928129196167
150.0,1.33,3.147014617919922
151.0,0.78,3.1731972694396973
152.0,1.17,2.9824564456939697
153.0,1.95,3.239496946334839
154.0,1.56,2.92065691947937
155.0,1.56,3.2192604541778564
156.0,0.83,2.779508590698242
157.0,0.84,3.375378131866455
158.0,1.56,3.336883544921875
159.0,1.56,3.3808374404907227
160.0,0.93,3.2310726642608643
161.0,0.78,2.8967456817626953
162.0,0.63,2.7675235271453857
163.0,1.56,3.1476833820343018
164.0,1.56,3.201678514480591
165.0,1.3,2.8058788776397705
166.0,0.76,3.37115478515625
167.0,1.3,3.3810622692108154
168.0,0.7,3.3382091522216797
169.0,1.56,3.519941806793213
170.0,0.66,2.8837435245513916
171.0,0.78,3.1189146041870117
172.0,0.75,3.457726001739502
173.0,1.56,2.92431378364563
174.0,1.25,3.3606622219085693
175.0,1.56,2.9194228649139404
176.0,1.56,2.9716289043426514
177.0,1.04,3.4667890071868896
178.0,0.78,3.2816030979156494
179.0,3.12,3.1470401287078857
180.0,1.56,3.181875705718994
181.0,1.56,2.9192144870758057
182.0,0.6,3.464935302734375
183.0,1.56,2.778963327407837
184.0,1.34,3.0580945014953613
185.0,1.56,3.4682629108428955
186.0,0.77,2.9981346130371094
187.0,2.6,3.1049797534942627
188.0,1.56,3.2431986331939697
189.0,1.56,3.406578540802002
190.0,0.69,3.112121105194092
191.0,1.56,3.0443191528320312
192.0,3.12,3.107548952102661
193.0,1.56,3.0289113521575928
194.0,1.25,3.281963586807251
195.0,1.56,2.8632919788360596
196.0,1.56,3.0970253944396973
197.0,1.14,3.588658094406128
198.0,1.56,3.179091215133667
199.0,1.12,3.3122589588165283
200.0,0.63,2.964632272720337
Test,0.62,
Best,17.58,@ epoch 25
