Epoch,Accuracy,Loss
1.0,54.69,1.3262590169906616
2.0,10.42,
3.0,11.91,
4.0,14.06,
5.0,12.3,
6.0,10.51,
7.0,14.06,
8.0,12.33,
9.0,10.94,
10.0,17.19,
11.0,10.94,
12.0,10.2,
13.0,14.06,
14.0,18.75,
15.0,10.04,
16.0,10.17,
17.0,11.56,
18.0,15.1,
19.0,11.11,
20.0,10.39,
21.0,12.5,
22.0,10.31,
23.0,10.83,
24.0,13.28,
25.0,10.71,
26.0,14.06,
27.0,14.06,
28.0,14.06,
29.0,14.06,
30.0,12.5,
31.0,10.59,
32.0,15.62,
33.0,10.16,
34.0,10.12,
35.0,11.38,
36.0,10.42,
37.0,10.94,
38.0,10.13,
39.0,10.0,
40.0,10.09,
41.0,10.13,
42.0,12.5,
43.0,10.55,
44.0,13.02,
45.0,10.58,
46.0,11.98,
47.0,13.17,
48.0,10.26,
49.0,13.02,
50.0,10.26,
51.0,12.5,
52.0,16.41,
53.0,10.02,
54.0,11.33,
55.0,14.06,
56.0,18.75,
57.0,10.94,
58.0,18.75,
59.0,10.62,
60.0,10.85,
61.0,10.34,
62.0,14.06,
63.0,10.24,
64.0,11.33,
65.0,13.54,
66.0,10.12,
67.0,21.88,
68.0,10.36,
69.0,12.64,
70.0,10.94,
71.0,10.21,
72.0,10.94,
73.0,18.75,
74.0,10.57,
75.0,13.28,
76.0,10.33,
77.0,10.66,
78.0,10.32,
79.0,10.42,
80.0,12.5,
81.0,26.56,
82.0,10.55,
83.0,10.24,
84.0,12.5,
85.0,10.43,
86.0,10.94,
87.0,15.23,
88.0,11.05,
89.0,12.5,
90.0,11.3,
91.0,12.5,
92.0,10.45,
93.0,15.62,
94.0,10.6,
95.0,18.75,
96.0,12.5,
97.0,11.06,
98.0,10.11,
99.0,10.94,
100.0,10.58,
101.0,12.5,
102.0,14.06,
103.0,12.5,
104.0,14.84,
105.0,10.6,
106.0,15.62,
107.0,11.98,
108.0,10.94,
109.0,12.5,
110.0,10.42,
111.0,10.36,
112.0,12.5,
113.0,10.94,
114.0,10.94,
115.0,10.94,
116.0,11.52,
117.0,10.02,
118.0,10.16,
119.0,15.62,
120.0,10.11,
121.0,11.33,
122.0,10.62,
123.0,11.25,
124.0,10.42,
125.0,11.36,
126.0,14.06,
127.0,10.04,
128.0,12.5,
129.0,17.19,
130.0,10.77,
131.0,14.06,
132.0,12.11,
133.0,14.06,
134.0,11.98,
135.0,17.19,
136.0,11.46,
137.0,10.43,
138.0,21.88,
139.0,10.52,
140.0,18.75,
141.0,12.5,
142.0,11.98,
143.0,10.76,
144.0,11.72,
145.0,10.55,
146.0,15.62,
147.0,10.11,
148.0,12.5,
149.0,12.5,
150.0,18.75,
151.0,10.94,
152.0,10.94,
153.0,12.72,
154.0,11.72,
155.0,12.76,
156.0,14.06,
157.0,10.94,
158.0,11.98,
159.0,12.89,
160.0,14.06,
161.0,12.5,
162.0,10.75,
163.0,10.36,
164.0,11.26,
165.0,10.19,
166.0,14.06,
167.0,15.62,
168.0,10.51,
169.0,18.75,
170.0,13.28,
171.0,11.25,
172.0,12.5,
173.0,11.81,
174.0,12.24,
175.0,10.94,
176.0,10.76,
177.0,11.31,
178.0,12.5,
179.0,14.06,
180.0,13.67,
181.0,10.22,
182.0,12.5,
183.0,12.5,
184.0,14.06,
185.0,12.5,
186.0,16.41,
187.0,12.11,
188.0,11.72,
189.0,16.8,
190.0,12.5,
191.0,17.19,
192.0,10.37,
193.0,14.06,
194.0,13.28,
195.0,10.94,
196.0,12.5,
197.0,12.5,
198.0,12.5,
199.0,11.25,
200.0,10.94,
Test,10.0,
Best,54.69,@ epoch 1
