Epoch,Accuracy,Loss
1.0,98.58,0.035076260566711426
2.0,9.93,
3.0,9.91,
4.0,10.16,
5.0,10.94,
6.0,11.46,
7.0,10.31,
8.0,10.94,
9.0,11.83,
10.0,17.19,
11.0,10.94,
12.0,10.25,
13.0,12.5,
14.0,11.42,
15.0,12.5,
16.0,12.5,
17.0,14.06,
18.0,10.16,
19.0,9.89,
20.0,10.59,
21.0,10.57,
22.0,12.5,
23.0,14.84,
24.0,11.72,
25.0,13.54,
26.0,14.06,
27.0,12.5,
28.0,17.19,
29.0,10.94,
30.0,9.91,
31.0,11.56,
32.0,18.75,
33.0,12.5,
34.0,12.5,
35.0,14.06,
36.0,10.94,
37.0,14.84,
38.0,10.16,
39.0,10.62,
40.0,14.06,
41.0,10.78,
42.0,12.5,
43.0,14.06,
44.0,11.11,
45.0,11.79,
46.0,15.62,
47.0,10.94,
48.0,13.02,
49.0,10.12,
50.0,21.88,
51.0,14.06,
52.0,10.58,
53.0,10.0,
54.0,14.06,
55.0,10.42,
56.0,13.54,
57.0,10.94,
58.0,10.55,
59.0,10.94,
60.0,12.5,
61.0,11.2,
62.0,10.94,
63.0,18.75,
64.0,11.33,
65.0,15.62,
66.0,10.19,
67.0,21.88,
68.0,13.44,
69.0,10.74,
70.0,10.04,
71.0,14.06,
72.0,12.5,
73.0,14.06,
74.0,10.42,
75.0,11.98,
76.0,12.5,
77.0,11.01,
78.0,10.94,
79.0,10.07,
80.0,12.5,
81.0,14.06,
82.0,10.67,
83.0,9.94,
84.0,17.19,
85.0,19.53,
86.0,10.1,
87.0,9.92,
88.0,12.5,
89.0,15.62,
90.0,11.25,
91.0,18.75,
92.0,9.82,
93.0,11.72,
94.0,12.5,
95.0,10.94,
96.0,10.8,
97.0,10.16,
98.0,15.62,
99.0,12.5,
100.0,10.55,
101.0,14.06,
102.0,11.46,
103.0,12.5,
104.0,14.06,
105.0,9.9,
106.0,12.5,
107.0,10.33,
108.0,9.83,
109.0,9.81,
110.0,12.5,
111.0,12.5,
112.0,11.46,
113.0,13.02,
114.0,10.37,
115.0,10.8,
116.0,10.05,
117.0,17.19,
118.0,10.03,
119.0,12.5,
120.0,9.95,
121.0,12.5,
122.0,9.96,
123.0,17.19,
124.0,10.94,
125.0,14.06,
126.0,17.19,
127.0,14.06,
128.0,10.94,
129.0,9.83,
130.0,12.5,
131.0,13.02,
132.0,14.06,
133.0,12.93,
134.0,11.05,
135.0,10.47,
136.0,10.24,
137.0,10.16,
138.0,12.5,
139.0,11.04,
140.0,9.96,
141.0,11.16,
142.0,20.31,
143.0,15.62,
144.0,13.44,
145.0,16.41,
146.0,14.06,
147.0,9.97,
148.0,15.62,
149.0,10.94,
150.0,11.72,
151.0,18.75,
152.0,10.0,
153.0,13.28,
154.0,10.94,
155.0,10.1,
156.0,10.31,
157.0,11.98,
158.0,14.06,
159.0,11.02,
160.0,14.84,
161.0,10.71,
162.0,11.65,
163.0,12.5,
164.0,14.84,
165.0,10.0,
166.0,12.5,
167.0,12.05,
168.0,9.97,
169.0,11.88,
170.0,12.5,
171.0,10.94,
172.0,10.68,
173.0,10.56,
174.0,11.28,
175.0,10.2,
176.0,12.5,
177.0,10.55,
178.0,9.86,
179.0,9.83,
180.0,10.94,
181.0,10.94,
182.0,12.5,
183.0,9.93,
184.0,11.56,
185.0,13.54,
186.0,11.06,
187.0,12.5,
188.0,9.81,
189.0,11.72,
190.0,10.94,
191.0,14.06,
192.0,9.81,
193.0,12.5,
194.0,12.5,
195.0,18.75,
196.0,10.78,
197.0,12.5,
198.0,12.11,
199.0,13.28,
200.0,11.46,
Test,9.8,
Best,98.58,@ epoch 1
