Epoch,Accuracy,Loss
1.0,15.62,2.3625705242156982
2.0,11.4,
3.0,10.47,
4.0,11.33,
5.0,10.21,
6.0,14.06,
7.0,12.5,
8.0,14.06,
9.0,11.07,
10.0,10.66,
11.0,11.09,
12.0,13.75,
13.0,14.06,
14.0,20.31,
15.0,10.46,
16.0,12.5,
17.0,10.2,
18.0,10.51,
19.0,15.62,
20.0,17.19,
21.0,14.06,
22.0,11.72,
23.0,10.55,
24.0,12.5,
25.0,10.18,
26.0,10.25,
27.0,10.43,
28.0,14.06,
29.0,17.19,
30.0,10.94,
31.0,10.27,
32.0,18.75,
33.0,12.66,
34.0,14.06,
35.0,12.5,
36.0,13.67,
37.0,15.62,
38.0,15.62,
39.0,12.24,
40.0,10.23,
41.0,10.24,
42.0,10.94,
43.0,10.08,
44.0,11.56,
45.0,17.19,
46.0,10.94,
47.0,12.5,
48.0,10.14,
49.0,14.06,
50.0,11.66,
51.0,10.18,
52.0,10.58,
53.0,10.22,
54.0,14.06,
55.0,10.55,
56.0,10.03,
57.0,11.27,
58.0,13.28,
59.0,11.01,
60.0,10.94,
61.0,10.62,
62.0,10.68,
63.0,18.75,
64.0,11.72,
65.0,13.02,
66.0,11.0,
67.0,10.2,
68.0,12.89,
69.0,12.5,
70.0,12.5,
71.0,15.62,
72.0,12.5,
73.0,11.98,
74.0,10.31,
75.0,14.84,
76.0,10.78,
77.0,17.19,
78.0,14.58,
79.0,10.94,
80.0,17.19,
81.0,15.62,
82.0,10.58,
83.0,14.06,
84.0,10.94,
85.0,13.28,
86.0,10.76,
87.0,10.85,
88.0,10.94,
89.0,12.4,
90.0,11.72,
91.0,12.5,
92.0,10.0,
93.0,12.5,
94.0,11.11,
95.0,10.58,
96.0,18.75,
97.0,10.07,
98.0,11.16,
99.0,10.94,
100.0,10.94,
101.0,12.5,
102.0,10.64,
103.0,13.54,
104.0,10.94,
105.0,11.09,
106.0,10.33,
107.0,10.2,
108.0,11.46,
109.0,12.5,
110.0,13.28,
111.0,10.35,
112.0,14.06,
113.0,11.46,
114.0,18.75,
115.0,15.62,
116.0,10.94,
117.0,11.72,
118.0,12.81,
119.0,10.94,
120.0,14.06,
121.0,20.31,
122.0,12.5,
123.0,10.81,
124.0,10.1,
125.0,10.94,
126.0,12.11,
127.0,10.94,
128.0,17.19,
129.0,10.31,
130.0,10.02,
131.0,11.72,
132.0,10.16,
133.0,12.5,
134.0,17.19,
135.0,12.5,
136.0,11.2,
137.0,10.11,
138.0,10.09,
139.0,14.06,
140.0,15.62,
141.0,14.06,
142.0,11.38,
143.0,10.16,
144.0,10.94,
145.0,10.42,
146.0,11.33,
147.0,10.16,
148.0,10.94,
149.0,10.94,
150.0,10.86,
151.0,15.62,
152.0,18.75,
153.0,14.84,
154.0,11.2,
155.0,10.94,
156.0,14.06,
157.0,10.31,
158.0,14.06,
159.0,10.61,
160.0,14.84,
161.0,11.98,
162.0,10.94,
163.0,10.16,
164.0,10.18,
165.0,10.76,
166.0,12.15,
167.0,14.06,
168.0,12.5,
169.0,18.75,
170.0,10.22,
171.0,12.5,
172.0,15.62,
173.0,15.62,
174.0,10.94,
175.0,10.94,
176.0,11.44,
177.0,13.02,
178.0,10.19,
179.0,10.01,
180.0,10.28,
181.0,11.06,
182.0,15.62,
183.0,12.5,
184.0,10.67,
185.0,13.54,
186.0,20.31,
187.0,10.49,
188.0,10.05,
189.0,11.17,
190.0,12.5,
191.0,15.62,
192.0,11.46,
193.0,10.94,
194.0,10.94,
195.0,11.67,
196.0,12.5,
197.0,14.06,
198.0,10.94,
199.0,10.56,
200.0,11.72,
Test,10.0,
Best,20.31,@ epoch 14
