Epoch,Accuracy,Loss
1.0,98.96,0.1200576201081276
2.0,14.06,
3.0,11.32,
4.0,15.62,
5.0,10.94,
6.0,15.1,
7.0,10.94,
8.0,10.33,
9.0,12.19,
10.0,11.33,
11.0,10.94,
12.0,10.94,
13.0,14.06,
14.0,12.5,
15.0,15.62,
16.0,14.06,
17.0,14.06,
18.0,12.5,
19.0,11.38,
20.0,14.06,
21.0,11.72,
22.0,10.94,
23.0,14.06,
24.0,10.94,
25.0,11.81,
26.0,10.46,
27.0,17.19,
28.0,10.94,
29.0,10.38,
30.0,9.81,
31.0,12.5,
32.0,10.3,
33.0,10.89,
34.0,12.28,
35.0,11.08,
36.0,13.28,
37.0,9.88,
38.0,11.72,
39.0,15.62,
40.0,10.16,
41.0,10.94,
42.0,10.94,
43.0,12.5,
44.0,10.06,
45.0,12.5,
46.0,12.5,
47.0,12.5,
48.0,12.5,
49.0,11.72,
50.0,12.5,
51.0,11.13,
52.0,12.5,
53.0,20.31,
54.0,11.98,
55.0,12.5,
56.0,12.11,
57.0,12.5,
58.0,12.5,
59.0,10.94,
60.0,15.62,
61.0,12.5,
62.0,10.16,
63.0,9.82,
64.0,11.83,
65.0,9.86,
66.0,10.68,
67.0,15.62,
68.0,10.94,
69.0,10.28,
70.0,13.02,
71.0,18.75,
72.0,11.6,
73.0,15.62,
74.0,10.0,
75.0,10.16,
76.0,14.06,
77.0,10.94,
78.0,11.33,
79.0,13.02,
80.0,12.5,
81.0,17.19,
82.0,12.5,
83.0,14.06,
84.0,11.08,
85.0,10.94,
86.0,12.5,
87.0,9.9,
88.0,14.29,
89.0,10.97,
90.0,11.46,
91.0,11.08,
92.0,10.76,
93.0,14.06,
94.0,11.43,
95.0,11.72,
96.0,10.33,
97.0,12.89,
98.0,10.26,
99.0,10.82,
100.0,11.46,
101.0,10.71,
102.0,11.18,
103.0,10.18,
104.0,10.21,
105.0,13.28,
106.0,10.48,
107.0,11.61,
108.0,10.57,
109.0,14.84,
110.0,10.06,
111.0,11.72,
112.0,14.84,
113.0,10.4,
114.0,9.97,
115.0,9.81,
116.0,14.06,
117.0,12.5,
118.0,10.07,
119.0,10.7,
120.0,12.5,
121.0,18.75,
122.0,12.09,
123.0,10.37,
124.0,10.09,
125.0,10.03,
126.0,15.62,
127.0,14.06,
128.0,12.5,
129.0,17.19,
130.0,13.28,
131.0,11.91,
132.0,18.75,
133.0,11.25,
134.0,9.95,
135.0,14.06,
136.0,9.91,
137.0,10.0,
138.0,14.06,
139.0,15.62,
140.0,10.16,
141.0,11.72,
142.0,10.65,
143.0,11.98,
144.0,25.0,
145.0,10.94,
146.0,11.46,
147.0,13.54,
148.0,10.02,
149.0,11.0,
150.0,10.94,
151.0,10.24,
152.0,14.06,
153.0,10.31,
154.0,13.28,
155.0,15.62,
156.0,13.02,
157.0,10.94,
158.0,10.35,
159.0,10.42,
160.0,12.11,
161.0,14.06,
162.0,9.91,
163.0,10.68,
164.0,10.12,
165.0,11.98,
166.0,10.94,
167.0,15.23,
168.0,10.47,
169.0,10.94,
170.0,13.28,
171.0,11.98,
172.0,12.5,
173.0,10.8,
174.0,10.94,
175.0,11.72,
176.0,11.98,
177.0,16.41,
178.0,11.72,
179.0,10.94,
180.0,10.16,
181.0,13.02,
182.0,17.97,
183.0,11.46,
184.0,14.51,
185.0,10.94,
186.0,10.94,
187.0,10.03,
188.0,10.76,
189.0,9.97,
190.0,17.19,
191.0,10.94,
192.0,10.09,
193.0,9.8,
194.0,9.88,
195.0,12.5,
196.0,10.15,
197.0,10.43,
198.0,10.6,
199.0,9.81,
200.0,10.94,
Test,9.8,
Best,98.96,@ epoch 1
