Epoch,Accuracy,Loss
1.0,57.81,1.5565521717071533
2.0,11.72,
3.0,12.5,
4.0,14.06,
5.0,10.94,
6.0,10.22,
7.0,10.01,
8.0,11.72,
9.0,10.94,
10.0,10.2,
11.0,13.02,
12.0,10.16,
13.0,13.28,
14.0,10.94,
15.0,13.02,
16.0,11.98,
17.0,15.62,
18.0,11.25,
19.0,16.15,
20.0,10.94,
21.0,12.5,
22.0,10.94,
23.0,10.14,
24.0,12.5,
25.0,10.94,
26.0,10.35,
27.0,11.72,
28.0,10.62,
29.0,14.06,
30.0,11.16,
31.0,10.94,
32.0,14.84,
33.0,12.76,
34.0,12.08,
35.0,12.5,
36.0,10.94,
37.0,11.72,
38.0,15.62,
39.0,12.97,
40.0,10.94,
41.0,11.72,
42.0,17.19,
43.0,11.83,
44.0,11.11,
45.0,11.98,
46.0,11.36,
47.0,12.19,
48.0,10.76,
49.0,14.06,
50.0,18.75,
51.0,10.55,
52.0,10.94,
53.0,10.28,
54.0,15.62,
55.0,10.19,
56.0,10.94,
57.0,11.33,
58.0,10.94,
59.0,10.94,
60.0,12.5,
61.0,10.33,
62.0,10.6,
63.0,23.44,
64.0,12.11,
65.0,10.46,
66.0,18.75,
67.0,15.62,
68.0,10.39,
69.0,14.06,
70.0,10.94,
71.0,10.87,
72.0,10.94,
73.0,10.31,
74.0,10.58,
75.0,16.02,
76.0,10.29,
77.0,12.5,
78.0,11.33,
79.0,11.46,
80.0,10.94,
81.0,10.48,
82.0,11.23,
83.0,17.19,
84.0,10.94,
85.0,11.59,
86.0,14.06,
87.0,11.54,
88.0,10.58,
89.0,11.72,
90.0,10.04,
91.0,12.11,
92.0,10.94,
93.0,11.91,
94.0,10.39,
95.0,11.21,
96.0,13.33,
97.0,11.72,
98.0,10.03,
99.0,11.72,
100.0,12.28,
101.0,10.65,
102.0,10.76,
103.0,14.58,
104.0,12.22,
105.0,11.72,
106.0,15.62,
107.0,10.94,
108.0,10.94,
109.0,12.5,
110.0,12.5,
111.0,11.33,
112.0,10.65,
113.0,11.36,
114.0,10.4,
115.0,14.06,
116.0,15.62,
117.0,10.94,
118.0,10.94,
119.0,10.28,
120.0,16.41,
121.0,11.04,
122.0,10.47,
123.0,12.5,
124.0,10.68,
125.0,11.11,
126.0,11.91,
127.0,10.3,
128.0,18.75,
129.0,17.19,
130.0,10.04,
131.0,13.02,
132.0,12.5,
133.0,10.42,
134.0,12.5,
135.0,11.77,
136.0,10.38,
137.0,10.09,
138.0,11.46,
139.0,12.5,
140.0,10.48,
141.0,10.94,
142.0,14.06,
143.0,10.02,
144.0,10.28,
145.0,12.5,
146.0,15.62,
147.0,10.94,
148.0,12.5,
149.0,10.31,
150.0,14.06,
151.0,10.32,
152.0,10.94,
153.0,14.45,
154.0,10.67,
155.0,10.94,
156.0,10.03,
157.0,10.28,
158.0,11.72,
159.0,10.82,
160.0,13.02,
161.0,10.94,
162.0,11.33,
163.0,10.09,
164.0,12.5,
165.0,10.57,
166.0,11.48,
167.0,11.25,
168.0,15.62,
169.0,10.1,
170.0,12.5,
171.0,10.68,
172.0,10.94,
173.0,10.94,
174.0,13.12,
175.0,10.08,
176.0,12.5,
177.0,11.2,
178.0,15.62,
179.0,15.62,
180.0,14.06,
181.0,14.06,
182.0,11.46,
183.0,10.11,
184.0,10.18,
185.0,15.62,
186.0,12.85,
187.0,14.84,
188.0,10.94,
189.0,11.46,
190.0,10.15,
191.0,14.06,
192.0,10.78,
193.0,10.39,
194.0,10.8,
195.0,10.24,
196.0,10.53,
197.0,14.06,
198.0,11.46,
199.0,14.06,
200.0,10.28,
Test,10.0,
Best,57.81,@ epoch 1
