,Epoch,Accuracy,Loss
0,1.0,31.25,1.7368
1,2.0,37.5,1.566
2,3.0,42.9688,1.7832
3,4.0,44.4444,1.6057
4,5.0,41.6708,1.5065
5,6.0,42.7194,1.403
6,7.0,50.0,1.2132
7,8.0,48.4375,1.0699
8,9.0,57.8125,1.4203
9,10.0,47.6562,1.1676
10,11.0,53.8411,1.2662
11,12.0,55.4688,1.1939
12,13.0,53.125,0.9455
13,14.0,39.2361,1.0882
14,15.0,59.5833,0.983
15,16.0,51.4309,1.1485
16,17.0,62.5,0.9519
17,18.0,58.9844,1.0353
18,19.0,46.3542,1.1059
19,20.0,56.0444,0.8577
20,21.0,56.25,0.7599
21,22.0,67.1875,0.7433
22,23.0,48.6437,1.4081
23,24.0,58.1019,0.9617
24,25.0,59.6875,1.3117
25,26.0,55.6362,0.9805
26,27.0,52.6654,1.1063
27,28.0,56.25,1.0354
28,29.0,56.25,0.853
29,30.0,87.5,0.8776
30,31.0,81.6406,0.4821
31,32.0,80.4688,0.6438
32,33.0,82.8125,0.3835
33,34.0,81.25,0.6103
34,35.0,79.8798,0.4278
35,36.0,81.25,0.6202
36,37.0,83.2031,0.4205
37,38.0,88.0208,0.622
38,39.0,79.6875,0.3701
39,40.0,85.9375,0.5687
40,41.0,82.0312,0.5781
41,42.0,81.25,0.4046
42,43.0,83.4821,0.6323
43,44.0,83.3333,0.3879
44,45.0,79.0865,0.5133
45,46.0,89.0625,0.3146
46,47.0,84.375,0.3849
47,48.0,86.7188,0.4708
48,49.0,82.0312,0.3465
49,50.0,83.4821,0.145
50,51.0,80.5786,0.2318
51,52.0,82.8125,0.4897
52,53.0,82.8125,0.5647
53,54.0,82.6705,0.2882
54,55.0,83.3834,0.2685
55,56.0,85.9375,0.5705
56,57.0,84.0625,0.1956
57,58.0,73.5322,0.4628
58,59.0,82.2917,0.3171
59,60.0,89.7837,0.1225
60,61.0,87.5,0.0356
61,62.0,93.75,0.1109
62,63.0,88.2812,0.0343
63,64.0,87.8397,0.0442
64,65.0,87.5,0.0158
65,66.0,87.5381,0.0443
66,67.0,87.5,0.0149
67,68.0,87.1528,0.0122
68,69.0,89.1544,0.0133
69,70.0,88.7228,0.0213
70,71.0,87.5,0.039
71,72.0,90.625,0.006
72,73.0,87.2596,0.0237
73,74.0,88.125,0.0458
74,75.0,90.625,0.0259
75,76.0,84.5745,0.0248
76,77.0,93.75,0.0217
77,78.0,87.8081,0.052
78,79.0,90.625,0.0032
79,80.0,89.5089,0.0046
80,81.0,89.0625,0.0145
81,82.0,92.1875,0.0147
82,83.0,90.625,0.0165
83,84.0,89.0625,0.0166
84,85.0,89.0625,0.0089
85,86.0,87.1094,0.1019
86,87.0,86.9752,0.0571
87,88.0,89.0625,0.0034
88,89.0,87.8906,0.0269
89,90.0,90.625,0.0199
90,91.0,95.3125,0.0087
91,92.0,86.7322,0.0039
92,93.0,87.8906,0.0038
93,94.0,88.6364,0.0073
94,95.0,87.5558,0.004
95,96.0,90.625,0.0032
96,97.0,87.2103,0.002
97,98.0,90.625,0.0066
98,99.0,91.4062,0.0044
99,100.0,88.8393,0.0061
100,101.0,87.4321,0.0085
101,102.0,90.625,0.0024
102,103.0,90.625,0.0032
