,Epoch,Accuracy,Loss
0,1.0,43.75,1.7595
1,2.0,46.875,1.383
2,3.0,46.875,1.4685
3,4.0,45.3125,1.2167
4,5.0,48.8163,1.2921
5,6.0,54.8264,1.1497
6,7.0,50.6793,1.3661
7,8.0,59.7522,1.3609
8,9.0,58.0163,1.2839
9,10.0,59.375,1.2699
10,11.0,60.9375,1.3969
11,12.0,52.3438,1.0967
12,13.0,50.5208,0.9727
13,14.0,60.9375,0.7906
14,15.0,65.625,1.1109
15,16.0,64.0625,0.9959
16,17.0,53.125,0.8828
17,18.0,56.6692,1.1325
18,19.0,62.3001,0.8425
19,20.0,48.418,1.1006
20,21.0,54.5139,0.751
21,22.0,59.375,0.7272
22,23.0,50.0,0.8309
23,24.0,57.2516,0.8999
24,25.0,60.9375,0.9235
25,26.0,50.0,0.8635
26,27.0,49.2188,0.8406
27,28.0,61.8684,0.9981
28,29.0,73.4375,0.74
29,30.0,82.8125,0.4648
30,31.0,83.5938,0.6453
31,32.0,89.0625,0.7352
32,33.0,84.375,0.418
33,34.0,85.1562,0.4347
34,35.0,83.8115,0.3332
35,36.0,84.375,0.2827
36,37.0,84.8958,0.3839
37,38.0,80.4835,0.3815
38,39.0,80.1215,0.5223
39,40.0,83.6538,0.4298
40,41.0,80.692,0.5357
41,42.0,83.9286,0.743
42,43.0,85.1562,0.3543
43,44.0,85.9375,0.2763
44,45.0,85.0,0.5202
45,46.0,81.25,0.4727
46,47.0,86.3839,0.4482
47,48.0,83.3333,0.4951
48,49.0,84.375,0.4234
49,50.0,90.625,0.1756
50,51.0,84.8958,0.2079
51,52.0,83.8542,0.3587
52,53.0,83.3333,0.2677
53,54.0,80.0,0.2867
54,55.0,80.6052,0.4011
55,56.0,89.8438,0.156
56,57.0,84.7826,0.2885
57,58.0,82.875,0.2571
58,59.0,87.5,0.2977
59,60.0,91.4062,0.1598
60,61.0,92.1875,0.1026
61,62.0,89.2724,0.1608
62,63.0,90.625,0.1046
63,64.0,92.1875,0.0411
64,65.0,89.7418,0.1416
65,66.0,91.3542,0.0127
66,67.0,93.75,0.0776
67,68.0,90.9255,0.017
68,69.0,91.9922,0.0278
69,70.0,90.625,0.0746
70,71.0,92.1875,0.0565
71,72.0,93.75,0.0224
72,73.0,89.8438,0.0058
73,74.0,91.0938,0.0751
74,75.0,88.4375,0.1951
75,76.0,89.7254,0.018
76,77.0,85.1562,0.2512
77,78.0,92.1875,0.0602
78,79.0,90.625,0.0112
79,80.0,90.625,0.0406
80,81.0,93.75,0.0093
81,82.0,93.75,0.0026
82,83.0,91.1719,0.0173
83,84.0,88.8021,0.1246
84,85.0,95.3125,0.0253
85,86.0,92.1875,0.0029
86,87.0,92.1875,0.005
87,88.0,90.9375,0.0085
88,89.0,89.8438,0.0196
89,90.0,88.3265,0.0464
90,91.0,88.8672,0.0293
91,92.0,92.1875,0.0248
92,93.0,89.5433,0.0011
93,94.0,89.6458,0.0034
94,95.0,98.4375,0.0026
95,96.0,78.125,0.214
96,97.0,89.6267,0.0017
97,98.0,90.3846,0.0024
98,99.0,75.625,0.7289
99,100.0,86.1328,0.2203
100,101.0,90.625,0.0417
101,102.0,90.625,0.0039
102,103.0,92.1875,0.0024
103,104.0,90.625,0.0562
104,105.0,93.75,0.076
105,106.0,89.6875,0.0084
106,107.0,92.1875,0.0063
107,108.0,92.1875,0.0041
108,109.0,92.1875,0.0015
109,110.0,89.5833,0.0246
110,111.0,90.625,0.0504
111,112.0,73.4375,0.6466
112,113.0,88.6719,0.1314
113,114.0,88.6719,0.0055
114,115.0,88.2812,0.0545
115,116.0,89.1885,0.0304
116,117.0,91.4062,0.0026
117,118.0,92.1875,0.0175
118,119.0,85.1562,0.1974
119,120.0,92.1875,0.0021
120,121.0,89.5221,0.0153
121,122.0,93.75,0.0043
122,123.0,86.4583,0.0686
123,124.0,90.0541,0.0155
124,125.0,90.9375,0.0118
125,126.0,92.1875,0.002
126,127.0,84.6875,0.3139
127,128.0,95.3125,0.0028
128,129.0,90.1442,0.0468
129,130.0,91.0156,0.0042
130,131.0,90.1195,0.0708
131,132.0,96.875,0.0088
132,133.0,89.8148,0.0073
133,134.0,93.75,0.0046
134,135.0,89.4481,0.0097
135,136.0,85.9375,0.1067
136,137.0,91.25,0.0017
137,138.0,90.625,0.0008
138,139.0,92.5,0.003
139,140.0,90.3125,0.0505
140,141.0,91.4062,0.0096
141,142.0,95.3125,0.0019
142,143.0,92.1875,0.0093
143,144.0,90.625,0.0063
144,145.0,93.75,0.0028
145,146.0,89.2411,0.0032
146,147.0,89.8438,0.0962
147,148.0,82.8125,0.2668
148,149.0,93.75,0.0037
149,150.0,92.1875,0.003
150,151.0,89.7775,0.005
151,152.0,90.625,0.0348
152,153.0,90.2138,0.0062
153,154.0,93.75,0.0035
154,155.0,83.9286,0.223
155,156.0,90.625,0.018
156,157.0,88.9323,0.0146
157,158.0,91.4062,0.0129
158,159.0,93.75,0.0025
159,160.0,89.0625,0.1757
160,161.0,90.625,0.0094
161,162.0,91.4062,0.0212
162,163.0,94.5312,0.0013
163,164.0,89.0625,0.0049
164,165.0,93.75,0.0034
165,166.0,86.6071,0.0888
166,167.0,90.4167,0.0053
167,168.0,94.375,0.0006
168,169.0,89.0625,0.001
169,170.0,93.2292,0.01
170,171.0,88.4396,0.0338
171,172.0,90.1042,0.003
172,173.0,93.75,0.0025
173,174.0,91.1458,0.0618
174,175.0,98.4375,0.0075
175,176.0,92.1875,0.1291
176,177.0,89.6875,0.0986
177,178.0,89.4701,0.0113
178,179.0,92.1875,0.0086
179,180.0,88.5851,0.0013
180,181.0,87.1494,0.01
181,182.0,90.3125,0.0037
182,183.0,70.7134,0.7477
183,184.0,92.1875,0.0028
184,185.0,90.2853,0.0169
185,186.0,90.3533,0.0112
186,187.0,88.6194,0.0138
187,188.0,93.75,0.0012
188,189.0,91.5625,0.0005
189,190.0,95.3125,0.0135
190,191.0,92.1875,0.0032
191,192.0,89.1406,0.0077
