,Epoch,Accuracy,Loss
0,1.0,50.0,1.4496
1,2.0,43.2292,1.3959
2,3.0,55.8036,1.3015
3,4.0,50.8929,1.07
4,5.0,56.4012,0.7959
5,6.0,60.9375,1.0022
6,7.0,57.5169,0.8757
7,8.0,65.8333,0.6527
8,9.0,57.9174,0.7379
9,10.0,67.4479,0.8589
10,11.0,70.3125,1.2679
11,12.0,71.875,0.7304
12,13.0,57.2368,0.5741
13,14.0,65.625,0.8119
14,15.0,55.8594,0.799
15,16.0,73.5294,1.009
16,17.0,79.6875,0.5362
17,18.0,78.125,0.6302
18,19.0,65.625,0.9705
19,20.0,79.6875,0.7359
20,21.0,69.8762,0.5396
21,22.0,67.6847,0.8097
22,23.0,79.6875,0.5023
23,24.0,57.8125,0.9425
24,25.0,68.2633,0.4844
25,26.0,77.3438,0.6504
26,27.0,70.3125,0.6997
27,28.0,70.0625,0.8083
28,29.0,59.8958,0.7487
29,30.0,79.2969,0.6616
30,31.0,86.7188,0.4021
31,32.0,90.625,0.254
32,33.0,90.625,0.263
33,34.0,92.1875,0.2891
34,35.0,84.375,0.5396
35,36.0,83.8542,0.3132
36,37.0,88.3523,0.1595
37,38.0,89.0625,0.1897
38,39.0,85.9375,0.2855
39,40.0,86.4583,0.3669
40,41.0,83.9844,0.1668
41,42.0,87.5,0.4221
42,43.0,86.5473,0.074
43,44.0,92.1875,0.2285
44,45.0,84.8438,0.258
45,46.0,87.5,0.1025
46,47.0,85.1096,0.1291
47,48.0,87.5,0.2096
48,49.0,81.25,0.4701
49,50.0,85.2163,0.0784
50,51.0,90.625,0.0514
51,52.0,85.7812,0.1252
52,53.0,85.9375,0.0473
53,54.0,84.1146,0.2523
54,55.0,84.1835,0.0654
55,56.0,83.8542,0.2287
56,57.0,85.1562,0.1434
57,58.0,89.8438,0.09
58,59.0,92.1875,0.2368
59,60.0,90.625,0.0826
60,61.0,93.75,0.0466
61,62.0,90.625,0.0033
62,63.0,91.0714,0.0051
63,64.0,90.625,0.003
64,65.0,90.25,0.0092
65,66.0,92.1875,0.0103
66,67.0,92.1875,0.005
67,68.0,86.8056,0.1375
68,69.0,90.625,0.036
69,70.0,90.625,0.0035
70,71.0,93.75,0.005
71,72.0,88.9648,0.0396
72,73.0,87.9464,0.0155
73,74.0,82.0312,0.4254
74,75.0,90.625,0.0032
75,76.0,89.1927,0.0025
76,77.0,90.625,0.0014
77,78.0,92.1875,0.014
78,79.0,90.1316,0.0012
79,80.0,90.1693,0.0055
80,81.0,90.3846,0.0034
81,82.0,89.8438,0.0035
82,83.0,92.7083,0.0023
83,84.0,87.6953,0.0703
84,85.0,90.3646,0.0021
85,86.0,90.625,0.0023
86,87.0,89.5833,0.0218
87,88.0,90.8088,0.0013
88,89.0,92.1875,0.005
89,90.0,90.4345,0.0023
