,Epoch,Accuracy,Loss
0,1.0,39.0625,1.7121
1,2.0,41.1458,1.7187
2,3.0,42.1461,1.6236
3,4.0,42.7083,1.4677
4,5.0,53.9062,1.1798
5,6.0,50.3125,1.1564
6,7.0,60.9375,1.1527
7,8.0,46.875,1.2212
8,9.0,46.7014,1.2526
9,10.0,44.5772,1.2185
10,11.0,51.5625,1.2072
11,12.0,57.4219,1.0142
12,13.0,62.7232,0.9907
13,14.0,58.5436,1.1511
14,15.0,54.6875,1.2224
15,16.0,55.0223,1.0556
16,17.0,52.3438,1.0862
17,18.0,55.6771,1.0752
18,19.0,53.3854,1.0397
19,20.0,68.75,1.0507
20,21.0,62.9464,1.2846
21,22.0,67.1875,1.0614
22,23.0,62.5,0.929
23,24.0,65.3125,1.0937
24,25.0,64.5833,0.9011
25,26.0,59.375,0.8211
26,27.0,62.5,0.9507
27,28.0,52.7344,0.9634
28,29.0,54.6875,0.9051
29,30.0,80.1736,0.4547
30,31.0,84.375,0.5485
31,32.0,82.8125,0.4218
32,33.0,83.5938,0.7036
33,34.0,82.9427,0.6666
34,35.0,83.3333,0.6358
35,36.0,83.2031,0.4041
36,37.0,82.8125,0.4582
37,38.0,82.1646,0.3265
38,39.0,79.1667,0.3592
39,40.0,83.1439,0.388
40,41.0,81.0764,0.5183
41,42.0,84.375,0.5671
42,43.0,86.9792,0.449
43,44.0,83.4375,0.2548
44,45.0,81.25,0.2523
45,46.0,84.375,0.2709
46,47.0,83.1577,0.519
47,48.0,82.9167,0.3948
48,49.0,80.8979,0.3924
49,50.0,87.5,0.2127
50,51.0,77.4306,0.3385
51,52.0,83.125,0.2455
52,53.0,80.8594,0.2152
53,54.0,85.9375,0.2255
54,55.0,84.6354,0.3084
55,56.0,84.8958,0.2291
56,57.0,84.375,0.3212
57,58.0,82.0312,0.26
58,59.0,83.5304,0.1736
59,60.0,90.625,0.1353
60,61.0,78.0729,0.3243
61,62.0,90.625,0.1523
62,63.0,92.1875,0.0531
63,64.0,87.2633,0.0459
64,65.0,88.1944,0.0355
65,66.0,89.0625,0.0193
66,67.0,88.6719,0.0586
67,68.0,87.4479,0.0307
68,69.0,95.3125,0.0048
69,70.0,86.5713,0.0226
70,71.0,87.0427,0.0096
71,72.0,89.0625,0.0256
72,73.0,88.5417,0.0063
73,74.0,84.375,0.0765
74,75.0,86.1346,0.0282
75,76.0,90.625,0.0263
76,77.0,87.5,0.0239
77,78.0,91.4062,0.101
78,79.0,90.625,0.1248
79,80.0,81.1996,0.0488
80,81.0,80.7155,0.1627
81,82.0,93.75,0.0288
82,83.0,74.0625,0.4279
83,84.0,85.7673,0.0065
84,85.0,85.9375,0.0321
85,86.0,82.1573,0.1431
86,87.0,84.375,0.1459
87,88.0,38.0859,0.0393
88,89.0,14.0625,0.0348
89,90.0,89.0625,0.0331
90,91.0,86.1625,0.0085
91,92.0,86.7188,0.0056
92,93.0,85.0497,0.0747
93,94.0,92.1875,0.0059
94,95.0,93.75,0.0083
95,96.0,83.0078,0.06
96,97.0,86.2092,0.0101
97,98.0,83.9489,0.0283
98,99.0,90.625,0.0142
99,100.0,86.3839,0.0016
100,101.0,90.625,0.0016
101,102.0,90.625,0.0028
102,103.0,87.1711,0.0038
103,104.0,86.4211,0.0831
104,105.0,86.3431,0.0026
105,106.0,90.625,0.0079
106,107.0,86.4583,0.0065
107,108.0,87.5,0.0127
108,109.0,89.0625,0.0093
109,110.0,87.0404,0.003
110,111.0,87.5,0.0047
111,112.0,86.1458,0.006
112,113.0,93.2292,0.0114
113,114.0,83.2925,0.0376
114,115.0,85.9375,0.002
115,116.0,90.625,0.0017
116,117.0,85.0543,0.0092
117,118.0,87.8472,0.0046
118,119.0,90.625,0.0033
119,120.0,86.9792,0.0035
120,121.0,88.3789,0.0025
121,122.0,85.625,0.0193
122,123.0,90.625,0.0076
123,124.0,89.0625,0.0021
124,125.0,87.5,0.0029
125,126.0,90.625,0.0019
126,127.0,89.0625,0.0462
127,128.0,96.875,0.0016
128,129.0,89.8438,0.0031
129,130.0,90.625,0.0026
130,131.0,86.6477,0.0079
131,132.0,84.375,0.4532
132,133.0,89.0625,0.0025
133,134.0,86.3932,0.0063
134,135.0,86.3051,0.01
135,136.0,93.75,0.0037
136,137.0,88.8889,0.0159
137,138.0,87.1783,0.0045
138,139.0,90.625,0.0136
139,140.0,95.3125,0.1654
140,141.0,86.8389,0.0069
141,142.0,88.2812,0.0101
142,143.0,86.2216,0.0055
143,144.0,92.1875,0.005
144,145.0,86.3889,0.0048
145,146.0,87.5,0.015
146,147.0,85.1562,0.017
147,148.0,89.0625,0.0021
148,149.0,83.5938,0.0705
149,150.0,84.375,0.0329
150,151.0,92.1875,0.0027
151,152.0,87.5,0.3425
152,153.0,87.2396,0.0263
153,154.0,87.5,0.0036
154,155.0,87.5,0.0034
155,156.0,85.9375,0.0031
156,157.0,86.153,0.0017
157,158.0,85.1673,0.0094
158,159.0,89.0625,0.0015
159,160.0,87.3843,0.0012
160,161.0,89.0625,0.0116
161,162.0,89.0625,0.003
162,163.0,87.5,0.0079
163,164.0,87.4178,0.002
164,165.0,87.5,0.0029
165,166.0,89.0625,0.0021
166,167.0,85.2163,0.0061
167,168.0,89.0625,0.0031
168,169.0,91.4062,0.008
169,170.0,85.9375,0.0462
170,171.0,86.7188,0.0045
171,172.0,84.375,0.1716
172,173.0,89.8438,0.0013
173,174.0,87.1094,0.0061
174,175.0,45.3125,0.0387
175,176.0,87.8125,0.0073
176,177.0,90.1042,0.005
177,178.0,89.8438,0.0015
178,179.0,86.5169,0.0017
179,180.0,86.2571,0.0028
180,181.0,87.5,0.0253
181,182.0,87.5,0.0016
182,183.0,83.5938,0.004
183,184.0,87.6302,0.0032
184,185.0,89.0625,0.0057
185,186.0,91.4062,0.0022
186,187.0,90.625,0.0019
187,188.0,87.5,0.0013
188,189.0,87.8906,0.0089
189,190.0,86.6071,0.0202
190,191.0,89.4531,0.0069
191,192.0,85.9375,0.0125
192,193.0,90.625,0.0118
193,194.0,90.625,0.0035
194,195.0,86.5234,0.0026
195,196.0,87.5,0.0097
196,197.0,87.7232,0.0015
197,198.0,93.75,0.0018
198,199.0,89.0625,0.0138
199,200.0,89.0625,0.0056
201,Test,Accuracy,85.45
202,Best,96.875,@ Epoch 128
