,Epoch,Accuracy,Loss
0,1.0,9.4203,4.106
1,2.0,16.4583,3.0604
2,3.0,18.3239,3.3745
3,4.0,26.3787,2.905
4,5.0,32.8804,2.1605
5,6.0,33.9844,2.3863
6,7.0,37.5,2.0466
7,8.0,42.1875,1.6379
8,9.0,42.9688,2.1757
9,10.0,40.625,1.7107
10,11.0,41.3651,2.0654
11,12.0,39.1667,1.8603
12,13.0,43.75,1.7943
13,14.0,43.8043,1.5743
14,15.0,44.5312,1.6985
15,16.0,39.0727,1.4644
16,17.0,46.4844,1.536
17,18.0,41.9271,1.5392
18,19.0,46.0938,2.0631
19,20.0,44.5312,1.3776
20,21.0,43.75,1.2703
21,22.0,50.0,1.5145
22,23.0,45.3125,1.4784
23,24.0,44.5312,1.5071
24,25.0,42.9688,1.4695
25,26.0,48.9583,1.7323
26,27.0,45.7386,1.5331
27,28.0,50.5208,1.633
28,29.0,43.2598,1.3714
29,30.0,72.6562,0.591
30,31.0,64.4531,0.2883
31,32.0,63.2212,0.319
32,33.0,70.3125,0.0887
33,34.0,65.625,0.1086
34,35.0,66.6667,0.0825
35,36.0,71.875,0.0223
36,37.0,64.8438,0.0227
37,38.0,68.75,0.1464
38,39.0,63.1944,0.0165
39,40.0,71.875,0.0217
40,41.0,64.0625,0.0182
41,42.0,63.2812,0.0128
42,43.0,61.568,0.0127
43,44.0,67.1875,0.0144
44,45.0,68.75,0.011
45,46.0,65.625,0.017
46,47.0,65.625,0.0148
47,48.0,64.0625,0.0126
48,49.0,71.875,0.0118
49,50.0,62.5,0.012
50,51.0,64.0625,0.0498
51,52.0,58.2078,0.0551
52,53.0,57.8125,0.5301
53,54.0,56.25,0.6777
54,55.0,54.7706,0.3309
55,56.0,55.9152,0.1271
56,57.0,63.5417,0.0841
57,58.0,63.0208,0.0214
58,59.0,64.0625,0.0072
59,60.0,65.625,0.0092
60,61.0,69.5312,0.0051
61,62.0,65.625,0.0042
62,63.0,65.625,0.0046
63,64.0,63.2711,0.0038
64,65.0,64.4531,0.0053
65,66.0,65.0,0.004
66,67.0,66.1458,0.0051
67,68.0,64.375,0.0035
68,69.0,64.5833,0.0039
69,70.0,67.1875,0.0047
70,71.0,82.8125,0.0046
71,72.0,64.4043,0.0047
72,73.0,73.4375,0.0058
73,74.0,68.75,0.0045
74,75.0,63.3789,0.005
75,76.0,64.477,0.0092
76,77.0,66.1058,0.0035
77,78.0,65.4297,0.0061
78,79.0,66.2109,0.0057
79,80.0,70.7031,0.0066
80,81.0,67.7083,0.0053
81,82.0,71.0938,0.0035
82,83.0,65.625,0.0035
83,84.0,65.1042,0.0053
84,85.0,68.75,0.0057
85,86.0,69.5312,0.005
86,87.0,70.3125,0.005
87,88.0,64.8438,0.0045
88,89.0,64.2857,0.0051
89,90.0,66.25,0.0072
90,91.0,68.75,0.0031
91,92.0,63.166,0.0043
92,93.0,68.75,0.0057
93,94.0,63.7263,0.0044
94,95.0,67.9688,0.005
95,96.0,64.0625,0.0057
96,97.0,70.3125,0.0044
97,98.0,63.261,0.006
98,99.0,67.1875,0.0043
99,100.0,67.1875,0.0048
100,101.0,69.2708,0.0048
101,102.0,68.75,0.0063
102,103.0,63.2605,0.006
103,104.0,65.625,0.005
104,105.0,67.1875,0.0045
105,106.0,64.4886,0.0049
106,107.0,71.875,0.0062
107,108.0,65.5208,0.012
108,109.0,64.6484,0.0041
109,110.0,64.2578,0.0045
110,111.0,63.1189,0.004
111,112.0,65.3846,0.0055
112,113.0,68.75,0.0045
113,114.0,66.6667,0.0055
114,115.0,68.75,0.0053
115,116.0,71.875,0.0097
116,117.0,66.6295,0.0057
117,118.0,65.7812,0.0041
118,119.0,64.8438,0.0058
119,120.0,68.5938,0.0074
120,121.0,64.7461,0.0046
121,122.0,65.625,0.0055
122,123.0,66.5179,0.0052
123,124.0,65.1042,0.0058
124,125.0,69.0625,0.0039
125,126.0,65.625,0.0065
126,127.0,67.1875,0.0047
127,128.0,66.4931,0.0061
128,129.0,64.114,0.0081
129,130.0,68.75,0.0057
130,131.0,71.875,0.0091
131,132.0,67.5781,0.0043
132,133.0,63.4878,0.0054
133,134.0,67.5781,0.0063
134,135.0,66.2946,0.0067
135,136.0,67.1875,0.0043
136,137.0,64.0625,0.0079
137,138.0,75.0,0.0047
138,139.0,65.0,0.0072
139,140.0,63.3681,0.0054
140,141.0,68.75,0.0056
141,142.0,65.1042,0.0052
142,143.0,70.3125,0.0046
143,144.0,65.625,0.0041
144,145.0,63.5989,0.0065
145,146.0,75.0,0.0042
146,147.0,67.5781,0.0038
147,148.0,68.75,0.0048
148,149.0,70.3125,0.007
149,150.0,70.3125,0.0049
150,151.0,75.0,0.0049
151,152.0,63.3667,0.0067
152,153.0,76.5625,0.0049
153,154.0,66.2946,0.008
154,155.0,64.4676,0.0124
155,156.0,67.9688,0.0082
156,157.0,65.0,0.0069
157,158.0,63.4665,0.0041
158,159.0,65.625,0.0055
159,160.0,67.4107,0.0067
160,161.0,68.75,0.0041
161,162.0,66.4062,0.0049
162,163.0,67.1875,0.0071
163,164.0,64.1304,0.0063
164,165.0,63.3413,0.0063
165,166.0,64.8438,0.0051
166,167.0,65.3646,0.0056
167,168.0,63.5417,0.0056
168,169.0,66.0156,0.0052
169,170.0,68.75,0.0053
170,171.0,63.23,0.0054
171,172.0,71.875,0.0054
172,173.0,65.2778,0.0046
173,174.0,67.1875,0.0061
174,175.0,71.875,0.0049
175,176.0,63.75,0.0067
176,177.0,64.6875,0.0061
177,178.0,68.75,0.0043
178,179.0,71.875,0.0045
179,180.0,73.4375,0.0056
180,181.0,70.5729,0.0054
181,182.0,63.3218,0.0056
182,183.0,64.0625,0.0079
183,184.0,75.0,0.0055
184,185.0,70.3125,0.0063
185,186.0,66.4062,0.0048
186,187.0,68.75,0.0102
187,188.0,64.0855,0.0175
188,189.0,73.4375,0.006
189,190.0,64.0625,0.0078
190,191.0,64.5833,0.0048
191,192.0,65.625,0.0054
192,193.0,71.875,0.0064
193,194.0,68.75,0.0061
194,195.0,67.1875,0.0236
195,196.0,66.6667,0.0076
196,197.0,65.625,0.0101
197,198.0,65.625,0.0076
198,199.0,63.6719,0.0257
199,200.0,64.6875,0.0062
201,Test,Accuracy,63.09
202,Best,82.8125,@ Epoch 71
