,Epoch,Accuracy,Loss
0,1.0,100.0,0.0524
1,2.0,98.9309,0.0365
2,3.0,100.0,0.0207
3,4.0,98.5491,0.0441
4,5.0,99.1587,0.0086
5,6.0,99.2188,0.0687
6,7.0,99.1071,0.0021
7,8.0,99.2188,0.0633
8,9.0,98.4375,0.1512
9,10.0,99.2188,0.1031
10,11.0,100.0,0.0455
11,12.0,100.0,0.0223
12,13.0,100.0,0.0085
13,14.0,100.0,0.0131
14,15.0,96.0809,0.0541
15,16.0,100.0,0.0972
16,17.0,98.4375,0.0239
17,18.0,100.0,0.0699
18,19.0,98.4375,0.015
19,20.0,97.3214,0.0677
20,21.0,99.1146,0.0583
21,22.0,97.6562,0.0327
22,23.0,100.0,0.0846
23,24.0,99.6094,0.0596
24,25.0,98.4375,0.0238
25,26.0,100.0,0.1218
26,27.0,96.9444,0.0139
27,28.0,98.7331,0.004
28,29.0,100.0,0.0707
29,30.0,100.0,0.0043
30,31.0,99.8264,0.0093
31,32.0,100.0,0.0038
32,33.0,99.57,0.002
33,34.0,100.0,0.0019
34,35.0,100.0,0.0022
35,36.0,99.7917,0.0016
36,37.0,99.7321,0.0031
37,38.0,100.0,0.0253
38,39.0,100.0,0.0018
39,40.0,100.0,0.0138
40,41.0,100.0,0.0789
41,42.0,100.0,0.0045
42,43.0,99.4435,0.0046
43,44.0,100.0,0.0014
44,45.0,99.707,0.0018
45,46.0,100.0,0.0033
46,47.0,100.0,0.1046
47,48.0,100.0,0.0362
48,49.0,99.5536,0.0042
49,50.0,100.0,0.0081
50,51.0,100.0,0.0012
51,52.0,100.0,0.0019
52,53.0,100.0,0.0249
53,54.0,100.0,0.002
54,55.0,99.0356,0.0132
55,56.0,100.0,0.0056
56,57.0,99.1848,0.0052
57,58.0,99.5536,0.0373
58,59.0,99.4041,0.0025
59,60.0,100.0,0.0023
60,61.0,100.0,0.0017
61,62.0,100.0,0.0039
62,63.0,100.0,0.0025
63,64.0,100.0,0.0019
64,65.0,99.6124,0.0041
65,66.0,99.6956,0.0017
66,67.0,100.0,0.0026
67,68.0,100.0,0.0014
68,69.0,99.8438,0.0031
69,70.0,100.0,0.0017
70,71.0,100.0,0.0017
71,72.0,100.0,0.0014
72,73.0,100.0,0.0013
73,74.0,100.0,0.0016
74,75.0,99.8384,0.0015
75,76.0,100.0,0.0019
76,77.0,99.7596,0.0022
77,78.0,100.0,0.0013
78,79.0,100.0,0.0014
79,80.0,100.0,0.0015
80,81.0,100.0,0.0017
81,82.0,100.0,0.0017
82,83.0,100.0,0.0023
83,84.0,100.0,0.0015
84,85.0,100.0,0.0013
85,86.0,100.0,0.002
86,87.0,100.0,0.0015
87,88.0,99.6853,0.0019
88,89.0,100.0,0.0014
89,90.0,100.0,0.0017
90,91.0,99.8162,0.0014
91,92.0,100.0,0.0034
92,93.0,100.0,0.0013
93,94.0,100.0,0.0012
94,95.0,100.0,0.0018
95,96.0,100.0,0.0042
96,97.0,100.0,0.0027
97,98.0,99.7768,0.0015
98,99.0,100.0,0.0021
99,100.0,100.0,0.0024
100,101.0,100.0,0.0088
101,102.0,100.0,0.0019
102,103.0,99.707,0.0015
103,104.0,99.6875,0.0014
104,105.0,99.8047,0.0015
105,106.0,100.0,0.0014
106,107.0,100.0,0.0015
107,108.0,100.0,0.0024
108,109.0,100.0,0.0025
109,110.0,99.6753,0.0015
110,111.0,100.0,0.0016
111,112.0,100.0,0.0013
