MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
normal,cifar10,none,--,89.0625,125,78.64
normal,cifar10,cauchy,1,93.75,93,83.16
normal,cifar10,cauchy,2,95.3125,140,82.5
normal,cifar10,cauchy,3,92.1875,130,81.0
normal,cifar10,cauchy,4,92.1875,64,81.75
normal,cifar10,cauchy,5,92.1875,136,82.01
normal,cifar10,cauchy,6,91.4062,158,80.56
normal,cifar10,cauchy,7,93.75,192,81.63
normal,cifar10,cauchy,8,93.75,98,82.35
normal,cifar10,cauchy,9,93.75,158,82.19
normal,cifar10,cauchy,10,93.75,105,82.71
normal,cifar10,cauchy,11,90.625,84,81.45
normal,cifar10,cauchy,12,96.875,132,82.02
normal,cifar10,cauchy,13,92.9688,106,82.05
normal,cifar10,cauchy,14,93.75,83,82.55
normal,cifar10,gaussian,1,98.4375,125,83.13
normal,cifar10,gaussian,2,93.75,82,83.02
normal,cifar10,gaussian,3,93.75,120,82.41
normal,cifar10,gaussian,4,92.1875,53,82.39
normal,cifar10,gaussian,5,93.75,74,80.85
normal,cifar10,gaussian,6,93.75,68,83.34
normal,cifar10,gaussian,7,93.75,91,84.78
normal,cifar10,gaussian,8,95.3125,192,84.47
normal,cifar10,gaussian,9,96.875,151,82.67
normal,cifar10,gaussian,10,93.75,184,83.69
normal,cifar10,gaussian,11,92.1875,33,82.12
normal,cifar10,gaussian,12,96.875,156,82.28
normal,cifar10,gaussian,13,95.3125,166,84.37
normal,cifar10,gaussian,14,93.75,94,82.95
normal,cifar10,gumbel,1,93.75,187,83.39
normal,cifar10,gumbel,2,93.75,47,83.75
normal,cifar10,gumbel,3,93.75,97,82.62
normal,cifar10,gumbel,4,92.1875,133,82.66
normal,cifar10,gumbel,5,92.1875,42,81.55
normal,cifar10,gumbel,6,95.3125,98,81.7
normal,cifar10,gumbel,7,92.1875,141,83.52
normal,cifar10,gumbel,8,95.3125,166,83.53
normal,cifar10,gumbel,9,95.3125,198,81.18
normal,cifar10,gumbel,10,95.3125,82,83.77
normal,cifar10,gumbel,11,92.1875,41,83.22
normal,cifar10,gumbel,12,95.3125,77,83.58
normal,cifar10,gumbel,13,96.875,178,84.75
normal,cifar10,gumbel,14,93.75,134,84.42
normal,cifar10,laplace,1,95.3125,67,81.51
normal,cifar10,laplace,2,95.3125,152,82.05
normal,cifar10,laplace,3,92.1875,84,81.5
normal,cifar10,laplace,4,93.75,118,82.85
normal,cifar10,laplace,5,93.75,129,82.9
normal,cifar10,laplace,6,93.75,70,82.64
normal,cifar10,laplace,7,92.1875,116,83.2
normal,cifar10,laplace,8,92.1875,64,83.02
normal,cifar10,laplace,9,93.75,154,83.23
normal,cifar10,laplace,10,92.1875,68,83.0
normal,cifar10,laplace,11,92.1875,126,82.58
normal,cifar10,laplace,12,93.75,149,83.14
normal,cifar10,laplace,13,93.75,69,83.16
normal,cifar10,laplace,14,95.3125,83,82.84
normal,cifar10,poisson,1,--,--,--
normal,cifar10,poisson,2,--,--,--
normal,cifar10,poisson,3,--,--,--
normal,cifar10,poisson,4,--,--,--
normal,cifar10,poisson,5,--,--,--
normal,cifar10,poisson,6,--,--,--
normal,cifar10,poisson,7,--,--,--
normal,cifar10,poisson,8,--,--,--
normal,cifar10,poisson,9,--,--,--
normal,cifar10,poisson,10,--,--,--
normal,cifar10,poisson,11,--,--,--
normal,cifar10,poisson,12,--,--,--
normal,cifar10,poisson,13,--,--,--
normal,cifar10,poisson,14,--,--,--
normal,cifar100,none,--,68.75,65,48.36
normal,cifar100,cauchy,1,--,--,--
normal,cifar100,cauchy,2,--,--,--
normal,cifar100,cauchy,3,--,--,--
normal,cifar100,cauchy,4,--,--,--
normal,cifar100,cauchy,5,--,--,--
normal,cifar100,cauchy,6,--,--,--
normal,cifar100,cauchy,7,--,--,--
normal,cifar100,cauchy,8,--,--,--
normal,cifar100,cauchy,9,--,--,--
normal,cifar100,cauchy,10,--,--,--
normal,cifar100,cauchy,11,--,--,--
normal,cifar100,cauchy,12,--,--,--
normal,cifar100,cauchy,13,--,--,--
normal,cifar100,cauchy,14,--,--,--
normal,cifar100,gaussian,1,--,--,--
normal,cifar100,gaussian,2,--,--,--
normal,cifar100,gaussian,3,--,--,--
normal,cifar100,gaussian,4,--,--,--
normal,cifar100,gaussian,5,--,--,--
normal,cifar100,gaussian,6,--,--,--
normal,cifar100,gaussian,7,--,--,--
normal,cifar100,gaussian,8,--,--,--
normal,cifar100,gaussian,9,--,--,--
normal,cifar100,gaussian,10,--,--,--
normal,cifar100,gaussian,11,--,--,--
normal,cifar100,gaussian,12,--,--,--
normal,cifar100,gaussian,13,--,--,--
normal,cifar100,gaussian,14,--,--,--
normal,cifar100,gumbel,1,--,--,--
normal,cifar100,gumbel,2,--,--,--
normal,cifar100,gumbel,3,--,--,--
normal,cifar100,gumbel,4,--,--,--
normal,cifar100,gumbel,5,--,--,--
normal,cifar100,gumbel,6,--,--,--
normal,cifar100,gumbel,7,--,--,--
normal,cifar100,gumbel,8,--,--,--
normal,cifar100,gumbel,9,--,--,--
normal,cifar100,gumbel,10,--,--,--
normal,cifar100,gumbel,11,--,--,--
normal,cifar100,gumbel,12,--,--,--
normal,cifar100,gumbel,13,--,--,--
normal,cifar100,gumbel,14,--,--,--
normal,cifar100,laplace,1,--,--,--
normal,cifar100,laplace,2,--,--,--
normal,cifar100,laplace,3,--,--,--
normal,cifar100,laplace,4,--,--,--
normal,cifar100,laplace,5,--,--,--
normal,cifar100,laplace,6,--,--,--
normal,cifar100,laplace,7,--,--,--
normal,cifar100,laplace,8,--,--,--
normal,cifar100,laplace,9,--,--,--
normal,cifar100,laplace,10,--,--,--
normal,cifar100,laplace,11,--,--,--
normal,cifar100,laplace,12,--,--,--
normal,cifar100,laplace,13,--,--,--
normal,cifar100,laplace,14,--,--,--
normal,cifar100,poisson,1,--,--,--
normal,cifar100,poisson,2,--,--,--
normal,cifar100,poisson,3,--,--,--
