,Epoch,Accuracy,Loss
0,1.0,28.9062,2.3427
1,2.0,29.6875,1.7498
2,3.0,37.5,2.0654
3,4.0,42.1875,1.9422
4,5.0,37.5,1.7299
5,6.0,33.4821,1.8265
6,7.0,39.0625,1.7153
7,8.0,42.1875,1.5554
8,9.0,34.4547,1.8596
9,10.0,31.25,1.6838
10,11.0,43.75,1.6506
11,12.0,38.8,1.7687
12,13.0,36.7188,1.5485
13,14.0,54.6875,1.6306
14,15.0,41.276,1.4101
15,16.0,50.0,1.7955
16,17.0,46.875,1.4373
17,18.0,37.4081,1.5871
18,19.0,46.4535,1.6208
19,20.0,41.1458,1.7052
20,21.0,48.8636,1.6339
21,22.0,31.0764,1.8029
22,23.0,39.5433,1.946
23,24.0,53.125,1.6318
24,25.0,26.5625,1.8092
25,26.0,43.75,1.3713
26,27.0,42.8125,1.6336
27,28.0,38.6719,1.5248
28,29.0,45.3125,1.7204
29,30.0,35.1562,1.8066
30,31.0,41.4062,1.6332
31,32.0,40.625,1.7207
32,33.0,32.8125,1.5717
33,34.0,33.7021,1.6726
34,35.0,30.7292,1.757
35,36.0,38.3413,1.7563
36,37.0,41.7969,1.6301
37,38.0,37.5,1.7083
38,39.0,42.6339,1.5899
39,40.0,28.0421,1.8777
40,41.0,40.0,1.7053
41,42.0,42.1875,1.6889
42,43.0,39.8438,1.6184
43,44.0,40.625,1.7057
44,45.0,41.4143,1.7558
45,46.0,36.6335,1.7422
46,47.0,40.1316,1.7201
47,48.0,37.8125,1.8262
48,49.0,46.875,1.5162
49,50.0,59.0199,0.8744
50,51.0,64.8438,1.2854
51,52.0,68.0357,0.9503
52,53.0,75.0,0.7813
53,54.0,78.125,0.5433
54,55.0,78.125,0.7312
55,56.0,79.1667,0.5805
56,57.0,76.5137,0.6573
57,58.0,76.5625,0.5846
58,59.0,82.8125,0.3705
59,60.0,76.5625,0.3632
60,61.0,85.9375,0.4337
61,62.0,76.5625,0.2558
62,63.0,81.25,0.4388
63,64.0,78.9062,0.3095
64,65.0,74.375,0.4211
65,66.0,78.3482,0.2011
66,67.0,78.125,0.2914
67,68.0,79.6875,0.2145
68,69.0,77.1484,0.2216
69,70.0,81.25,0.1415
70,71.0,80.8036,0.2294
71,72.0,82.8125,0.2312
72,73.0,81.7708,0.0973
73,74.0,80.2083,0.1612
74,75.0,81.25,0.0771
75,76.0,79.6875,0.0923
76,77.0,82.8125,0.2002
77,78.0,77.3438,0.2791
78,79.0,78.8352,0.078
79,80.0,81.25,0.1302
80,81.0,76.5625,0.2472
81,82.0,89.0625,0.1575
82,83.0,81.25,0.1377
83,84.0,84.375,0.0974
84,85.0,81.25,0.1806
85,86.0,79.9479,0.1023
86,87.0,82.0312,0.191
87,88.0,77.0876,0.021
88,89.0,80.9375,0.1312
89,90.0,78.9062,0.1826
90,91.0,77.6316,0.0779
91,92.0,79.6875,0.0836
92,93.0,80.4688,0.2344
93,94.0,80.4688,0.2434
94,95.0,84.375,0.2901
95,96.0,82.8125,0.1917
96,97.0,80.4688,0.0141
97,98.0,78.9062,0.0716
98,99.0,80.4688,0.1117
99,100.0,82.2049,0.1047
100,101.0,80.5192,0.0017
101,102.0,84.375,0.003
102,103.0,83.8542,0.1388
103,104.0,82.8125,0.003
104,105.0,83.3333,0.0043
105,106.0,86.7188,0.0011
106,107.0,81.7708,0.0013
107,108.0,85.9375,0.001
108,109.0,83.4375,0.0015
109,110.0,83.3333,0.0025
110,111.0,92.1875,0.0016
111,112.0,85.4167,0.0011
112,113.0,83.5938,0.0013
113,114.0,87.5,0.0005
114,115.0,81.3879,0.0007
115,116.0,81.5444,0.0015
116,117.0,83.4375,0.0012
117,118.0,86.7188,0.0008
118,119.0,82.8125,0.0012
119,120.0,85.4167,0.001
120,121.0,83.2031,0.0008
121,122.0,81.0096,0.0011
122,123.0,88.5417,0.0012
123,124.0,85.1562,0.0025
124,125.0,82.2812,0.0005
125,126.0,81.7532,0.0005
126,127.0,87.5,0.0008
127,128.0,84.375,0.0014
128,129.0,81.9504,0.0026
129,130.0,82.8125,0.0018
130,131.0,82.648,0.0051
131,132.0,84.375,0.0006
132,133.0,82.5893,0.0011
133,134.0,82.6923,0.0019
134,135.0,84.375,0.0016
135,136.0,87.5,0.004
136,137.0,89.0625,0.0018
137,138.0,82.8125,0.0011
138,139.0,92.1875,0.0039
139,140.0,83.3333,0.003
140,141.0,85.9375,0.0018
141,142.0,81.3702,0.0013
142,143.0,81.5625,0.0006
143,144.0,90.625,0.0006
144,145.0,84.8958,0.0007
145,146.0,84.375,0.0017
146,147.0,82.1514,0.0014
147,148.0,83.4375,0.0016
148,149.0,83.1731,0.0012
149,150.0,84.375,0.0028
150,151.0,82.8906,0.0044
151,152.0,85.9375,0.001
