,Epoch,Accuracy,Loss
0,1.0,0.0,5.3083
1,2.0,0.0,5.3039
2,3.0,0.0,5.2903
3,4.0,0.0,5.3139
4,5.0,0.0,5.2965
5,6.0,100.0,5.3013
6,7.0,0.0,5.2939
7,8.0,0.0,5.2974
8,9.0,0.0,5.307
9,10.0,0.0,5.3125
10,11.0,0.0,5.3167
11,12.0,0.0,5.2753
12,13.0,0.0,5.3097
13,14.0,0.0,5.3033
14,15.0,0.0,5.3102
15,16.0,0.0,5.3172
16,17.0,0.0,5.2973
17,18.0,0.0,5.3047
18,19.0,0.0,5.3053
19,20.0,0.0,5.304
20,21.0,0.0,5.2967
21,22.0,0.0,5.3087
22,23.0,0.0,5.3106
23,24.0,0.0,5.2984
24,25.0,0.0,5.3085
25,26.0,0.0,5.304
26,27.0,0.0,5.3187
27,28.0,0.0,5.2971
28,29.0,0.0,5.2936
29,30.0,0.0,5.3062
30,31.0,0.0,5.3194
31,32.0,0.0,5.297
32,33.0,0.0,5.2995
33,34.0,0.0,5.31
34,35.0,0.0,5.2976
35,36.0,0.0,5.3125
36,37.0,0.0,5.2965
37,38.0,0.0,5.2988
38,39.0,0.0,5.2961
39,40.0,0.0,5.2953
40,41.0,0.0,5.3041
41,42.0,0.0,5.3108
42,43.0,0.0,5.3052
43,44.0,0.0,5.3126
44,45.0,0.0,5.2893
45,46.0,0.0,5.3108
46,47.0,0.0,5.3113
47,48.0,0.0,5.2898
48,49.0,0.0,5.3057
49,50.0,0.0,5.3023
50,51.0,0.0,5.3018
51,52.0,0.0,5.2989
52,53.0,0.0,5.3001
53,54.0,0.0,5.2982
54,55.0,0.0,5.2992
55,56.0,0.0,5.2984
56,57.0,0.0,5.2979
57,58.0,0.0,5.2988
58,59.0,0.0,5.2996
59,60.0,0.0,5.3
60,61.0,0.0,5.2987
61,62.0,0.0,5.2991
62,63.0,0.0,5.3004
63,64.0,0.0,5.3
64,65.0,0.0,5.2972
65,66.0,0.0,5.2989
66,67.0,0.0,5.2996
67,68.0,0.0,5.2992
68,69.0,0.0,5.2997
69,70.0,0.0,5.2989
70,71.0,0.0,5.2995
71,72.0,0.0,5.2982
72,73.0,0.0,5.2987
73,74.0,0.0,5.2988
74,75.0,0.0,5.299
75,76.0,0.0,5.2987
76,77.0,0.0,5.2995
77,78.0,0.0,5.2997
78,79.0,0.0,5.2993
79,80.0,0.0,5.3004
80,81.0,0.0,5.2987
81,82.0,0.0,5.2985
82,83.0,0.0,5.2989
83,84.0,0.0,5.2982
84,85.0,0.0,5.298
85,86.0,0.0,5.3001
86,87.0,0.0,5.2975
87,88.0,0.0,5.2987
88,89.0,0.0,5.3004
89,90.0,0.0,5.2988
90,91.0,0.0,5.2993
91,92.0,0.0,5.2994
92,93.0,0.0,5.298
93,94.0,0.0,5.299
94,95.0,0.0,5.2993
95,96.0,0.0,5.2991
96,97.0,0.0,5.2995
97,98.0,0.0,5.2984
98,99.0,0.0,5.2999
99,100.0,0.0,5.2992
100,101.0,0.0,5.2987
101,102.0,0.0,5.2977
102,103.0,0.0,5.2983
103,104.0,0.0,5.299
104,105.0,0.0,5.2988
105,106.0,0.0,5.2979
106,107.0,0.0,5.2986
107,108.0,0.0,5.2986
108,109.0,0.0,5.2981
109,110.0,0.0,5.299
110,111.0,0.0,5.2988
111,112.0,0.0,5.2983
112,113.0,0.0,5.2982
113,114.0,0.0,5.2985
114,115.0,0.0,5.2981
115,116.0,0.0,5.2986
116,117.0,0.0,5.2988
117,118.0,0.0,5.2982
118,119.0,0.0,5.2985
119,120.0,0.0,5.2985
120,121.0,0.0,5.2987
121,122.0,0.0,5.2985
122,123.0,0.0,5.2984
123,124.0,0.0,5.2984
124,125.0,0.0,5.2985
125,126.0,0.0,5.2984
126,127.0,0.0,5.2985
127,128.0,0.0,5.2984
128,129.0,0.0,5.2984
129,130.0,0.0,5.2985
130,131.0,0.0,5.2984
131,132.0,0.0,5.2985
132,133.0,0.0,5.2984
133,134.0,0.0,5.2986
134,135.0,0.0,5.2986
135,136.0,0.0,5.2985
136,137.0,0.0,5.2985
137,138.0,0.0,5.2984
138,139.0,0.0,5.2984
139,140.0,0.0,5.2985
140,141.0,0.0,5.2985
141,142.0,0.0,5.2985
142,143.0,0.0,5.2985
143,144.0,0.0,5.2984
144,145.0,0.0,5.2984
145,146.0,0.0,5.2986
146,147.0,0.0,5.2984
147,148.0,0.0,5.2985
148,149.0,0.0,5.2985
149,150.0,0.0,5.2983
150,151.0,0.0,5.2983
151,152.0,0.0,5.2984
152,153.0,0.0,5.2984
153,154.0,0.0,5.2983
154,155.0,0.0,5.2983
155,156.0,0.0,5.2983
156,157.0,0.0,5.2983
157,158.0,0.0,5.2984
158,159.0,0.0,5.2983
159,160.0,0.0,5.2983
160,161.0,0.0,5.2983
161,162.0,0.0,5.2983
162,163.0,0.0,5.2983
163,164.0,0.0,5.2983
164,165.0,0.0,5.2983
165,166.0,0.0,5.2983
166,167.0,0.0,5.2983
167,168.0,0.0,5.2983
168,169.0,0.0,5.2983
169,170.0,0.0,5.2984
170,171.0,0.0,5.2983
171,172.0,0.0,5.2984
172,173.0,0.0,5.2983
173,174.0,0.0,5.2984
174,175.0,0.0,5.2984
175,176.0,0.0,5.2983
176,177.0,0.0,5.2983
177,178.0,0.0,5.2983
178,179.0,0.0,5.2983
179,180.0,0.0,5.2983
180,181.0,0.0,5.2983
181,182.0,0.0,5.2983
182,183.0,0.0,5.2983
183,184.0,0.0,5.2983
184,185.0,0.0,5.2984
185,186.0,0.0,5.2983
186,187.0,0.0,5.2984
187,188.0,0.0,5.2984
188,189.0,0.0,5.2983
189,190.0,0.0,5.2983
190,191.0,0.0,5.2983
191,192.0,0.0,5.2983
192,193.0,0.0,5.2983
193,194.0,0.0,5.2983
194,195.0,0.0,5.2983
195,196.0,0.0,5.2984
196,197.0,0.0,5.2983
197,198.0,0.0,5.2983
198,199.0,0.0,5.2984
199,200.0,0.0,5.2984
201,Test,Accuracy,0.0
202,Best,100.0,@ Epoch 6
